Taxon,Replicate,model,converged,k,AIC,BIC,rss,sigma,r,K,O2_0,extra1,extra2,at_bounds,R_C_fg_cell_h,late_mean_sd
Aeromonas_B,R3,M0,TRUE,3,-905.3031975773479,-895.3486520984193,1.820781846176897e-4,0.0014550560790666971,0.03394930244807805,7.528468241546485e-4,1.0005807440957342,NA,NA,,131.09703830745025,0.1391834233890796
Aeromonas_B,R3,M1,TRUE,4,-903.3031967095934,-890.8600148609327,1.820781863929612e-4,0.0014635902126296917,0.03394937179315147,7.528431586585673e-4,1.000580633089288,0,NA,tlag@lower,131.0964000160147,0.13904694283820196
Aeromonas_B,R3,M2o,TRUE,4,-903.3031706441778,-890.8599887955171,1.8207823971817826e-4,0.0014635904269504228,0.03394946124347458,7.528649027989225e-4,1.0005808047421887,2.691817267379744e-5,NA,,131.09562136672608,0.13926027625972506
Aeromonas_B,R3,M2g,TRUE,4,-903.3000354482515,-890.8568535995907,1.8208465388683183e-4,0.001463616206069272,0.033962096751805004,7.525699574720392e-4,1.0005757969310047,19742.178989674663,NA,,130.98627232918258,0.14013205148734909
Aeromonas_B,R3,M3o,TRUE,5,-901.3008430669325,-886.3690248485397,1.8208300159131726e-4,0.001472295751827402,0.033947898840951375,7.552843769434334e-4,1.0005153487194671,7.491370729523085e-6,0.09223232093083866,,131.0872388309914,0.13954961145564995
Aeromonas_B,R3,M3g,TRUE,5,-901.2976467554479,-886.365828537055,1.8208954096704836e-4,0.001472322189794102,0.03396938311207585,7.527080637869248e-4,1.0005650695341162,12361.003635707704,0.011237607984206349,,130.92032470219658,0.14070211211081443
Aeromonas_B,R4,M0,TRUE,3,-872.1296742211035,-862.4064070257302,1.3847863772526424e-4,0.0013075216294283682,0.03585987964659123,8.509386784386346e-4,1.0000774718055228,NA,NA,,136.85289563660885,-0.008450360772864467
Aeromonas_B,R4,M1,TRUE,4,-870.1335170912481,-857.9794330970316,1.3847230268657245e-4,0.0013156381659035876,0.035858522119956916,8.539212159499055e-4,1.000000589732922,0.09519961256364125,NA,,136.83940652519013,-0.008105928929403483
Aeromonas_B,R4,M2o,TRUE,4,-870.1040538103439,-857.94996981612735,1.3852088082877927e-4,0.001315868918380452,0.035880244509352205,8.499377592908874e-4,1.0000401840939281,1e-6,NA,Km@lower,136.69174171327185,-0.013193123171346436
Aeromonas_B,R4,M2g,TRUE,4,-870.096634795792,-857.9425508015755,1.3853311575515425e-4,0.0013159270294888802,0.035872691559870426,8.506455447822675e-4,1.0000726031546632,20549.05847989775,NA,,136.7437504070758,-0.007367395683216593
Aeromonas_B,R4,M3o,TRUE,5,-868.1333809021587,-853.5484801090988,1.384725271917166e-4,0.001323939877749419,0.035857831738417764,8.543699277579728e-4,0.9999906300723785,1.0351818349310483e-6,0.10873346841601526,Km@lower,136.84112507712922,-0.00843573576083334
Aeromonas_B,R4,M3g,TRUE,5,-868.056743322059,-853.4718425289991,1.385989205476486e-4,0.0013245439652170934,0.03588703501574135,8.513737999874199e-4,1.0000412787935087,9241.66503720214,0.033408009088246884,,136.61231899914327,-0.005830060145246484
Aeromonas_B,R5,M0,TRUE,3,-879.4298586656219,-869.7065914702486,1.2695200679789436e-4,0.001251922012706834,0.03578033965657565,5.710829728399444e-4,1.0014667445129386,NA,NA,,137.39594798322105,0.08573117304690839
Aeromonas_B,R5,M1,TRUE,4,-878.3504326477519,-866.1963486535353,1.2556830855004757e-4,0.00125283832032533,0.03570520960623195,6.318926239098465e-4,0.9999999961922283,2.7016337206396615,NA,,137.2851827332456,0.0995248723196157
Aeromonas_B,R5,M2o,TRUE,4,-877.4295383402962,-865.2754543460796,1.2695249091718554e-4,0.0012597246272359763,0.035777272711397794,5.711813939595434e-4,1.0014706718853799,1e-6,NA,Km@lower,137.41946448730974,0.0851796176862202
