arm,r_true,K_true,R_true,noise_sd,dt,duration,r_est,K_est,O2_0_est,R_est,bias_log_r,bias_log_K,bias_log_R
none,0.01,0.002,2e-12,0.005,1,120,0.009590988838457451,0.0020652771920341984,1.0018161253110518,2.0652771920341985e-12,-0.04176109800060822,0.0321172702751545,-0.018600113756121604
none,0.01,0.002,2e-12,0.005,1,120,0.009643918044789892,0.0020581889135405694,1.0020293476029207,2.0581889135405693e-12,-0.03625763076287924,0.02867924736234346,-0.015474915083709975
none,0.01,0.002,2e-12,0.005,1,120,0.010511239524464882,0.001932977122268876,0.9992423383754888,1.932977122268876e-12,0.049860022568205195,-0.034085815753569344,0.029307885280075947
none,0.01,0.002,2e-12,0.005,1,120,0.010069673212591342,0.0019846105151797564,0.9990354632025276,1.9846105151797565e-12,0.006943161630054114,-0.0077244996885159805,9.149786728103486e-4
none,0.01,0.002,2e-12,0.005,1,120,0.009686215191580411,0.0020428059543224205,1.0020037922348854,2.0428059543224205e-12,-0.03188133249535232,0.02117715001197377,-0.01773216623205529
none,0.01,0.002,2e-12,0.005,1,120,0.00978688113355135,0.002040822607208732,1.0023561846203466,2.040822607208732e-12,-0.02154226396473874,0.020205784845062583,-0.006220954594570099
none,0.01,0.002,2e-12,0.005,1,120,0.01008175361217152,0.001983240974626629,0.9986619948636843,1.9832409746266286e-12,0.008142123979705295,-0.008414818169957466,0.0017226297393110705
none,0.01,0.002,2e-12,0.005,1,120,0.010140240700467703,0.001978350509453895,0.999471884518345,1.978350509453895e-12,0.013926642605964518,-0.010883759087569549,0.006506087770425592
none,0.01,0.002,2e-12,0.005,1,120,0.009578077956541198,0.002060123219778797,1.001501024556101,2.060123219778797e-12,-0.0431081519815472,0.029618615879273526,-0.022699717509617977
none,0.01,0.002,2e-12,0.005,1,120,0.009620110380438739,0.002058148165146632,1.0022131074913554,2.058148165146632e-12,-0.038729354324176096,0.028659448986671256,-0.01844686383892514
none,0.01,0.002,2e-12,0.005,1,120,0.00987297538574571,0.002023182112564637,1.000635759435101,2.023182112564637e-12,-0.012783827455482876,0.01152439461436682,-0.0042266575531651005
none,0.01,0.002,2e-12,0.005,1,120,0.00983313231235077,0.0020179405750094985,0.9999231309233542,2.0179405750094986e-12,-0.016827561337124493,0.008930293469848315,-0.011761299798656245
none,0.01,0.002,2e-12,0.005,1,120,0.010156449709486681,0.001985213527383153,0.9996839851209792,1.985213527383153e-12,0.015523850045941173,-0.007420701735977312,0.011979062240371093
none,0.01,0.002,2e-12,0.005,1,120,0.01006465254037238,0.00200030384965074,1.0008283052931093,2.00030384965074e-12,0.006444443929285513,1.5191328596252722e-4,0.008168828292137727
none,0.01,0.002,2e-12,0.005,1,120,0.010263466079638088,0.0019597142670227815,0.9988613922913849,1.9597142670227816e-12,0.02600551422485023,-0.020348500076001176,0.012321293799121759
none,0.01,0.002,2e-12,0.005,1,120,0.009855029113999528,0.0020125021064424293,0.9993325758933338,2.0125021064424293e-12,-0.014603198157345561,0.006231596429556185,-0.011744793434502358
none,0.01,0.002,2e-12,0.005,1,120,0.010013992781856367,0.002005673099470595,1.0002246339676046,2.0056730994705948e-12,0.0013983001082115676,0.002832534319588996,0.004567639269778501
none,0.01,0.002,2e-12,0.005,1,120,0.009829584045653822,0.0020196282558928983,0.9996193243901831,2.0196282558928982e-12,-0.01718847451624577,0.00976628218106135,-0.0113652961578648
none,0.01,0.002,2e-12,0.005,1,120,0.009866671509049444,0.0020133508866393233,0.9992299803586486,2.0133508866393232e-12,-0.013422529550222887,0.006653261210127621,-0.009879471667741387
none,0.01,0.002,2e-12,0.005,1,120,0.010271212785494411,0.0019653070106089195,0.9990717700120547,1.9653070106089194e-12,0.026760014090633173,-0.017498707947206288,0.016131677454100636
none,0.01,0.002,2e-12,0.005,1,120,0.010320554422205057,0.0019527411232823225,0.9987011131603735,1.9527411232823226e-12,0.03155238869822329,-0.023913090814242997,0.015835657539183985
none,0.01,0.002,2e-12,0.005,1,120,0.009927054056701846,0.0020070027065789793,1.0008684578344864,2.007002706578979e-12,-0.007321329979523761,0.003495237822842863,-0.005550059146128291
none,0.01,0.002,2e-12,0.005,1,120,0.010215065300488716,0.0019746452737595247,1.0000455954361753,1.9746452737595247e-12,0.021278527862910773,-0.012758406561374126,0.013909690699226646
none,0.01,0.002,2e-12,0.005,1,120,0.010022342921300314,0.0019917045650193694,0.9992442374831446,1.9917045650193695e-12,0.002231799811058907,-0.004156343129911544,-0.0013858208886726496
none,0.01,0.002,2e-12,0.005,1,120,0.009982581824878673,0.0020028810617955728,0.9998761975006044,2.0028810617955728e-12,-0.0017433362400763866,0.001439494328506521,-7.203593865380406e-4
none,0.01,0.002,2e-12,0.005,1,180,0.010132471445827188,0.0019802638285700514,0.9997851275717841,1.9802638285700514e-12,0.013160168444558987,-0.009917097977510284,0.006509361305061027
none,0.01,0.002,2e-12,0.005,1,180,0.010025715256405734,0.0019933330181447556,0.9995446948043962,1.9933330181447557e-12,0.0025682249258840266,-0.003339059386887252,-1.5036759257620403e-4
none,0.01,0.002,2e-12,0.005,1,180,0.009791047213775444,0.0020352601423751014,1.0009459590176606,2.0352601423751013e-12,-0.021116674473034818,0.01747646425549086,-0.008433681236354088
none,0.01,0.002,2e-12,0.005,1,180,0.009989053475174476,0.0019923209761122857,0.9987802875238297,1.9923209761122856e-12,-0.0010952520521680998,-0.0038469017915108337,-0.005204270869875882
none,0.01,0.002,2e-12,0.005,1,180,0.009899053818858436,0.002016435227327872,0.9996140250252616,2.016435227327872e-12,-0.010145914273656418,0.008184032920389314,-0.004333293541164698
none,0.01,0.002,2e-12,0.005,1,180,0.009880429125310291,0.0020144795346987428,0.9999056945615207,2.0144795346987426e-12,-0.012029148441627157,0.007213686039822731,-0.007613102421701179
none,0.01,0.002,2e-12,0.005,1,180,0.009707983601288463,0.0020513639118022444,1.0020820736137408,2.0513639118022446e-12,-0.02963649432678456,0.02535771419162064,-0.01085231924860993
none,0.01,0.002,2e-12,0.005,1,180,0.009938573606517264,0.002009680098283832,1.0003461736977404,2.0096800982838317e-12,-0.006161582973099185,0.004828373761854105,-0.0027884990300051362
none,0.01,0.002,2e-12,0.005,1,180,0.00988635434417324,0.0020169198368453723,1.000094744149058,2.0169198368453723e-12,-0.011429635723782668,0.008424333866932398,-0.005667727455585839
none,0.01,0.002,2e-12,0.005,1,180,0.010010308208856065,0.0019954783160710935,0.9994383504996742,1.9954783160710935e-12,0.001030289954589226,-0.002263401526218233,-9.851836280661821e-4
none,0.01,0.002,2e-12,0.005,1,180,0.009864908101282146,0.0020227489806957945,1.000110758523919,2.0227489806957947e-12,-0.013601269195686378,0.011310287225727023,-0.005441108215286872
none,0.01,0.002,2e-12,0.005,1,180,0.009920787052020217,0.002022366528867908,1.001469243763873,2.0223665288679083e-12,-0.00795283492311653,0.011121194069735956,0.0012987885202427902
none,0.01,0.002,2e-12,0.005,1,180,0.009906148737303257,0.0020085300249097367,0.9993502541711083,2.008530024909737e-12,-0.009429444070617136,0.004255943067470652,-0.007381613506925545
none,0.01,0.002,2e-12,0.005,1,180,0.009885544628785214,0.0020242202672608738,1.0017371974491096,2.0242202672608737e-12,-0.011511541401086208,0.012037392642029528,-0.0021550733886039064
none,0.01,0.002,2e-12,0.005,1,180,0.00998154739839456,0.002005726725156203,1.0010284715389688,2.005726725156203e-12,-0.0018469647503378866,0.002859270964130132,5.711483650556372e-4
none,0.01,0.002,2e-12,0.005,1,180,0.010168743268832837,0.001967633146617535,0.9985329248534568,1.967633146617535e-12,0.016733537044574733,-0.01631580854530282,0.004608356789968956
none,0.01,0.002,2e-12,0.005,1,180,0.01005963375202468,0.001992023984686016,0.999539822882745,1.992023984686016e-12,0.0059456646554440565,-0.003995980964996925,0.0033986042860634303
none,0.01,0.002,2e-12,0.005,1,180,0.010173506254158428,0.001966842152375738,0.9975866525946062,1.9668421523757376e-12,0.017201822069517238,-0.016717892275581223,0.004796883240063762
none,0.01,0.002,2e-12,0.005,1,180,0.010017562898463674,0.002002947155056446,1.0004909411679943,2.002947155056446e-12,0.0017547493727702393,0.0014724928782703583,0.003650292287765901
none,0.01,0.002,2e-12,0.005,1,180,0.009924603294310037,0.0020109133454048376,0.9993907896124319,2.0109133454048375e-12,-0.007568237566222925,0.005441839001229877,-0.003907352504325561
none,0.01,0.002,2e-12,0.005,1,180,0.009630066537636407,0.0020585624740147124,1.001585524633995,2.0585624740147123e-12,-0.037694957796001106,0.02886073049795247,-0.01701101883513306
none,0.01,0.002,2e-12,0.005,1,180,0.009989191697702798,0.0020014888266039503,0.9993345657096643,2.0014888266039504e-12,-0.001081414747927492,7.441363638221951e-4,-5.960931210308776e-4
none,0.01,0.002,2e-12,0.005,1,180,0.01008334942171919,0.0019819787576611037,0.9986001026374945,1.9819787576611038e-12,0.008300398355821217,-0.009051462337684333,0.0012838659554951035
none,0.01,0.002,2e-12,0.005,1,180,0.010217448293420434,0.0019745506557517466,0.9991377692734045,1.9745506557517465e-12,0.021511782859323418,-0.012806324167633746,0.01415726421650008
none,0.01,0.002,2e-12,0.005,1,180,0.01000236694149119,0.002000296226894767,1.000099380599852,2.0002962268947668e-12,2.366661414782724e-4,1.4810247966961834e-4,4.416032245770548e-4
none,0.01,0.002,2e-12,0.005,1,180,0.010324711559033075,0.0019437595390912432,0.9977748561917962,1.9437595390912434e-12,0.03195510929169793,-0.02852317605552258,0.011741057264578737
none,0.01,0.002,2e-12,0.005,1,180,0.009904619851481906,0.0020203298193249724,1.0008485638567708,2.0203298193249723e-12,-0.00958379303668927,0.010113594418497653,-0.0017135439977460608
none,0.01,0.002,2e-12,0.005,1,180,0.010196861138263905,0.0019796503185118687,1.000379535411804,1.979650318511869e-12,0.019494848394357837,-0.010226958262508452,0.01418382288221578
none,0.01,0.002,2e-12,0.005,1,180,0.0098486177980938,0.0020171409306840335,1.0001593827404942,2.0171409306840335e-12,-0.015253972723150827,0.008533947406055096,-0.010237445630313747
none,0.01,0.002,2e-12,0.005,1,180,0.009864233581545676,0.002022113782395134,1.0008954939251244,2.022113782395134e-12,-0.013669647207013635,0.010996210658443502,-0.0058388252298926715
none,0.01,0.005,5e-12,0.005,1,60,0.01037143377552314,0.00492281895627968,0.9987089406309271,4.92281895627968e-12,0.036470181553469115,-0.01555658741455724,0.030501200750312076
none,0.01,0.005,5e-12,0.005,1,60,0.010684634850462251,0.00486676107391473,0.9974462025967571,4.86676107391473e-12,0.0662216211605742,-0.027009273826470587,0.05788544763084852
none,0.01,0.005,5e-12,0.005,1,60,0.009782867988581287,0.005016634965400516,0.9985031842830021,5.016634965400516e-12,-0.021952401570619402,0.0033214708834425973,-0.02360289853247785
none,0.01,0.005,5e-12,0.005,1,60,0.010193386680672012,0.0049518490221047585,0.9985051615797922,4.951849022104759e-12,0.019154052376931015,-0.00967686578298785,0.014303082620341646
none,0.01,0.005,5e-12,0.005,1,60,0.009395663896044992,0.0050726288194292935,0.9996844767088634,5.072628819429294e-12,-0.062336797798755644,0.014421275610217279,-0.06051640128020375
