r_true,R_true,noise_sd,dt,duration,n,sd_log_r,sd_log_K,cov_logr_logK,corr_logr_logK,var_logsum,var_logdif,ridge_ratio
0.01,5e-12,0.002,1,120,50,0.012601324763225076,0.005736369755567441,-7.07553244212463e-5,-0.9788266492559499,5.018867491836685e-5,3.332099726033509e-4,6.639146643048962
0.01,5e-12,0.002,1,180,50,0.014302103168526007,0.006321437116661442,-8.881928092975844e-5,-0.9824071717883145,6.687216040354702e-5,4.221492841225836e-4,6.312780708370715
0.01,5e-12,0.002,3,60,50,0.041901812611138,0.013626998321247077,-5.54277217993388e-4,-0.9707200853207447,8.329025473594084e-4,0.0030500114193329707,3.6619067008530237
0.01,5e-12,0.002,3,120,50,0.021891710565875994,0.010374862751086934,-2.220595681928091e-4,-0.977704092787728,1.4276563221835863e-4,0.0010310039049895958,7.2216533416998105
0.01,5e-12,0.002,3,180,50,0.018587334140350638,0.0080897934314632,-1.4581396966752833e-4,-0.9697160749137751,1.1930580887373303e-4,7.025616875438461e-4,5.888746693695361
0.01,5e-12,0.002,5,60,50,0.04863763924836278,0.016820349738469503,-7.956873980897627e-4,-0.972601580597735,0.001057169320798788,0.004239918913157835,4.010633708093409
0.01,5e-12,0.002,5,120,50,0.024988761202720658,0.011321564504496057,-2.75252711802585e-4,-0.9729273996473101,2.0211058567089205e-4,0.0013031214328812323,6.447566457519339
0.01,5e-12,0.002,5,180,50,0.02493828130360781,0.011224451926315299,-2.748442886321974e-4,-0.9818724011920968,1.9821761815964198e-4,0.0012975947726884334,6.546314019591169
0.01,5e-12,0.005,1,60,50,0.0579613915774346,0.019864050010102465,-0.0011121607090223717,-0.9659640069072681,0.0015297819783518074,0.005978424814441304,3.908024083851792
0.01,5e-12,0.005,1,120,50,0.026515486684479055,0.012268968419927147,-3.161184659566396e-4,-0.9717224002957189,2.2136168829067874e-4,0.0014858355521172343,6.712252529291
0.01,5e-12,0.005,1,180,50,0.03647586425232506,0.016458715590675566,-5.85716324457435e-4,-0.9756314621471202,4.2994534293392935e-4,0.0027728106407636606,6.449216595398184
0.01,5e-12,0.005,3,60,50,0.10162733393272227,0.03241710921368175,-0.0031926684701235734,-0.9691009216587284,0.004993647031797655,0.01776432091229196,3.557384172164249
0.01,5e-12,0.005,3,120,50,0.04573012211982678,0.02162476051939635,-9.577052277625513e-4,-0.9684522005551761,6.434638810904162e-4,0.004474284792140615,6.9534358083292505
0.01,5e-12,0.005,3,180,50,0.045241253052330434,0.020832042414274176,-9.159293033810452e-4,-0.9718415824640846,6.488863621330299e-4,0.004312603575657208,6.646161527390938
0.01,5e-12,0.005,5,60,50,0.11017160391961495,0.03846695364958536,-0.004078850101404466,-0.9624546584924659,0.005459788630490964,0.021775189036108793,3.9882842560062053
0.01,5e-12,0.005,5,120,50,0.05095861738969172,0.022839395820064855,-0.0011107046549626793,-0.954325095942339,8.970093777692307e-4,0.005339827997619944,5.952923269207668
0.01,5e-12,0.005,5,180,50,0.05248766287640453,0.026977989205978374,-0.001361314855707531,-0.9613726704487847,7.601369444099138e-4,0.006205396367240042,8.163524234514382
0.01,5e-12,0.01,1,60,50,0.14187307137494132,0.05033621096700248,-0.006857504676931093,-0.9602528848180009,0.008946693162011571,0.036376711869735956,4.065939360052561
0.01,5e-12,0.01,1,120,50,0.06930527999979662,0.03222154996830448,-0.0021904695533118547,-0.9808994045982647,0.0014605110115864415,0.01022238922483386,6.999186684481112
0.01,5e-12,0.01,1,180,50,0.05938377269219993,0.024994589282520643,-0.001433910801307029,-0.9660694448439962,0.0012833403499467044,0.007018983555174823,5.469307931809603
0.01,5e-12,0.01,3,60,50,0.23673980616411852,0.07195213034290028,-0.01642808748849441,-0.964433000406235,0.028366669906517306,0.09407901986049493,3.3165338113544327
0.01,5e-12,0.01,3,120,50,0.09336701070836104,0.04015347501312433,-0.0036245863038568077,-0.9668116036116348,0.003080527636531171,0.017578872851958416,5.706448675705799
0.01,5e-12,0.01,3,180,50,0.08692253533970518,0.04068536536052401,-0.0034624009581661237,-0.979054242452391,0.0022860241880693706,0.01613562802073386,7.058380267778784
