Taxon,Replicate,lr,lk,v_lr,v_lk,c_lrk,v_lr_ar1,v_lk_ar1,c_lrk_ar1
Aeromonas_B,R4,-3.3281361670129233,-7.069170490226192,1.326873989734132e-5,5.6182399896686225e-5,-2.6967223545514044e-5,1.247420402250264e-5,5.2776272271274304e-5,-2.534244505831428e-5
Aeromonas_B,R5,-3.3303567080294707,-7.467976047411457,2.733324676039025e-5,1.1511701300702305e-4,-5.540177547646561e-5,2.4105911826939034e-5,1.0136479932845691e-4,-4.882211444483552e-5
Arthrobacter,R1,-3.6844569351489094,-6.431353154051844,7.4373340171975035e-6,1.9451718523952438e-5,-1.184816238161516e-5,8.777614718837997e-6,2.298781994709177e-5,-1.3992364899443599e-5
Arthrobacter,R2,-3.6544235801103073,-6.596959447332389,3.908694742202668e-6,1.3567521551039053e-5,-7.184836742867055e-6,3.1213875595909395e-6,1.0816429743131473e-5,-5.732878711398017e-6
Arthrobacter,R3,-3.839658488592559,-6.217504032763172,5.323362605373813e-5,4.985567609056806e-5,-5.047376023583452e-5,4.718021920912796e-5,4.41430716477568e-5,-4.471396011457762e-5
Arthrobacter,R4,-3.7134643887411176,-6.4441784859165026,7.114542258104144e-6,1.7366713761682814e-5,-1.0945369779922695e-5,7.968594103877131e-6,1.947348279250605e-5,-1.2266049281187711e-5
Arthrobacter,R5,-3.73017740758028,-6.188914983755908,2.4017872373873596e-5,3.0845248176916985e-5,-2.670883194939831e-5,1.5049723255670018e-5,1.9256289211279335e-5,-1.670652801307075e-5
Bacillus,R1,-3.2027006171529893,-7.1821318318735665,4.965487293576132e-6,2.930093342988571e-5,-1.193537973095439e-5,4.737603889726142e-6,2.7939577548478946e-5,-1.138424856028343e-5
Bacillus,R2,-3.621986441508509,-6.523673417923756,1.6875411171985684e-5,4.28907265207876e-5,-2.6497193398790547e-5,1.2238760321120003e-5,3.102654892293052e-5,-1.9192916525481525e-5
Bacillus,R3,-3.6855875788590335,-6.688863960382766,5.484090079213342e-6,1.767029039017223e-5,-9.708355675523052e-6,4.966384316336467e-6,1.5990385551036204e-5,-8.788697246194847e-6
Bacillus,R4,-3.599497188732563,-6.721723207949561,5.773564927434368e-6,2.03740913003235e-5,-1.0701637709956967e-5,5.177237954630263e-6,1.8253586015721317e-5,-9.59214212492444e-6
Bacillus,R5,-3.783950574387656,-6.352968295784737,1.50734186732103e-5,2.820341282728621e-5,-2.0273301961820813e-5,1.3879889561113251e-5,2.5955479860408846e-5,-1.866298262506345e-5
Burkholderia,R1,-3.7913319523630045,-6.495976421930698,1.0030296625425044e-5,2.3998344677924633e-5,-1.5275731561059742e-5,8.30103490872028e-6,1.9830629175917846e-5,-1.26327211739552e-5
Burkholderia,R2,-3.9192861687833083,-6.275299647329164,1.2078456312713377e-5,2.135529612336825e-5,-1.578713566829421e-5,1.1099737220622844e-5,1.961313539229905e-5,-1.4503738148076794e-5
Burkholderia,R3,-3.867708321674633,-6.561374229778528,7.4595964910586475e-6,1.736900581572467e-5,-1.1205692546524162e-5,7.7862581104568e-6,1.8134952776865446e-5,-1.1698064632181675e-5
Burkholderia,R4,-3.8751019777319407,-6.581895185093079,9.752489341096438e-6,2.3275775146074315e-5,-1.4834162964806323e-5,1.1918687963102942e-5,2.8503956769483245e-5,-1.8147248333698644e-5
Burkholderia,R5,-3.8146138180498808,-6.64144133210985,9.368765182514001e-6,2.218794513147564e-5,-1.419485667112954e-5,8.201017468107869e-6,1.940238023589739e-5,-1.2419341697699413e-5
Buttiauxella,R1,-3.8327603893613325,-6.683103230066573,1.2574815254211221e-5,3.0489141274846817e-5,-1.9280322769508547e-5,1.1281152955476192e-5,2.732954435617081e-5,-1.72897394563102e-5
Buttiauxella,R2,-3.7112436884343984,-6.470428022603627,8.181535107331545e-6,2.1580344339077698e-5,-1.3089770633198493e-5,6.726915614233833e-6,1.772085110279721e-5,-1.0755842552480761e-5
Buttiauxella,R3,-3.8338574913911088,-6.502084020541499,9.282601916992367e-6,1.9180095739468104e-5,-1.31270313505388e-5,1.3082351706256098e-5,2.7132882589688813e-5,-1.8534199733222124e-5
Buttiauxella,R4,-3.983042238148009,-6.1430422106986695,1.0077096961078098e-5,1.6755325982176214e-5,-1.2768820889360497e-5,6.149477476375431e-6,1.0192191687415393e-5,-7.780070644212688e-6
Buttiauxella,R5,-3.833024102234543,-6.502600363546246,7.783884006185827e-6,1.8850935169923546e-5,-1.1927534250421642e-5,7.601346099973168e-6,1.8405337263535195e-5,-1.164673635391765e-5
Chromobacterium,R1,-3.679873281788307,-6.5278973508442375,1.4211214820517167e-5,2.906188417644439e-5,-1.999161960370955e-5,1.3003956877769251e-5,2.656995743548973e-5,-1.8285606193542383e-5
Chromobacterium,R2,-3.6399590044874404,-6.743253302225573,9.316538534047277e-6,2.7101283710611784e-5,-1.5661832167790814e-5,1.253361248550879e-5,3.656667701081253e-5,-2.1100151992257347e-5
Chromobacterium,R3,-3.6353811338152777,-6.759521547384117,8.998603314479905e-6,2.7781810681725123e-5,-1.5589528394890985e-5,9.875691006582926e-6,3.051177130835604e-5,-1.7115060956091813e-5
Chromobacterium,R4,-3.763883400006008,-6.378347093639333,7.317441155791039e-6,1.6634629305143834e-5,-1.0859679796447804e-5,7.263931306648929e-6,1.6512204320157358e-5,-1.0780022314572989e-5
Chromobacterium,R5,-3.6918432462681396,-6.712194056886708,3.2585668955480734e-6,1.3097131846946738e-5,-6.450757912955411e-6,3.3942247636060688e-6,1.3646962428033454e-5,-6.720424569437832e-6
Chryseobacterium,R1,-4.169492429659895,-7.083955645533155,1.0765562754622334e-5,1.7522604090108373e-5,-1.3495378601607595e-5,1.0691213471871944e-5,1.740066203207965e-5,-1.3401830493349436e-5
Chryseobacterium,R2,-4.085674785440617,-7.146556858396649,1.1400862853096823e-5,1.9827047505773646e-5,-1.4777894190124907e-5,1.0544398759191126e-5,1.8326014640283913e-5,-1.3663545317596588e-5
Chryseobacterium,R3,-4.093195592991025,-6.979029230459703,1.200032040171452e-5,1.8967257903564685e-5,-1.4821577549536752e-5,1.3856141060907822e-5,2.1926497395933316e-5,-1.7123489085607637e-5
Chryseobacterium,R4,-4.149594114514416,-7.29513187206823,5.496052974717299e-6,1.117196706697951e-5,-7.70859375119874e-6,5.324647202936676e-6,1.082135911088367e-5,-7.467452510604876e-6
Chryseobacterium,R5,-4.1723787935774315,-6.832196469838899,1.1646711970271813e-5,1.4704752106778422e-5,-1.2841803813380036e-5,1.1545648376633815e-5,1.457634536552181e-5,-1.273003612904214e-5
Flavobacterium_A,R1,-4.016164220030643,-6.726585891964352,1.0705504148941264e-5,2.2793788790391602e-5,-1.537102969001905e-5,9.104105997027812e-6,1.936717357788525e-5,-1.3066219680970614e-5
Flavobacterium_A,R2,-4.155547387529059,-6.147713055654055,2.369784780183363e-5,2.3634608756813694e-5,-2.3196122762804984e-5,2.3300313510594662e-5,2.3234393344980693e-5,-2.280524890773372e-5
Flavobacterium_A,R3,-3.723002903935938,-6.6603184702671685,7.292120016790326e-6,2.1970726711144523e-5,-1.2478400609428678e-5,8.313293846882797e-6,2.5076884893077916e-5,-1.4234034241012306e-5
Flavobacterium_A,R4,-3.7500966460157876,-6.498295819708663,3.534874335645389e-5,5.036095126917624e-5,-4.142530616726818e-5,4.1751519291898735e-5,5.958640541310579e-5,-4.8969188208057624e-5
Flavobacterium_A,R5,-3.847055114790094,-6.5063281396747925,6.725432016953235e-6,1.6105135647354093e-5,-1.02470588143141e-5,5.968581372058931e-6,1.4280490795271236e-5,-9.090112393841688e-6
Flavobacterium_B,R1,-4.128914930606822,-6.422742106162914,5.763463843458918e-6,1.0891744209819822e-5,-7.791220966806197e-6,5.567256728732449e-6,1.0518622470360162e-5,-7.525175967266248e-6
Flavobacterium_B,R2,-4.21279909433149,-6.163737137786313,2.146874546245581e-5,1.961026778619732e-5,-2.0102595795540404e-5,2.6974701331956404e-5,2.4694636198706534e-5,-2.5284936108342003e-5
Flavobacterium_B,R3,-4.255445578346737,-6.328959690981484,7.1749536855330975e-6,9.377422820907559e-6,-8.050664314106045e-6,5.862329025020314e-6,7.65470941575412e-6,-6.57494184777202e-6
Flavobacterium_B,R4,-4.201106658106805,-6.274596533091826,1.0036797125131364e-5,1.1847149962417211e-5,-1.0696872007960806e-5,1.2486467322481133e-5,1.4770816912386696e-5,-1.3321608553220963e-5
Flavobacterium_B,R5,-4.8317594985554955,-6.444809039941188,1.2803707877232293e-4,2.2993385322972336e-5,-5.283493109650517e-5,1.1774764282151785e-4,2.1131951042588792e-5,-4.857506524345726e-5
Herbaspirillum,R1,-3.996071092943153,-6.865984781020809,1.127518075909539e-5,1.979913263177683e-5,-1.4686524172543872e-5,1.1560960992268654e-5,2.0304384621761714e-5,-1.5059984277790341e-5
Herbaspirillum,R2,-3.7923757394021034,-7.0654801743140005,5.503208736431243e-6,1.7732104206556143e-5,-9.742345859501374e-6,5.652939760279866e-6,1.8218353117887182e-5,-1.0008438584691662e-5
Herbaspirillum,R3,-3.8023201048201214,-7.151247789526628,5.547288593426354e-6,1.6077339603982775e-5,-9.308206656606512e-6,6.235721138052852e-6,1.8091643429440015e-5,-1.0468793487798126e-5
Herbaspirillum,R4,-3.8307700725942313,-7.01317947848855,6.403673363159136e-6,2.038020229445029e-5,-1.1265897742027122e-5,6.002977046355793e-6,1.9095116880880113e-5,-1.0558280349681352e-5
Herbaspirillum,R5,-3.9197441343308443,-6.988372207042137,5.494023626747653e-6,1.4696903989717595e-5,-8.852955359683053e-6,5.900029470829622e-6,1.579118546381055e-5,-9.509591829572097e-6
Pseudomonas,R1,-3.698137547268703,-7.2560785706196596,7.305676179989892e-6,3.073263788053379e-5,-1.4799605765262533e-5,5.690212312436428e-6,2.3899945974460304e-5,-1.1518275136603524e-5
Pseudomonas,R2,-3.851232251072423,-6.866806124336836,7.96149928218437e-6,2.229211148503365e-5,-1.3128375279775278e-5,7.99297249865489e-6,2.238098819815079e-5,-1.3180491514060239e-5
Pseudomonas,R3,-3.676581008257838,-6.852213424322918,7.012775820145847e-6,2.577926166864737e-5,-1.3269976372281513e-5,7.723555378649201e-6,2.841804668767432e-5,-1.4621538632246887e-5
Pseudomonas,R4,-3.9646310972191463,-6.430337576586908,6.380918776669957e-6,1.392454317481278e-5,-9.276270545424827e-6,5.977687125552748e-6,1.3039912297070604e-5,-8.688571167428314e-6
Pseudomonas,R5,-3.784421353526188,-6.345496230929754,9.431267759300224e-6,2.0421216242430554e-5,-1.3656546018001057e-5,8.395892355374826e-6,1.8165652317219815e-5,-1.2152917888558412e-5
Serratia,R1,-3.871446949506556,-6.373069912350061,5.9183872213233625e-6,1.3954667120002675e-5,-8.947179720862586e-6,5.1027474519870625e-6,1.2017022918449048e-5,-7.709586800342636e-6
Serratia,R2,-3.5942839999182294,-7.157032921019367,6.518953982439136e-6,2.7348580282110015e-5,-1.3187615284636389e-5,4.601788867856282e-6,1.9240476626155504e-5,-9.293634843125017e-6
Serratia,R3,-3.6668174184993956,-6.587789770499706,3.0740070251226094e-6,1.1566983740233017e-5,-5.885874253114543e-6,2.341092948759329e-6,8.79121300211369e-6,-4.478041549356042e-6
Serratia,R4,-3.592747037382092,-6.747288847095251,9.008649487061036e-6,2.791630115828241e-5,-1.5636187167794586e-5,8.077575398309183e-6,2.5004135482881224e-5,-1.4012718063498285e-5
Serratia,R5,-3.559425665219646,-7.180402437769645,8.792967289894092e-6,3.66460738762537e-5,-1.7728589655122856e-5,1.1945377657130464e-5,4.994080872825894e-5,-2.4121898444366367e-5
Yersinia,R1,-3.0757017533844393,-7.839490915060148,2.4305415532207475e-6,2.897619100929919e-5,-8.333568762024838e-6,2.0582355930770333e-6,2.4497302605787727e-5,-7.051226086777966e-6
Yersinia,R2,-3.265279026831877,-7.965398856358413,1.8118247087257169e-6,2.084429775366918e-5,-6.101557475026929e-6,1.6319499306828876e-6,1.875749049689907e-5,-5.493248519143256e-6
Yersinia,R3,-3.2509401758203262,-7.669585943439717,2.0845646743295135e-6,2.096469558203454e-5,-6.55939800064361e-6,2.1140212262347663e-6,2.1263877528136283e-5,-6.652547159779072e-6
Yersinia,R4,-3.3040706270369458,-7.555927916350751,2.0071841893487444e-6,1.8141835107386368e-5,-5.98438177560597e-6,1.6626625464904235e-6,1.5003045162566043e-5,-4.953094268979913e-6
Yersinia,R5,-3.3238497683873507,-7.415157906963378,2.5125732153857077e-6,2.1180235278014157e-5,-7.231990788375428e-6,2.2686865871181163e-6,1.9107793821745898e-5,-6.527183225429971e-6
