model,taxon_a,taxon_b,diff_logr,se,z,p,p_holm,resolved_raw,resolved_holm
within-curve only (naive),Flavobacterium_B,Yersinia,-1.0820368816972814,0.0022618392021720403,-478.3880660739292,0,0,TRUE,TRUE
within-curve only (naive),Herbaspirillum,Pseudomonas,-0.07325557734923116,0.0016896903736784792,-43.35443847605805,0,0,TRUE,TRUE
within-curve only (naive),Herbaspirillum,Serratia,-0.21131201471290684,0.001621648979399036,-130.3068773805886,0,0,TRUE,TRUE
within-curve only (naive),Herbaspirillum,Yersinia,-0.6242879585259029,0.001330589122265901,-469.1816189379211,0,0,TRUE,TRUE
within-curve only (naive),Pseudomonas,Serratia,-0.13805643736367568,0.0016758264302979052,-82.38110753458753,0,0,TRUE,TRUE
within-curve only (naive),Pseudomonas,Yersinia,-0.5510323811766717,0.0013961075260850882,-394.6919351705351,0,0,TRUE,TRUE
within-curve only (naive),Serratia,Yersinia,-0.41297594381299607,0.0013129387182483582,-314.54319845480916,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Aeromonas_A,-0.38892046650928247,0.002510388456092784,-154.9244164047048,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Aeromonas_B,-0.8412367592438135,0.002594191545635623,-324.2770414000773,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Arthrobacter,-0.5334368510434087,0.0024600520777956067,-216.83965793171686,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Bacillus,-0.6791285309498933,0.0022179548610873167,-306.1958306117021,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Burkholderia,-0.40426456335748995,0.002291298331916976,-176.43471289889555,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Buttiauxella,-0.41908742916416486,0.0022641582833240756,-185.0963478352276,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Chromobacterium,-0.5756849978050087,0.002265152478164705,-254.14845285446128,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Chryseobacterium,-0.12380586784136671,0.002325167971657827,-53.245988827677714,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Flavobacterium_A,-0.3594997566177387,0.002540844375382905,-141.4883021175046,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Flavobacterium_B,0.06813214091142594,0.002849531920776281,23.909941283572326,2.4139111526362786e-126,2.8966933831635344e-125,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Herbaspirillum,-0.38961678225995255,0.002180993645949387,-178.64186949079914,0,0,TRUE,TRUE
