Taxon,Replicate,n,sigma,rho_ar1,corr_vcov,corr_boot_iid,corr_boot_ar1,var_logsum_vcov,var_logdif_vcov,var_logsum_boot_iid,var_logdif_boot_iid,var_logsum_boot_ar1,var_logdif_boot_ar1,n_boot_ok_iid,n_boot_ok_ar1,ridge_ratio_vcov,ridge_ratio_boot_iid,ridge_ratio_boot_ar1
Flavobacterium_B,R4,117,0.00121229044109134,0.11356280559294166,-0.9809622235296165,-0.9804264744923191,-0.9825833442513292,4.90203075441334e-7,4.3277689427687085e-5,4.551049871047083e-7,4.085842117957411e-5,5.87212140066983e-7,5.6336952129546705e-5,300,300,88.2852262579622,89.7780124087579,95.93969246466938
Flavobacterium_B,R5,95,6.870087104771231e-4,-0.04417125127233693,-0.9737597210340287,-0.9782609647249169,-0.9734994704328185,4.536059270705408e-5,2.56700274353572e-4,5.124663977091138e-5,2.819170178520308e-4,4.127538214189161e-5,2.3148732882653756e-4,300,300,5.6591031782010255,5.501180547881551,5.608363068105775
Herbaspirillum,R1,113,9.526459848167516e-4,0.01310804334327418,-0.9829562426019258,-0.9829255899080589,-0.982146535150146,1.7012649053652078e-6,6.0447359455469485e-5,1.7040170302723322e-6,6.330164818984058e-5,1.5584239733641475e-6,5.737514106121695e-5,300,300,35.53083312589308,37.14848329874019,36.81613093859308
Herbaspirillum,R2,119,0.00106038504852326,0.01404965714581425,-0.9862236504781997,-0.9865184899787712,-0.9881320348387103,3.7506213168053098e-6,4.272000543497625e-5,3.7379458111096176e-6,4.125686550752667e-5,4.161155120223365e-6,4.818375967186667e-5,300,300,11.390114284148563,11.03730968622027,11.579419242914508
Herbaspirillum,R3,115,8.325269767318652e-4,0.06140754129002872,-0.9856405078439393,-0.9884225295020189,-0.9857533887120851,3.0082148841961055e-6,4.024104151062215e-5,3.231830710240671e-6,4.314256676094339e-5,3.4721345095109607e-6,4.864225071543207e-5,300,300,13.377050197454857,13.349265672932049,14.009322099184223
Herbaspirillum,R4,123,0.00125031821291019,-0.03368285801140502,-0.986159071228266,-0.9846272578846134,-0.9850966096458783,4.252080173555182e-6,4.931567114166367e-5,4.405420479575785e-6,4.991873677964523e-5,3.491198142438922e-6,4.0882784672024547e-05,300,300,11.59801065096819,11.331208226564584,11.710244736629063
Herbaspirillum,R5,125,0.00101943209656252,0.03724508750791787,-0.9852128880418498,-0.9847026784502253,-0.9885905401703412,2.485016897099145e-6,3.7896838335831355e-5,2.430963676210667e-6,3.7168053790909404e-5,2.811477710823802e-6,4.292426295694194e-5,300,300,15.250133059485343,15.2894319872546,15.26750960595897
Pseudomonas,R1,121,0.00138101316264743,-0.12905591517431483,-0.9876885477170092,-0.9868850634996895,-0.9886776296997589,8.43910252999862e-6,6.763752559104875e-5,8.38256758919191e-6,6.750637531323957e-5,6.998218019304981e-6,5.6753530945622175e-5,300,300,8.014777086854497,8.053185923639807,8.109711756487771
Pseudomonas,R2,119,0.00134755216308423,0.00206230772452323,-0.9854576140576042,-0.987394906626022,-0.9845992235003242,3.996860207667464e-6,5.651036132676858e-5,4.374542446694684e-6,6.328405224476833e-5,3.5736273312158156e-6,4.9863340265636055e-5,300,300,14.138688468103213,14.466439179847136,13.953144982432066
Pseudomonas,R3,112,0.00155619513902461,0.05077999262028734,-0.9869381439774234,-0.9880624907940142,-0.9883769261285028,6.252084744230192e-6,5.933199023335624e-5,6.682501151542308e-6,6.282432312672096e-5,6.302658004668182e-6,6.212548756275702e-5,300,300,9.489952977382696,9.401318713161947,9.857029766924146
Pseudomonas,R4,120,0.00148247553756988,-0.03392761385250834,-0.9841047322573292,-0.9874301918921988,-0.9831436644886746,1.752920860633084e-6,3.885800304233239e-5,1.9390190897513564e-6,4.6231012073779854e-5,1.7842834782375038e-6,3.88621808744985e-5,300,300,22.167574084490305,23.842473917937618,21.78027278091828
Pseudomonas,R5,100,0.00148181280375842,-0.06080016259286647,-0.9840451675598871,-0.9819955408175463,-0.9776131592426995,2.5393919657286637e-6,5.716557603773289e-5,2.743940762959509e-6,5.973259586831919e-5,2.1102426969982305e-6,4.252985138192499e-5,300,300,22.511521186659174,21.768908671298686,20.154009509153937
Serratia,R1,113,0.00148739780307204,-0.07728484845079436,-0.9845204292013949,-0.9836034457065318,-0.9854758882530982,1.9786948996008644e-6,3.7767413783051205e-5,1.8789386549060683e-6,3.711221042142174e-5,1.8463724758752743e-6,3.445353089544975e-5,300,300,19.087032462998472,19.751688180196098,18.660119420983584
Serratia,R2,109,0.00122782039005475,-0.17886636576564452,-0.9876655792433746,-0.9882582637562297,-0.9887090950745757,7.4923040748465455e-6,6.024276638551424e-5,7.541696959504326e-6,6.304841959862474e-5,5.549210007853586e-6,4.543335105309541e-5,300,300,8.040619518869182,8.359977858719022,8.187354774606712
Serratia,R3,112,0.0013762694555589,-0.1409645402839606,-0.9870712194719131,-0.983828298210442,-0.9899228132062111,2.8692421643380217e-6,2.641273907408882e-5,2.538203913807641e-6,2.3361975591670914e-5,2.7074925139384026e-6,2.4923508902080864e-5,300,300,9.205475718422898,9.204136619829281,9.205384234221336
Serratia,R4,96,0.00129826142422558,-0.05746038226042685,-0.9859890190036287,-0.9851668921043086,-0.9872145376496956,5.652576309754272e-6,6.819732498093261e-5,5.9172347006859814e-6,7.26082786668986e-5,4.9940412140987485e-6,6.034946975497537e-5,300,300,12.064821639514898,12.270643694170381,12.084295496921797
Serratia,R5,105,0.00130742219281984,0.1612753574737315,-0.9876264971452737,-0.9879370878971763,-0.9865111204286614,9.981862562907898e-6,8.089622576177958e-5,9.906756798795677e-6,8.108124326434178e-5,1.425573349451154e-5,1.1157617113325984e-4,300,300,8.10432173874903,8.184438652435526,7.826757646403582
Yersinia,R1,100,0.00133559329725568,-0.08772093586245079,-0.9930219541467161,-0.9930382718914459,-0.9926357080942975,1.4739595038470265e-5,4.807387008656962e-5,1.6418345674148347e-5,5.3106723437895726e-5,1.2231215067456003e-5,3.950148272207865e-5,300,300,3.2615461931686096,3.2345964990562597,3.2295632530558267
Yersinia,R2,119,0.00124799224819345,-0.05484637715692279,-0.9928622154029618,-0.9940729796651278,-0.9922984134959144,1.0453007512341036e-5,3.485923741244875e-5,1.180957839600641e-5,3.857989366463554e-5,8.693748731428084e-6,2.9384401577559487e-5,300,300,3.334852421304894,3.266830734421639,3.3799460377011195
Yersinia,R3,111,0.00131906633466514,0.00740068627621776,-0.9922292281358197,-0.9918549934158298,-0.9933514714459517,9.930464255076836e-6,3.616805625765128e-5,1.014541223188475e-5,3.657080825203366e-5,1.1185430033774837e-5,4.10303163185239e-5,300,300,3.6421314581703244,3.6046645928392964,3.668193014898066
Yersinia,R4,112,0.00125705385942409,-0.09840348269429489,-0.9917108630356611,-0.9925868943411386,-0.9919731615507116,8.180255929457739e-6,3.211778345527382e-5,8.27877626105202e-6,3.327486354304498e-5,7.310231477547381e-6,2.9061958947529943e-5,300,300,3.926256553858563,4.019297356734774,3.9755182906027997
Yersinia,R5,111,0.0014470724747141,-0.05347309451408038,-0.99136392525734,-0.9914520610419494,-0.989801999764983,9.228827214528395e-6,3.8156790503328e-5,1.0091164176167328e-5,4.0686809135797646e-5,7.533681115188093e-6,3.163941048247464e-5,300,300,4.134522146352467,4.031924208694293,4.1997278619463705
