Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Herbaspirillum,R2,0.02254198431127584,8.540847119233447e-4,6.976666666666667,none,2245785943.393712,2.6532645988427487e-12,59.756911863304424
Herbaspirillum,R3,0.02231892948367655,7.838853468847181e-4,6.423333333333333,none,1978608829.8256366,2.5447965268606893e-12,57.31399040713245
Herbaspirillum,R4,0.02169290408519785,8.99942686361268e-4,5.66,none,2597361061.060862,1.961096468707483e-12,44.16787865300126
Herbaspirillum,R5,0.01984617204888009,9.225470256429326e-4,6.0633333333333335,none,2224811291.4874334,2.514240265478224e-12,56.62580129131622
Pseudomonas,R1,0.02476961577599536,7.058706372483028e-4,6.373333333333333,none,904906410.813744,4.9715073378144334e-12,111.96845046782141
Pseudomonas,R2,0.02125353060972634,0.00104179913355233,5.92,none,939364767.5169163,6.565554813102705e-12,147.8696397153133
Pseudomonas,R3,0.02530935956809623,0.00105711326126181,6.093333333333333,none,1033251304.621212,6.234053074161547e-12,140.40354673496032
Pseudomonas,R4,0.01897503526471538,0.00161190660070288,6.193333333333333,none,851470988.1001288,1.1724503852595398e-11,264.0596583040002
Pseudomonas,R5,0.02272200698265882,0.00175463182406578,5.886666666666667,none,1002288723.2357528,1.0305346584819396e-11,232.0973520162493
Serratia,R1,0.02082821024253651,0.00170691110656803,5.836666666666667,none,864954692.8970224,1.151814221077918e-11,259.41197467404595
Serratia,R2,0.02748035207063554,7.793635591074545e-4,5.746666666666667,none,734612213.1937182,6.0967439771607165e-12,137.31106677231833
Serratia,R3,0.02555768003607791,0.00137708026726946,5.78,none,899413049.6001947,8.849686969024555e-12,199.31293865545456
Serratia,R4,0.02752262081406668,0.0011740583615552501,5.85,none,897415463.7043586,7.653357550523402e-12,172.3691684592848
Serratia,R5,0.02845516277322296,7.613613820133461e-4,5.633333333333333,none,911897961.4491702,4.7033798005124586e-12,105.92967332449867
Yersinia,R1,0.04615722602419903,3.938695026567253e-4,6.19,none,1938657111.908915,1.2575984718847372e-12,28.32367381550268
Yersinia,R2,0.0381862786006876,3.4727316928298985e-4,6.13,none,2710724060.6495595,7.853195235204487e-13,17.68699193137841
Yersinia,R3,0.03873777039055091,4.6681106987881e-4,6.123333333333333,none,2226808877.3832693,1.2836484592772397e-12,28.91037248149058
Yersinia,R4,0.03673333494154014,5.23000616042634e-4,6.28,none,2512963056.9617877,1.3070004589397693e-12,29.436306979796676
Yersinia,R5,0.03601391928858849,6.020573164751897e-4,5.9,none,1914186684.684923,1.8556905633205285e-12,41.793923412793674
