Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Aeromonas_B,R5,0.03578033974097163,5.710829700335417e-4,5.753333333333333,initial,414732718.4315863,7.922284742854134e-12,178.42595545925556
Arthrobacter,R1,0.02511080779633006,0.00161027041793647,6.01,initial,1337206059.2985673,7.237272927760023e-12,162.99809700979867
Arthrobacter,R2,0.02587640886188693,0.00136451060286592,5.903333333333333,initial,1225626637.5396683,6.572279582430694e-12,148.02109518952759
Arthrobacter,R3,0.02150094294318932,0.00199421650650208,6,initial,1524486829.8467534,7.848738870518989e-12,176.76955292293937
Arthrobacter,R4,0.0243928703356261,0.00158975003481593,6,initial,1883528489.0170033,5.064165614969614e-12,114.05530320907563
Arthrobacter,R5,0.02398857970330566,0.0020520520556274,7.003333333333333,initial,1129061105.3522286,1.272845596645297e-11,286.67070056828544
Bacillus,R1,0.0406522694099089,7.600458227107023e-4,6.03,initial,28072150.835549038,1.6326060435461104e-10,3676.960657984686
Bacillus,R2,0.02672952707892209,0.00146826563054103,5.926666666666667,initial,72906332.97201782,1.1935754571114861e-10,2688.1745387898104
Bacillus,R3,0.0250824325016013,0.00124469599260939,5.93,initial,50728564.334264226,1.455008106978539e-10,3276.974005797718
Bacillus,R4,0.02733746457736678,0.00120446088806259,6.26,initial,55862979.674406506,1.3497176848098225e-10,3039.838573457862
Bacillus,R5,0.02273270654790027,0.00174156996159367,5.783333333333333,initial,169112874.11959127,5.955832554826115e-11,1341.3745512097591
Burkholderia,R1,0.0225655256203426,0.00150950058400556,6.293333333333333,initial,1188062967.76959,7.996032701736976e-12,180.0869093953925
Burkholderia,R2,0.01985526299343977,0.00188222696498641,5.613333333333333,initial,1550913427.908688,6.8124804217499556e-12,153.43090632971817
Burkholderia,R3,0.02090622489729856,0.00141394129587253,6.6466666666666665,initial,1453767168.7927048,6.4645815930098864e-12,145.59551755792563
Burkholderia,R4,0.02075222150130871,0.00138522155435472,5.76,initial,1425311382.0575306,5.59798809826745e-12,126.07807059495656
Burkholderia,R5,0.02204622666471412,0.00130514474048356,6.056666666666667,initial,1710218630.4949813,4.62211468400051e-12,104.09941771897641
Buttiauxella,R1,0.02164977128433935,0.00125188704384754,5.86,initial,1452155159.7944143,5.051841759103189e-12,113.77774492516104
Buttiauxella,R2,0.02444709978164981,0.00154856277118677,5.72,initial,1285052179.9806008,6.8929333681392155e-12,155.24287021323852
Buttiauxella,R3,0.02162603229409613,0.00150030925686358,5.87,initial,1139130117.7786953,7.73117592129204e-12,174.1217963447191
Buttiauxella,R4,0.01862887955508459,0.00214837784846517,5.8133333333333335,initial,1977947973.097829,6.314239165511056e-12,142.20950050056868
