Taxon,Replicate,r_per_minute,K,G_C_fg_cell_h,N0_cells_per_L,N0_fixed_taxon,R_default,R_fixed_tax,R_fixed_all
Arthrobacter,R1,0.02511080779633006,0.00161027041793647,118.91750358915826,1318264379.1913104,1619172800.5415797,165.3401596949379,134.61320675763244,177.21594251312214
Arthrobacter,R2,0.02587640886188693,0.00136451060286592,122.54316821132656,1117161426.0563328,1619172800.5415797,162.39246446460453,112.04399994947983,147.503974775205
Arthrobacter,R3,0.02150094294318932,0.00199421650650208,101.8222305054911,1679516634.1844237,1619172800.5415797,160.45262658549498,166.43242479047527,219.10538894666126
Arthrobacter,R4,0.0243928703356261,0.00158975003481593,115.51755997712787,1951082118.7633407,1619172800.5415797,110.10628965936624,132.6766438059677,174.6664911109787
Arthrobacter,R5,0.02398857970330566,0.0020520520556274,113.60295678674169,2029839444.5124905,1619172800.5415797,159.45533964803968,199.89758841518682,263.1616940890454
Bacillus,R1,0.0406522694099089,7.600458227107023e-4,269.39429631650665,34774503.53743408,88654016.44744536,2968.272260054301,1164.3036417703117,83.9240803266065
Bacillus,R2,0.02672952707892209,0.00146826563054103,177.13112312849265,93745658.16275518,88654016.44744536,2090.602934075676,2210.6719567307073,159.3472735259592
Bacillus,R3,0.0250824325016013,0.00124469599260939,166.21616337188155,51307385.10290849,88654016.44744536,3240.0050468640707,1875.1117358948638,135.15978332364244
Bacillus,R4,0.02733746457736678,0.00120446088806259,181.1598009114359,62997579.18865025,88654016.44744536,2695.5708874786087,1915.4737399091264,138.06911379853935
Bacillus,R5,0.02273270654790027,0.00174156996159367,150.64500882079932,200444956.24547884,88654016.44744536,1131.7007415649375,2558.752718896087,184.43725589490262
Burkholderia,R1,0.0225655256203426,0.00150950058400556,98.09193369216815,1505046614.6654606,1607609552.1275337,142.1581138736362,133.08865187420207,173.95764627452695
Burkholderia,R2,0.01985526299343977,0.00188222696498641,86.31047083774881,1912174536.069011,1607609552.1275337,124.44368879220993,148.0198052867022,193.47387299427385
Burkholderia,R3,0.02090622489729856,0.00141394129587253,90.87898331650874,1631555330.08315,1607609552.1275337,129.73019023406815,131.66255641425963,172.0936240150719
Burkholderia,R4,0.02075222150130871,0.00138522155435472,90.20953332620198,1440852142.553858,1607609552.1275337,124.71821621358929,111.78119015841015,146.10706821271518
Burkholderia,R5,0.02204622666471412,0.00130514474048356,95.83455047943232,1548419137.2661884,1607609552.1275337,114.97711396217883,110.7437831350664,144.7510932180919
Buttiauxella,R1,0.02164977128433935,0.00125188704384754,94.11116607714006,1499467367.0280745,1681602803.120136,110.18775266201034,98.2532492549857,134.33595374790877
Buttiauxella,R2,0.02444709978164981,0.00154856277118677,106.2711027030357,1541526925.0789518,1681602803.120136,129.41401512253924,118.63395352565635,162.20130544889273
Buttiauxella,R3,0.02162603229409613,0.00150030925686358,94.0079731138546,1460816733.4175856,1681602803.120136,135.7784161699488,117.95138662350791,161.2680714185463
Buttiauxella,R4,0.01862887955508459,0.00214837784846517,80.97940410612077,2454251945.666075,1681602803.120136,114.6104798926892,167.2707685479871,228.69959413478958
Buttiauxella,R5,0.02164406271296873,0.0014995347819748,94.08635102014624,1451951044.409993,1681602803.120136,132.35014455313996,114.27545806607193,156.2421880771129
Chromobacterium,R1,0.02522617126544078,0.00146207685325083,111.2186574453512,891124886.278548,886222708.4487411,218.26378162315223,219.47111682357223,158.14015739428623
Chromobacterium,R2,0.02625342021813681,0.00117880589961358,115.74765426293465,994001055.2524904,886222708.4487411,166.75526742804857,187.03527929512285,134.76847857748828
Chromobacterium,R3,0.02637388049003547,0.00115978394314153,116.2787467372978,696312614.3438448,886222708.4487411,213.57333228685772,167.80635831268577,120.91305817094168
Chromobacterium,R4,0.02319349563680926,0.0016979271532427,102.25687517330287,1026196183.4535604,886222708.4487411,220.48210392408043,255.3059083339752,183.96095628420153
Chromobacterium,R5,0.02492601488710632,0.00121599323744506,109.89530999516758,823478802.9152616,886222708.4487411,187.34916781530185,174.08498672953817,125.4371308618345
Chryseobacterium,R1,0.01546010521164195,8.384499700131765e-4,46.72872456597542,2804145113.797192,2718942770.7471957,41.14579543364204,42.4351635716256,93.8097256775361
Chryseobacterium,R2,0.01681179114807214,7.875711363987316e-4,50.814243969529386,2406945449.5078826,2718942770.7471957,43.87239334265166,38.838058178802974,85.85774807847935
Chryseobacterium,R3,0.01668582715915156,9.312067517155902e-4,50.43351327831333,2610369325.537836,2718942770.7471957,47.16174256023156,45.278469058879395,100.09530785342432
Chryseobacterium,R4,0.01577081633140894,6.788354020645641e-4,47.667860111071455,2299360150.5472474,2718942770.7471957,38.27684635364614,32.37002857916238,71.5591327004021
Chryseobacterium,R5,0.0154155460716585,0.00107848665072903,46.5940429612464,3473893814.3458204,2718942770.7471957,41.48628680466516,53.00551253283547,117.17717504987604
Flavobacterium_A,R1,0.01802196080469134,0.0011986181924599,56.946728892625565,952603788.2821234,1259117397.9044323,171.825488956515,129.99710112482114,133.08276383392015
Flavobacterium_A,R2,0.01567720728141338,0.00213836650630877,49.537654782588646,2023287224.494676,1259117397.9044323,147.97548387220414,237.78315394207024,243.42726911558086
Flavobacterium_A,R3,0.02416130472305527,0.00128073842831951,76.34614705175566,888365724.6710763,1259117397.9044323,198.60539594692543,140.12531856649605,143.45138865852135
Flavobacterium_A,R4,0.02351547306940147,0.00150600350882712,74.30541460929437,1230675099.0413585,1259117397.9044323,143.40747923504054,140.16803675700658,143.49512082493072
Flavobacterium_A,R5,0.02134249516371314,0.00149395526128402,67.43912602804932,1200655153.0329273,1259117397.9044323,172.8133781738969,164.78945756991632,168.7009654395257
Flavobacterium_B,R1,0.01610033938702341,0.00162419639662112,50.874689612764705,419762688.64751494,494938984.4945575,535.6510431417109,454.29099159693055,182.81326573198956
Flavobacterium_B,R2,0.0148048700529281,0.00210437422267767,46.78119824648499,457352216.5492711,494938984.4945575,598.6280687271183,553.1669209701676,222.60236982024483
Flavobacterium_B,R3,0.01418676802705085,0.0017838885985855,44.828087323812696,588836967.7929498,494938984.4945575,429.85382428839085,511.4040930654597,205.7964038277766
Flavobacterium_B,R4,0.01497899103177519,0.00188355084972967,47.33139476973692,403040637.43186367,494938984.4945575,686.9537968410926,559.4028856866419,225.11181221706795
Flavobacterium_B,R5,0.0079724812945485,0.00158874793200477,25.191860963541668,605702412.0511879,494938984.4945575,369.80911521181287,452.56946835791945,182.12049988107353
Herbaspirillum,R1,0.01838774088062516,0.00104265515970884,79.93117862874172,2809032204.429867,2678857938.596353,49.18300011835828,51.57295922729539,112.32945555980636
Herbaspirillum,R2,0.02254198431127584,8.540847119233447e-4,97.9896000453985,2517508380.371204,2678857938.596353,53.307164230149745,50.096435032887086,109.11348421816218
Herbaspirillum,R3,0.02231892948367655,7.838853468847181e-4,97.01998472481128,2495921265.239381,2678857938.596353,45.43491378171252,42.33220651913837,92.20246001364599
Herbaspirillum,R4,0.02169290408519785,8.99942686361268e-4,94.29866358608152,2559007494.050646,2678857938.596353,44.8298523664645,42.824192544930845,93.27403944690552
Herbaspirillum,R5,0.01984617204888009,9.225470256429326e-4,86.2709526653849,3012820348.890668,2678857938.596353,41.815212164519195,47.02814594507947,102.43053935912233
Pseudomonas,R1,0.02476961577599536,7.058706372483028e-4,100.27562817366686,551109269.5065068,1093243577.512628,183.84914615560908,92.67922604012952,82.37989839080855
Pseudomonas,R2,0.02125353060972634,0.00104179913355233,86.04134808033466,962899023.603232,1093243577.512628,144.25555154703588,127.05634187215792,112.93672790064198
Pseudomonas,R3,0.02530935956809623,0.00105711326126181,102.46069023903016,919174471.2268914,1093243577.512628,157.82873913339327,132.69883383848858,117.95217672038079
Pseudomonas,R4,0.01897503526471538,0.00161190660070288,76.81724246327576,1455051627.5081596,1093243577.512628,154.52313438426762,205.66243680575596,182.80742482169933
Pseudomonas,R5,0.02272200698265882,0.00175463182406578,91.98622797212116,1577983495.718351,1093243577.512628,147.42141426065194,212.78749164760447,189.14068114007074
Serratia,R1,0.02082821024253651,0.00170691110656803,63.887910564490205,1428507555.099089,839344280.3536482,157.072746368805,267.32725788452353,182.4337972708081
Serratia,R2,0.02748035207063554,7.793635591074545e-4,84.29251745231363,447516314.8684759,839344280.3536482,225.40046766171812,120.17760651815318,82.01354877733543
Serratia,R3,0.02555768003607791,0.00137708026726946,78.39496324298445,1002288723.2357528,839344280.3536482,178.85530768234915,213.5770293274028,145.75269569722605
Serratia,R4,0.02752262081406668,0.0011740583615552501,84.42217149692696,799346909.0622295,839344280.3536482,193.5164263319643,184.2947654043085,125.7694188609983
Serratia,R5,0.02845516277322296,7.613613820133461e-4,87.282626456352,519061899.5026939,839344280.3536482,186.09929423472457,115.08633039220425,78.53907765919645
Yersinia,R1,0.04615722602419903,3.938695026567253e-4,163.88538514926083,359021501.6312518,587922135.5424101,152.94318426145435,93.39653732743598,44.64496695906185
Yersinia,R2,0.0381862786006876,3.4727316928298985e-4,135.5838189368154,527417951.8324244,587922135.5424101,90.90429027363751,81.54915709147267,38.98173881033853
Yersinia,R3,0.03873777039055091,4.6681106987881e-4,137.54194017098615,574040249.8832228,587922135.5424101,112.14871100647838,109.50068078461769,52.34299274377868
Yersinia,R4,0.03673333494154014,5.23000616042634e-4,130.42501171008297,783193995.4609091,587922135.5424101,94.4495902705214,125.81998108536843,60.14386677583981
Yersinia,R5,0.03601391928858849,6.020573164751897e-4,127.87066168686944,695936978.9042426,587922135.5424101,114.95490845086834,136.0747739557429,65.0458139140385
