Time,Taxon,Replicate,Oxygen
157.08,Aeromonas_A,R1,3.1
158.08,Aeromonas_A,R1,3.02
159.08,Aeromonas_A,R1,2.95
160.08,Aeromonas_A,R1,2.85
161.08,Aeromonas_A,R1,2.78
162.08,Aeromonas_A,R1,2.71
163.08,Aeromonas_A,R1,2.62
164.08,Aeromonas_A,R1,2.53
165.08,Aeromonas_A,R1,2.42
166.08,Aeromonas_A,R1,2.36
167.08,Aeromonas_A,R1,2.25
168.08,Aeromonas_A,R1,2.15
169.08,Aeromonas_A,R1,2.06
170.08,Aeromonas_A,R1,1.96
171.08,Aeromonas_A,R1,1.86
172.08,Aeromonas_A,R1,1.75
173.08,Aeromonas_A,R1,1.65
174.08,Aeromonas_A,R1,1.54
175.08,Aeromonas_A,R1,1.42
176.08,Aeromonas_A,R1,1.32
177.08,Aeromonas_A,R1,1.2
178.08,Aeromonas_A,R1,1.09
179.1,Aeromonas_A,R1,0.97
180.1,Aeromonas_A,R1,0.83
181.1,Aeromonas_A,R1,0.71
182.1,Aeromonas_A,R1,0.58
183.1,Aeromonas_A,R1,0.45
184.1,Aeromonas_A,R1,0.33
185.1,Aeromonas_A,R1,0.18
186.1,Aeromonas_A,R1,0.06
187.1,Aeromonas_A,R1,0
188.1,Aeromonas_A,R1,0
189.1,Aeromonas_A,R1,0
190.1,Aeromonas_A,R1,0
191.1,Aeromonas_A,R1,0
192.1,Aeromonas_A,R1,0
193.1,Aeromonas_A,R1,0
194.1,Aeromonas_A,R1,0
195.1,Aeromonas_A,R1,0
196.1,Aeromonas_A,R1,0
197.1,Aeromonas_A,R1,0
198.1,Aeromonas_A,R1,0
199.1,Aeromonas_A,R1,0
200.1,Aeromonas_A,R1,0
201.1,Aeromonas_A,R1,0
202.1,Aeromonas_A,R1,0
203.1,Aeromonas_A,R1,0
204.1,Aeromonas_A,R1,0
205.1,Aeromonas_A,R1,0
206.1,Aeromonas_A,R1,0
207.1,Aeromonas_A,R1,0
208.1,Aeromonas_A,R1,0
209.1,Aeromonas_A,R1,0
210.1,Aeromonas_A,R1,0
211.1,Aeromonas_A,R1,0
212.1,Aeromonas_A,R1,0
0.03,Bacillus,R1,4.72
1.05,Bacillus,R1,4.69
2.05,Bacillus,R1,4.77
3.05,Bacillus,R1,4.83
4.05,Bacillus,R1,4.91
5.05,Bacillus,R1,4.97
6.05,Bacillus,R1,5.04
7.05,Bacillus,R1,5.12
8.05,Bacillus,R1,5.17
9.05,Bacillus,R1,5.23
10.05,Bacillus,R1,5.29
11.05,Bacillus,R1,5.35
12.05,Bacillus,R1,5.39
13.05,Bacillus,R1,5.44
14.05,Bacillus,R1,5.48
15.05,Bacillus,R1,5.52
16.05,Bacillus,R1,5.56
17.05,Bacillus,R1,5.57
18.05,Bacillus,R1,5.61
19.05,Bacillus,R1,5.64
20.05,Bacillus,R1,5.66
21.05,Bacillus,R1,5.69
22.05,Bacillus,R1,5.72
23.05,Bacillus,R1,5.75
24.05,Bacillus,R1,5.76
25.05,Bacillus,R1,5.8
26.05,Bacillus,R1,5.83
27.05,Bacillus,R1,5.86
28.05,Bacillus,R1,5.87
29.05,Bacillus,R1,5.88
30.05,Bacillus,R1,5.91
31.05,Bacillus,R1,5.94
32.05,Bacillus,R1,5.95
33.05,Bacillus,R1,5.97
34.05,Bacillus,R1,5.98
35.05,Bacillus,R1,5.98
36.05,Bacillus,R1,6.02
37.05,Bacillus,R1,6.03
38.05,Bacillus,R1,6.03
39.05,Bacillus,R1,6.03
40.05,Bacillus,R1,6.03
41.05,Bacillus,R1,6.06
42.07,Bacillus,R1,6.06
43.07,Bacillus,R1,6.07
44.07,Bacillus,R1,6.08
45.07,Bacillus,R1,6.08
46.07,Bacillus,R1,6.08
47.07,Bacillus,R1,6.06
48.07,Bacillus,R1,6.07
49.07,Bacillus,R1,6.06
50.07,Bacillus,R1,6.05
51.07,Bacillus,R1,6.06
52.07,Bacillus,R1,6.04
53.07,Bacillus,R1,6.04
54.07,Bacillus,R1,6.03
55.07,Bacillus,R1,6.03
56.07,Bacillus,R1,6.03
57.07,Bacillus,R1,6.02
58.07,Bacillus,R1,6.02
59.07,Bacillus,R1,6.02
60.07,Bacillus,R1,6.02
61.07,Bacillus,R1,6.01
62.07,Bacillus,R1,6
63.07,Bacillus,R1,6
64.07,Bacillus,R1,5.99
65.07,Bacillus,R1,5.99
66.07,Bacillus,R1,5.97
67.07,Bacillus,R1,5.97
68.07,Bacillus,R1,5.96
69.07,Bacillus,R1,5.95
70.07,Bacillus,R1,5.95
71.07,Bacillus,R1,5.94
72.07,Bacillus,R1,5.93
73.07,Bacillus,R1,5.91
74.07,Bacillus,R1,5.91
75.07,Bacillus,R1,5.89
76.07,Bacillus,R1,5.88
77.07,Bacillus,R1,5.87
78.07,Bacillus,R1,5.85
79.07,Bacillus,R1,5.85
80.07,Bacillus,R1,5.84
81.07,Bacillus,R1,5.83
82.07,Bacillus,R1,5.81
83.07,Bacillus,R1,5.8
84.07,Bacillus,R1,5.78
85.07,Bacillus,R1,5.76
86.07,Bacillus,R1,5.75
87.07,Bacillus,R1,5.73
88.07,Bacillus,R1,5.71
89.07,Bacillus,R1,5.69
90.07,Bacillus,R1,5.66
91.07,Bacillus,R1,5.65
92.07,Bacillus,R1,5.63
93.07,Bacillus,R1,5.61
94.07,Bacillus,R1,5.57
95.07,Bacillus,R1,5.57
96.07,Bacillus,R1,5.53
97.07,Bacillus,R1,5.51
98.07,Bacillus,R1,5.49
99.07,Bacillus,R1,5.45
100.07,Bacillus,R1,5.42
101.07,Bacillus,R1,5.4
102.07,Bacillus,R1,5.36
103.07,Bacillus,R1,5.33
104.07,Bacillus,R1,5.3
105.07,Bacillus,R1,5.25
106.07,Bacillus,R1,5.23
107.07,Bacillus,R1,5.18
108.07,Bacillus,R1,5.15
109.07,Bacillus,R1,5.11
110.07,Bacillus,R1,5.06
111.07,Bacillus,R1,5.01
112.07,Bacillus,R1,4.98
113.07,Bacillus,R1,4.92
114.07,Bacillus,R1,4.86
115.07,Bacillus,R1,4.81
116.07,Bacillus,R1,4.75
117.07,Bacillus,R1,4.69
118.07,Bacillus,R1,4.63
119.07,Bacillus,R1,4.57
120.07,Bacillus,R1,4.51
121.07,Bacillus,R1,4.45
122.07,Bacillus,R1,4.38
123.07,Bacillus,R1,4.28
124.08,Bacillus,R1,4.22
125.08,Bacillus,R1,4.14
126.08,Bacillus,R1,4.05
127.08,Bacillus,R1,3.96
128.08,Bacillus,R1,3.88
129.08,Bacillus,R1,3.78
130.08,Bacillus,R1,3.68
131.08,Bacillus,R1,3.57
132.08,Bacillus,R1,3.48
133.08,Bacillus,R1,3.35
134.08,Bacillus,R1,3.25
135.08,Bacillus,R1,3.12
136.08,Bacillus,R1,3
137.08,Bacillus,R1,2.86
138.08,Bacillus,R1,2.73
139.08,Bacillus,R1,2.58
140.08,Bacillus,R1,2.43
141.08,Bacillus,R1,2.27
142.08,Bacillus,R1,2.12
143.08,Bacillus,R1,1.95
144.08,Bacillus,R1,1.78
145.08,Bacillus,R1,1.58
146.08,Bacillus,R1,1.39
147.08,Bacillus,R1,1.2
148.08,Bacillus,R1,0.99
149.08,Bacillus,R1,0.78
150.08,Bacillus,R1,0.55
151.08,Bacillus,R1,0.32
152.08,Bacillus,R1,0.09
153.08,Bacillus,R1,0.05
154.08,Bacillus,R1,0.01
155.08,Bacillus,R1,0
156.08,Bacillus,R1,0
157.08,Bacillus,R1,0
158.08,Bacillus,R1,0
159.08,Bacillus,R1,0
160.08,Bacillus,R1,0
161.08,Bacillus,R1,0
162.08,Bacillus,R1,0
163.08,Bacillus,R1,0
164.08,Bacillus,R1,0
165.08,Bacillus,R1,0
166.08,Bacillus,R1,0
167.08,Bacillus,R1,0
168.08,Bacillus,R1,0
169.08,Bacillus,R1,0
170.08,Bacillus,R1,0
171.08,Bacillus,R1,0
172.08,Bacillus,R1,0
173.08,Bacillus,R1,0
174.08,Bacillus,R1,0
175.08,Bacillus,R1,0
176.08,Bacillus,R1,0
177.08,Bacillus,R1,0
178.08,Bacillus,R1,0
179.1,Bacillus,R1,0
180.1,Bacillus,R1,0
181.1,Bacillus,R1,0
182.1,Bacillus,R1,0
183.1,Bacillus,R1,0
184.1,Bacillus,R1,0
185.1,Bacillus,R1,0
186.1,Bacillus,R1,0
187.1,Bacillus,R1,0
188.1,Bacillus,R1,0
189.1,Bacillus,R1,0
190.1,Bacillus,R1,0
191.1,Bacillus,R1,0
192.1,Bacillus,R1,0
193.1,Bacillus,R1,0
194.1,Bacillus,R1,0
195.1,Bacillus,R1,0
196.1,Bacillus,R1,0
197.1,Bacillus,R1,0
198.1,Bacillus,R1,0
199.1,Bacillus,R1,0
200.1,Bacillus,R1,0
201.1,Bacillus,R1,0
202.1,Bacillus,R1,0
203.1,Bacillus,R1,0
204.1,Bacillus,R1,0
205.1,Bacillus,R1,0
206.1,Bacillus,R1,0
207.1,Bacillus,R1,0
208.1,Bacillus,R1,0
209.1,Bacillus,R1,0
210.1,Bacillus,R1,0
211.1,Bacillus,R1,0
212.1,Bacillus,R1,0
0.03,Chromobacterium,R1,4.76
1.05,Chromobacterium,R1,4.73
2.05,Chromobacterium,R1,4.77
3.05,Chromobacterium,R1,4.83
4.05,Chromobacterium,R1,4.91
5.05,Chromobacterium,R1,4.97
6.05,Chromobacterium,R1,5.02
7.05,Chromobacterium,R1,5.09
8.05,Chromobacterium,R1,5.16
9.05,Chromobacterium,R1,5.2
10.05,Chromobacterium,R1,5.26
11.05,Chromobacterium,R1,5.31
12.05,Chromobacterium,R1,5.35
13.05,Chromobacterium,R1,5.38
14.05,Chromobacterium,R1,5.42
15.05,Chromobacterium,R1,5.46
16.05,Chromobacterium,R1,5.49
17.05,Chromobacterium,R1,5.51
18.05,Chromobacterium,R1,5.54
19.05,Chromobacterium,R1,5.58
20.05,Chromobacterium,R1,5.6
21.05,Chromobacterium,R1,5.61
22.05,Chromobacterium,R1,5.64
23.05,Chromobacterium,R1,5.66
24.05,Chromobacterium,R1,5.68
25.05,Chromobacterium,R1,5.7
26.05,Chromobacterium,R1,5.73
27.05,Chromobacterium,R1,5.74
28.05,Chromobacterium,R1,5.76
29.05,Chromobacterium,R1,5.76
30.05,Chromobacterium,R1,5.78
31.05,Chromobacterium,R1,5.8
32.05,Chromobacterium,R1,5.81
33.05,Chromobacterium,R1,5.83
34.05,Chromobacterium,R1,5.83
35.05,Chromobacterium,R1,5.85
36.05,Chromobacterium,R1,5.87
37.05,Chromobacterium,R1,5.87
38.05,Chromobacterium,R1,5.87
39.05,Chromobacterium,R1,5.87
40.05,Chromobacterium,R1,5.87
41.05,Chromobacterium,R1,5.89
42.07,Chromobacterium,R1,5.89
43.07,Chromobacterium,R1,5.9
44.07,Chromobacterium,R1,5.9
45.07,Chromobacterium,R1,5.89
46.07,Chromobacterium,R1,5.9
47.07,Chromobacterium,R1,5.91
48.07,Chromobacterium,R1,5.9
49.07,Chromobacterium,R1,5.9
50.07,Chromobacterium,R1,5.91
51.07,Chromobacterium,R1,5.91
52.07,Chromobacterium,R1,5.9
53.07,Chromobacterium,R1,5.92
54.07,Chromobacterium,R1,5.91
55.07,Chromobacterium,R1,5.9
56.07,Chromobacterium,R1,5.91
57.07,Chromobacterium,R1,5.89
58.07,Chromobacterium,R1,5.88
59.07,Chromobacterium,R1,5.87
60.07,Chromobacterium,R1,5.85
61.07,Chromobacterium,R1,5.85
62.07,Chromobacterium,R1,5.83
63.07,Chromobacterium,R1,5.82
64.07,Chromobacterium,R1,5.82
65.07,Chromobacterium,R1,5.8
66.07,Chromobacterium,R1,5.78
67.07,Chromobacterium,R1,5.77
68.07,Chromobacterium,R1,5.76
69.07,Chromobacterium,R1,5.76
70.07,Chromobacterium,R1,5.75
71.07,Chromobacterium,R1,5.73
72.07,Chromobacterium,R1,5.71
73.07,Chromobacterium,R1,5.7
74.07,Chromobacterium,R1,5.68
75.07,Chromobacterium,R1,5.67
76.07,Chromobacterium,R1,5.65
77.07,Chromobacterium,R1,5.65
78.07,Chromobacterium,R1,5.63
79.07,Chromobacterium,R1,5.61
80.07,Chromobacterium,R1,5.6
81.07,Chromobacterium,R1,5.59
82.07,Chromobacterium,R1,5.56
83.07,Chromobacterium,R1,5.55
84.07,Chromobacterium,R1,5.52
85.07,Chromobacterium,R1,5.5
86.07,Chromobacterium,R1,5.49
87.07,Chromobacterium,R1,5.46
88.07,Chromobacterium,R1,5.44
89.07,Chromobacterium,R1,5.44
90.07,Chromobacterium,R1,5.41
91.07,Chromobacterium,R1,5.38
92.07,Chromobacterium,R1,5.34
93.07,Chromobacterium,R1,5.35
94.07,Chromobacterium,R1,5.32
95.07,Chromobacterium,R1,5.3
96.07,Chromobacterium,R1,5.27
97.07,Chromobacterium,R1,5.24
98.07,Chromobacterium,R1,5.23
99.07,Chromobacterium,R1,5.19
100.07,Chromobacterium,R1,5.17
101.07,Chromobacterium,R1,5.13
102.07,Chromobacterium,R1,5.11
103.07,Chromobacterium,R1,5.08
104.07,Chromobacterium,R1,5.04
105.07,Chromobacterium,R1,5
106.07,Chromobacterium,R1,4.99
107.07,Chromobacterium,R1,4.95
108.07,Chromobacterium,R1,4.92
109.07,Chromobacterium,R1,4.88
110.07,Chromobacterium,R1,4.85
111.07,Chromobacterium,R1,4.8
112.07,Chromobacterium,R1,4.79
113.07,Chromobacterium,R1,4.74
114.07,Chromobacterium,R1,4.69
115.07,Chromobacterium,R1,4.66
116.07,Chromobacterium,R1,4.61
117.07,Chromobacterium,R1,4.58
118.07,Chromobacterium,R1,4.53
119.07,Chromobacterium,R1,4.49
120.07,Chromobacterium,R1,4.44
121.07,Chromobacterium,R1,4.4
122.07,Chromobacterium,R1,4.35
123.07,Chromobacterium,R1,4.3
124.08,Chromobacterium,R1,4.26
125.08,Chromobacterium,R1,4.21
126.08,Chromobacterium,R1,4.15
127.08,Chromobacterium,R1,4.1
128.08,Chromobacterium,R1,4.04
129.08,Chromobacterium,R1,3.97
130.08,Chromobacterium,R1,3.93
131.08,Chromobacterium,R1,3.86
132.08,Chromobacterium,R1,3.81
133.08,Chromobacterium,R1,3.74
134.08,Chromobacterium,R1,3.68
135.08,Chromobacterium,R1,3.62
136.08,Chromobacterium,R1,3.55
137.08,Chromobacterium,R1,3.47
138.08,Chromobacterium,R1,3.4
139.08,Chromobacterium,R1,3.33
140.08,Chromobacterium,R1,3.26
141.08,Chromobacterium,R1,3.18
142.08,Chromobacterium,R1,3.1
143.08,Chromobacterium,R1,3.03
144.08,Chromobacterium,R1,2.95
145.08,Chromobacterium,R1,2.86
146.08,Chromobacterium,R1,2.77
147.08,Chromobacterium,R1,2.68
148.08,Chromobacterium,R1,2.59
149.08,Chromobacterium,R1,2.5
150.08,Chromobacterium,R1,2.4
151.08,Chromobacterium,R1,2.29
152.08,Chromobacterium,R1,2.2
153.08,Chromobacterium,R1,2.09
154.08,Chromobacterium,R1,1.99
155.08,Chromobacterium,R1,1.86
156.08,Chromobacterium,R1,1.76
157.08,Chromobacterium,R1,1.63
158.08,Chromobacterium,R1,1.53
159.08,Chromobacterium,R1,1.41
160.08,Chromobacterium,R1,1.29
161.08,Chromobacterium,R1,1.15
162.08,Chromobacterium,R1,1.02
163.08,Chromobacterium,R1,0.9
164.08,Chromobacterium,R1,0.76
165.08,Chromobacterium,R1,0.61
166.08,Chromobacterium,R1,0.46
167.08,Chromobacterium,R1,0.32
168.08,Chromobacterium,R1,0.17
169.08,Chromobacterium,R1,0.03
170.08,Chromobacterium,R1,0
171.08,Chromobacterium,R1,0
172.08,Chromobacterium,R1,0
173.08,Chromobacterium,R1,0
174.08,Chromobacterium,R1,0
175.08,Chromobacterium,R1,0
176.08,Chromobacterium,R1,0
177.08,Chromobacterium,R1,0
178.08,Chromobacterium,R1,0
179.1,Chromobacterium,R1,0
180.1,Chromobacterium,R1,0
181.1,Chromobacterium,R1,0
182.1,Chromobacterium,R1,0
183.1,Chromobacterium,R1,0
184.1,Chromobacterium,R1,0
185.1,Chromobacterium,R1,0
186.1,Chromobacterium,R1,0
187.1,Chromobacterium,R1,0
188.1,Chromobacterium,R1,0
189.1,Chromobacterium,R1,0
190.1,Chromobacterium,R1,0
191.1,Chromobacterium,R1,0
192.1,Chromobacterium,R1,0
193.1,Chromobacterium,R1,0
194.1,Chromobacterium,R1,0
195.1,Chromobacterium,R1,0
196.1,Chromobacterium,R1,0
197.1,Chromobacterium,R1,0
198.1,Chromobacterium,R1,0
199.1,Chromobacterium,R1,0
200.1,Chromobacterium,R1,0
201.1,Chromobacterium,R1,0
202.1,Chromobacterium,R1,0
203.1,Chromobacterium,R1,0
204.1,Chromobacterium,R1,0
205.1,Chromobacterium,R1,0
206.1,Chromobacterium,R1,0
207.1,Chromobacterium,R1,0
208.1,Chromobacterium,R1,0
209.1,Chromobacterium,R1,0
210.1,Chromobacterium,R1,0
211.1,Chromobacterium,R1,0
212.1,Chromobacterium,R1,0
0.03,Chryseobacterium,R1,4.99
1.05,Chryseobacterium,R1,4.89
2.05,Chryseobacterium,R1,4.91
3.05,Chryseobacterium,R1,4.97
4.05,Chryseobacterium,R1,5.03
5.05,Chryseobacterium,R1,5.1
6.05,Chryseobacterium,R1,5.15
7.05,Chryseobacterium,R1,5.23
8.05,Chryseobacterium,R1,5.27
9.05,Chryseobacterium,R1,5.34
10.05,Chryseobacterium,R1,5.41
11.05,Chryseobacterium,R1,5.45
12.05,Chryseobacterium,R1,5.5
13.05,Chryseobacterium,R1,5.53
14.05,Chryseobacterium,R1,5.59
15.05,Chryseobacterium,R1,5.64
16.05,Chryseobacterium,R1,5.66
17.05,Chryseobacterium,R1,5.7
18.05,Chryseobacterium,R1,5.75
19.05,Chryseobacterium,R1,5.77
20.05,Chryseobacterium,R1,5.79
21.05,Chryseobacterium,R1,5.83
22.05,Chryseobacterium,R1,5.85
23.05,Chryseobacterium,R1,5.87
24.05,Chryseobacterium,R1,5.88
25.05,Chryseobacterium,R1,5.9
26.05,Chryseobacterium,R1,5.93
27.05,Chryseobacterium,R1,5.94
28.05,Chryseobacterium,R1,5.96
29.05,Chryseobacterium,R1,5.97
30.05,Chryseobacterium,R1,5.99
31.05,Chryseobacterium,R1,6
32.05,Chryseobacterium,R1,6.02
33.05,Chryseobacterium,R1,6.03
34.05,Chryseobacterium,R1,6.03
35.05,Chryseobacterium,R1,6.04
36.05,Chryseobacterium,R1,6.04
37.05,Chryseobacterium,R1,6.07
38.05,Chryseobacterium,R1,6.08
39.05,Chryseobacterium,R1,6.08
40.05,Chryseobacterium,R1,6.1
41.05,Chryseobacterium,R1,6.08
42.07,Chryseobacterium,R1,6.1
43.07,Chryseobacterium,R1,6.1
44.07,Chryseobacterium,R1,6.12
45.07,Chryseobacterium,R1,6.11
46.07,Chryseobacterium,R1,6.13
47.07,Chryseobacterium,R1,6.13
48.07,Chryseobacterium,R1,6.13
49.07,Chryseobacterium,R1,6.13
50.07,Chryseobacterium,R1,6.13
51.07,Chryseobacterium,R1,6.12
52.07,Chryseobacterium,R1,6.15
53.07,Chryseobacterium,R1,6.15
54.07,Chryseobacterium,R1,6.14
55.07,Chryseobacterium,R1,6.14
56.07,Chryseobacterium,R1,6.13
57.07,Chryseobacterium,R1,6.12
58.07,Chryseobacterium,R1,6.12
59.07,Chryseobacterium,R1,6.11
60.07,Chryseobacterium,R1,6.11
61.07,Chryseobacterium,R1,6.11
62.07,Chryseobacterium,R1,6.1
63.07,Chryseobacterium,R1,6.09
64.07,Chryseobacterium,R1,6.09
65.07,Chryseobacterium,R1,6.09
66.07,Chryseobacterium,R1,6.08
67.07,Chryseobacterium,R1,6.08
68.07,Chryseobacterium,R1,6.07
69.07,Chryseobacterium,R1,6.05
70.07,Chryseobacterium,R1,6.05
71.07,Chryseobacterium,R1,6.05
72.07,Chryseobacterium,R1,6.05
73.07,Chryseobacterium,R1,6.04
74.07,Chryseobacterium,R1,6.03
75.07,Chryseobacterium,R1,6.02
76.07,Chryseobacterium,R1,6.02
77.07,Chryseobacterium,R1,6.01
78.07,Chryseobacterium,R1,6
79.07,Chryseobacterium,R1,6
80.07,Chryseobacterium,R1,5.99
81.07,Chryseobacterium,R1,5.99
82.07,Chryseobacterium,R1,5.98
83.07,Chryseobacterium,R1,5.97
84.07,Chryseobacterium,R1,5.97
85.07,Chryseobacterium,R1,5.95
86.07,Chryseobacterium,R1,5.94
87.07,Chryseobacterium,R1,5.94
88.07,Chryseobacterium,R1,5.93
89.07,Chryseobacterium,R1,5.92
90.07,Chryseobacterium,R1,5.92
91.07,Chryseobacterium,R1,5.91
92.07,Chryseobacterium,R1,5.9
93.07,Chryseobacterium,R1,5.88
94.07,Chryseobacterium,R1,5.88
95.07,Chryseobacterium,R1,5.87
96.07,Chryseobacterium,R1,5.86
97.07,Chryseobacterium,R1,5.86
98.07,Chryseobacterium,R1,5.85
99.07,Chryseobacterium,R1,5.83
100.07,Chryseobacterium,R1,5.82
101.07,Chryseobacterium,R1,5.82
102.07,Chryseobacterium,R1,5.81
103.07,Chryseobacterium,R1,5.8
104.07,Chryseobacterium,R1,5.78
105.07,Chryseobacterium,R1,5.77
106.07,Chryseobacterium,R1,5.75
107.07,Chryseobacterium,R1,5.75
108.07,Chryseobacterium,R1,5.75
109.07,Chryseobacterium,R1,5.73
110.07,Chryseobacterium,R1,5.71
111.07,Chryseobacterium,R1,5.71
112.07,Chryseobacterium,R1,5.7
113.07,Chryseobacterium,R1,5.68
114.07,Chryseobacterium,R1,5.67
