Taxon,Replicate,N_inoc_cells_per_L,delta_min,FC_Initial_CellCounts,FC_Initial_ODFC,FC_CellCounts_as_cells_per_L,FC_ODFC_as_cells_per_L,ratio_Ninoc_over_FC_CellCounts,ratio_Ninoc_over_FC_ODFC,FC_sources_agree
Bacillus,R5,1902770,55.07,17,34,17000000,34000000,0.11192764705882353,0.05596382352941177,FALSE
Burkholderia,R1,31056326,58.05,261,296,261000000,296000000,0.11898975478927203,0.10492002027027027,FALSE
Burkholderia,R2,46277331,60.05,261,283,261000000,283000000,0.17730778160919541,0.1635241378091873,FALSE
Burkholderia,R3,37750224,63.05,261,273,261000000,273000000,0.1446368735632184,0.13827920879120878,FALSE
Burkholderia,R4,36699850,65.05,261,215,261000000,215000000,0.14061245210727968,0.17069697674418605,FALSE
Burkholderia,R5,32954673,74.05,261,236,261000000,236000000,0.12626311494252873,0.13963844491525423,FALSE
Buttiauxella,R1,46533860,52.05,227,224,227000000,224000000,0.20499497797356828,0.20774044642857142,FALSE
Buttiauxella,R2,34010379,54.05,227,219,227000000,219000000,0.14982545814977974,0.15529853424657533,FALSE
Buttiauxella,R3,32956112,57.05,227,212,227000000,212000000,0.1451811101321586,0.15545335849056605,FALSE
Buttiauxella,R4,59855117,63.05,227,245,227000000,245000000,0.2636789295154185,0.2443066,FALSE
Buttiauxella,R5,39601043,63.05,227,236,227000000,236000000,0.17445393392070485,0.16780102966101695,FALSE
Chromobacterium,R1,19676124,61.07,130,138,130000000,138000000,0.1513548,0.14258060869565217,FALSE
Chromobacterium,R2,16557244,65.07,130,139,130000000,139000000,0.12736341538461537,0.11911686330935252,FALSE
Chromobacterium,R3,13585680,65.07,130,115,130000000,115000000,0.10450523076923077,0.11813634782608695,FALSE
Chromobacterium,R4,21268551,71.07,130,123,130000000,123000000,0.16360423846153846,0.1729150487804878,FALSE
Chromobacterium,R5,18369665,63.07,130,134,130000000,134000000,0.14130511538461538,0.13708705223880596,FALSE
Chryseobacterium,R1,108384153,61.07,262,333,262000000,333000000,0.41367997328244277,0.32547793693693694,FALSE
Chryseobacterium,R2,76888091,71.07,262,246,262000000,246000000,0.2934659961832061,0.3125532154471545,FALSE
