Taxon,Replicate,r_main,K_main,r_05,K_05,r_ratio,r_diff,K_ratio,K_diff
Burkholderia,R1,0.022654790202754044,0.0016921383021762909,0.02259406934709138,0.0016983668183302735,0.9973197343643783,-6.072085566266247e-5,1.0036808552504084,6.2285161539826685e-6
Burkholderia,R2,0.01984091697892412,0.0016548876954296816,0.019982699876622614,0.00164142048887921,1.0071459851300775,1.4178289769849542e-4,0.9918621628599548,-1.3467206550471468e-5
Burkholderia,R3,0.020988961643197485,0.001436822676554824,0.02096384741481397,0.0014392697151414486,0.9988034554157349,-2.511422838351665e-5,1.001703090177065,2.4470385866246034e-6
Burkholderia,R4,0.02072187513909146,0.0015515701313553285,0.020851708424303984,0.00154019218505996,1.0062655181705826,1.2983328521252308e-4,0.9926668179121046,-1.1377946295368369e-5
Burkholderia,R5,0.022038389876568063,0.0015795639094054344,0.022036329976736133,0.0015786329795332568,0.999906531291829,-2.05989983192989e-6,0.999410641211391,-9.309298721776361e-7
Buttiauxella,R1,0.021627609273942642,0.001373902505563632,0.021697892663933384,0.001368444811996756,1.0032497068492643,7.028338999074193e-5,0.9960275976317279,-5.457693566875968e-6
Buttiauxella,R2,0.024388323150236334,0.0013990805650514223,0.024515642826229072,0.0013887973235114652,1.0052205178358686,1.2731967599273822e-4,0.992650000438267,-1.0283241539957126e-5
Buttiauxella,R3,0.021565513626339166,0.0016932845373292572,0.021804620104153943,0.00167029457926772,1.0110874464646529,2.3910647781477667e-4,0.9864228618671507,-2.2989958061537174e-5
Buttiauxella,R4,0.018667866317155998,0.0019757878602033245,0.018555720047454184,0.0019869413756075454,0.9939925502038361,-1.1214626970181343e-4,1.00564509764883,1.1153515404220896e-5
Buttiauxella,R5,0.021652699471529594,0.0017655502919372084,0.021741973326293396,0.001758166713456516,1.0041229896014205,8.927385476380223e-5,0.9958179732888883,-7.383578480692514e-6
Chromobacterium,R1,0.02531863706543769,0.0017561607961056754,0.02521603559161109,0.0017656630608458067,0.9959475909559657,-1.0260147382660026e-4,1.005410817028374,9.502264740131284e-6
Chromobacterium,R2,0.026321057619302403,0.00142725023653018,0.026314327752631362,0.0014284146986216259,0.9997443162517108,-6.729866671040946e-6,1.0008158780160912,1.1644620914459496e-6
Chromobacterium,R3,0.026346160103810006,0.0014080362201650805,0.026532112398461965,0.0013957468915588981,1.0070580416242543,1.8595229465195873e-4,0.9912720081840355,-1.2289328606182376e-5
Chromobacterium,R4,0.02312280721062135,0.002035493239051158,0.02321787649187681,0.0020246765341415483,1.0041114939198121,9.50692812554596e-5,0.9946859538994824,-1.0816704909609714e-5
Chromobacterium,R5,0.024962185180658413,0.0014996590742989585,0.025026043519615238,0.0014952489969564944,1.002558203077762,6.385833895682438e-5,0.9970592800603526,-4.410077342464078e-6
Chryseobacterium,R1,0.015485793009596497,8.653547882950702e-4,0.015485793009596497,8.653547882950702e-4,1,0,1,0
Chryseobacterium,R2,0.01678456461747601,8.464136024038367e-4,0.01678456461747601,8.464136024038367e-4,1,0,1,0
Chryseobacterium,R3,0.016664169335845826,8.539515593828434e-4,0.016664169335845826,8.539515593828434e-4,1,0,1,0
Chryseobacterium,R4,0.015752444632969313,7.75646575372899e-4,0.015752444632969313,7.75646575372899e-4,1,0,1,0
Chryseobacterium,R5,0.015380282605177665,0.0010988023980476231,0.015380282605177665,0.0010988023980476231,1,0,1,0
Flavobacterium_A,R1,0.018018610401408564,0.0013986547271134155,0.01816982701854992,0.001385218741669406,1.008392246337128,1.51216617141358e-4,0.9903936366970716,-1.3435985444009606e-5
Flavobacterium_A,R2,0.015682475723466083,0.0022594288302517124,0.015607834534039515,0.002267158090719934,0.9952404715465377,-7.464118942656847e-5,1.0034208913176348,7.7292604682218e-6
Flavobacterium_A,R3,0.02418523301308675,0.0013116953660213691,0.02418579606023474,0.0013123051780216711,1.0000232806170477,5.630471479889376e-7,1.00046490367817,6.098120003020062e-7
Flavobacterium_A,R4,0.02366330703992035,0.0016117817076673256,0.023560581305818926,0.0016203913975941155,0.9956588597727223,-1.0272573410142344e-4,1.005341722074294,8.609689926789878e-6
Flavobacterium_A,R5,0.021340915278167727,0.0014279401217951228,0.02128120885062176,0.0014322951643012329,0.997202255537416,-5.970642754596703e-5,1.0030498775401278,4.355042506110117e-6
Flavobacterium_B,R1,0.016091557711290838,0.001683176429249074,0.016217838874714955,0.0016709698214896658,1.007847665570345,1.262811634241169e-4,0.9927478738727027,-1.2206607759408187e-5
Flavobacterium_B,R2,0.01480920603292088,0.0019661002310244974,0.014809722171147087,0.0019663742483656604,1.0000348525251832,5.161382262072745e-7,1.0001393709928106,2.7401734116298815e-7
Flavobacterium_B,R3,0.014169485634163941,0.0017566918525052865,0.014136514270375855,0.0017606496836159605,0.9976730726407887,-3.2971363788086155e-5,1.0022530024859109,3.957831110673951e-6
Flavobacterium_B,R4,0.014992300859489298,0.0019486640654915964,0.015004865309627819,0.001947879817567063,1.0008380601654328,1.2564450138521574e-5,0.9995975458579949,-7.842479245335349e-7
Flavobacterium_B,R5,0.007935573646218884,0.001622146569983014,0.007935573646218884,0.001622146569983014,1,0,1,0
Herbaspirillum,R1,0.01840043244342232,0.0010422093050921686,0.018397056047680424,0.001042452261219862,0.9998165045439948,-3.3763957418969648e-6,1.0002331164445628,2.429561276934191e-7
Herbaspirillum,R2,0.02253149946140391,8.549818571164994e-4,0.02253669354203606,8.546668895034287e-4,1.0002305252981962,5.194080632146825e-6,0.9996316090096544,-3.149676130706795e-7
Herbaspirillum,R3,0.022371766579689988,9.406947552876734e-4,0.022371766579689988,9.406947552876734e-4,1,0,1,0
Herbaspirillum,R4,0.021712268661664074,0.001029920455304096,0.021626600060894115,0.0010356515104669593,0.9960543689788982,-8.566860076995864e-5,1.0055645609652166,5.731055162863348e-6
Herbaspirillum,R5,0.01977520141328876,9.86894466255379e-4,0.019824322535488412,9.835814821775811e-4,1.002483975822701,4.912112219965237e-5,0.9966430209195838,-3.312984077797872e-6
Pseudomonas,R1,0.02477374280177899,8.445823671709391e-4,0.02482302019746571,8.418291199073428e-4,1.0019890977346864,4.927739568672332e-5,0.9967401080455672,-2.7532472635962953e-6
Pseudomonas,R2,0.021246429409147075,0.0012215454447617048,0.02118057039240768,0.0012258709201525301,0.996900231306111,-6.585901673939604e-5,1.0035409860594005,4.325475390825348e-6
Pseudomonas,R3,0.025344569470134942,0.0010815665945673352,0.025250733861877338,0.001087979349189316,0.9962976049615608,-9.383560825760445e-5,1.0059291352508406,6.412754621980699e-6
Pseudomonas,R4,0.01897334037697142,0.001611797766087139,0.018978304749182287,0.0016113170125325413,1.0002616498788421,4.964372210865958e-6,0.9997017283652373,-4.807535545975957e-7
Pseudomonas,R5,0.022639022717330287,0.0015589641482911126,0.022807745189930145,0.001544353355103999,1.0074527277394665,1.6872247259985818e-4,0.9906278837758203,-1.4610793187113617e-5
Serratia,R1,0.02072802570440705,0.002009834396569461,0.020802126209858537,0.002001155453630969,1.0035748945176062,7.410050545148678e-5,0.9956817621624418,-8.67894293849229e-6
Serratia,R2,0.027481926753928118,9.514181595291937e-4,0.027480400378994647,9.504931007376753e-4,0.9999444589548928,-1.5263749334713805e-6,0.9990277053446446,-9.250587915183477e-7
Serratia,R3,0.02551095259956442,0.0013434680504899666,0.025570808948101282,0.0013392875271575953,1.0023463000177377,5.985634853686306e-5,0.99688825995464,-4.1805233323712575e-6
Serratia,R4,0.02753200092140801,0.0010461825951719036,0.027462764882431857,0.0010504862607491861,0.9974852521916663,-6.923603897615246e-5,1.0041136849314296,4.303665577282513e-6
Serratia,R5,0.028403103009175503,8.827372359302647e-4,0.02838760451109891,8.839146321864306e-4,0.9994543378562692,-1.5498498076593065e-5,1.0013338015076765,1.177396256165893e-6
Yersinia,R1,0.046154533298341974,4.127880164369492e-4,0.046122786156019675,4.134192757927749e-4,0.9993121554904025,-3.1747142322298416e-5,1.0015292579500599,6.312593558256761e-7
Yersinia,R2,0.03822063894065326,5.100515391501555e-4,0.038299708342663295,5.077717590024389e-4,1.0020687619098365,7.906940201003743e-5,0.9955302945433413,-2.2797801477166067e-6
Yersinia,R3,0.038751038144877605,4.4838638349468826e-4,0.03861824319280047,4.525884638453334e-4,0.99657312530362,-1.3279495207713793e-4,1.0093715610137277,4.202080350645162e-6
Yersinia,R4,0.03672897139145922,6.79814488924918e-4,0.036684647135417275,6.81385764749663e-4,0.998793207259481,-4.4324256041942955e-5,1.0023113302972255,1.5712758247450045e-6
Yersinia,R5,0.03604487921489227,5.188351159656617e-4,0.03602779818579282,5.193274738120824e-4,0.9995261177323519,-1.7081029099454137e-5,1.0009489678536974,4.923578464207301e-7
