Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Burkholderia,R3,0.02096384741481397,1.2578308448888382,0.0014392697151414486,1.0008687579376299,6.64,-1023.2359073454945,-0.006693365318662266,0.9999256946766817,TRUE
Burkholderia,R4,0.020851708424303984,1.251102505458239,0.00154019218505996,1.0015796018502827,5.713333333333333,-979.3426355635165,-0.007037314036940579,0.999888388171213,TRUE
Burkholderia,R5,0.022036329976736133,1.322179798604168,0.0015786329795332568,1.0025450448244961,5.976666666666667,-965.1585358726732,-0.007302983927678255,0.9999165153436592,TRUE
Buttiauxella,R1,0.021697892663933384,1.301873559836003,0.001368444811996756,1.0011412494747154,5.84,-989.0389212138989,-0.00672876216186326,0.9999027941738192,TRUE
Buttiauxella,R2,0.024515642826229072,1.4709385695737442,0.0013887973235114652,1.0004616530963202,5.76,-910.538816106374,-0.007434576111781368,0.9999296594727656,TRUE
Buttiauxella,R3,0.021804620104153943,1.3082772062492365,0.00167029457926772,1.0021301818059918,5.81,-960.6501371109402,-0.00736769273941774,0.9999368239569995,TRUE
Buttiauxella,R4,0.018555720047454184,1.113343202847251,0.0019869413756075454,1.0035017764223204,5.8533333333333335,-932.3777833023432,-0.007289584229276258,0.9998815218084175,TRUE
Buttiauxella,R5,0.021741973326293396,1.3045183995776037,0.001758166713456516,1.0028741271193033,5.616666666666667,-885.2709477856044,-0.007447990533374939,0.9998992317464497,TRUE
Chromobacterium,R1,0.02521603559161109,1.5129621354966654,0.0017656630608458067,1.0021044932851009,5.833333333333333,-859.4306633019492,-0.00824763872897285,0.9999518372816616,TRUE
Chromobacterium,R2,0.026314327752631362,1.5788596651578817,0.0014284146986216259,1.002744320011207,6.17,-881.7049890680406,-0.007818472209143059,0.9999444041019508,TRUE
Chromobacterium,R3,0.026532112398461965,1.5919267439077178,0.0013957468915588981,1.000837702759093,5.6466666666666665,-889.7367143293085,-0.007391030827993809,0.9999233225026203,TRUE
Chromobacterium,R4,0.02321787649187681,1.3930725895126086,0.0020246765341415483,1.0026676495243163,5.826666666666666,-853.6925641556605,-0.008431157641931338,0.999939920860845,TRUE
Chromobacterium,R5,0.025026043519615238,1.5015626111769143,0.0014952489969564944,1.0020245804982644,5.5600000000000005,-894.5424751986255,-0.007646985383543089,0.9999069104590548,TRUE
Chryseobacterium,R1,0.015485793009596497,0.9291475805757898,8.653547882950702e-4,1.0012236224327247,6.1,-1578.4372503143968,-0.004189354564664041,0.999959562846078,TRUE
Chryseobacterium,R2,0.01678456461747601,1.0070738770485606,8.464136024038367e-4,1.0009054203917749,5.9366666666666665,-1499.17979314499,-0.0040843035580792695,0.9999678344748375,TRUE
Chryseobacterium,R3,0.016664169335845826,0.9998501601507496,8.539515593828434e-4,1.0005455579247025,5.9,-1452.6202846616052,-0.0038766456635119517,0.9999562164140375,TRUE
Chryseobacterium,R4,0.015752444632969313,0.9451466779781588,7.75646575372899e-4,1.001029876563788,5.723333333333334,-1521.0700142597393,-0.003154617351998118,0.9999593031178865,TRUE
Chryseobacterium,R5,0.015380282605177665,0.92281695631066,0.0010988023980476231,1.0009214725905713,5.926666666666667,-1371.738304432482,-0.004112693686056269,0.9999546076891762,TRUE
Flavobacterium_A,R1,0.01816982701854992,1.0901896211129953,0.001385218741669406,1.0008624587212795,5.996666666666667,-1117.667766827776,-0.0061543721259956505,0.9999111835737091,TRUE
Flavobacterium_A,R2,0.015607834534039515,0.9364700720423709,0.002267158090719934,1.0039902581225477,6.173333333333334,-935.8670088541835,-0.0071101213962631625,0.9999076875614142,TRUE
Flavobacterium_A,R3,0.02418579606023474,1.4511477636140844,0.0013123051780216711,1.0008062878181487,6.1066666666666665,-947.4557570534341,-0.00704024595970363,0.9999229377559775,TRUE
Flavobacterium_A,R4,0.023560581305818926,1.4136348783491355,0.0016203913975941155,1.0013843639813051,5.173333333333333,-924.3935675632881,-0.0075724765657023555,0.9999355363244288,TRUE
Flavobacterium_A,R5,0.02128120885062176,1.2768725310373057,0.0014322951643012329,1.000778255577127,6.183333333333334,-1025.6677016403266,-0.00685033581516962,0.9999208559945134,TRUE
Flavobacterium_B,R1,0.016217838874714955,0.9730703324828973,0.0016709698214896658,1.0020584334330205,6.13,-1107.9231863710436,-0.006357981843330997,0.9999066027651373,TRUE
Flavobacterium_B,R2,0.014809722171147087,0.8885833302688252,0.0019663742483656604,1.0014036040416279,5.826666666666667,-1068.8274218724212,-0.006504053585603877,0.9999369159234126,TRUE
