Taxon,N0_CV,draw_model,n_reps,R_rel_sd_med,R_rel_sd_min,R_rel_sd_max,N0_CV_pct,scenario
Bacillus,0.3,lognormal,5,0.29530487864514554,0.28142618856247664,0.3080376923547019,30,cv30_lognormal
Burkholderia,0.3,lognormal,5,0.31271211675720834,0.28072003217933,0.3240362644198668,30,cv30_lognormal
Buttiauxella,0.3,lognormal,5,0.29072906447412333,0.28657641142954815,0.33106404453012206,30,cv30_lognormal
Chromobacterium,0.3,lognormal,5,0.29928465508179247,0.2901141860236326,0.3077706884957328,30,cv30_lognormal
Chryseobacterium,0.3,lognormal,5,0.30356774629828537,0.2744586310322945,0.31590266711340476,30,cv30_lognormal
Flavobacterium_A,0.3,lognormal,5,0.3109989359651298,0.2914610879946291,0.321722827888763,30,cv30_lognormal
Flavobacterium_B,0.3,lognormal,5,0.2988872067088215,0.28549955619108414,0.3295345131944512,30,cv30_lognormal
Herbaspirillum,0.3,lognormal,5,0.2932177404228861,0.2818818208340202,0.31123107568851716,30,cv30_lognormal
Pseudomonas,0.3,lognormal,5,0.30573599243306215,0.29458965735607767,0.323686283415127,30,cv30_lognormal
Serratia,0.3,lognormal,5,0.29638128997880053,0.28668833877314104,0.3180433005715601,30,cv30_lognormal
Yersinia,0.3,lognormal,5,0.29953906113363615,0.26816894832977034,0.3148014359808791,30,cv30_lognormal
Acinetobacter,0.4,lognormal,5,0.3840830349685842,0.36817308235767504,0.41340998251417216,40,cv40_lognormal
Aeromonas_A,0.4,lognormal,5,0.41925386582786506,0.38562832532130054,0.46873506463554476,40,cv40_lognormal
Aeromonas_B,0.4,lognormal,5,0.41477624568864896,0.37468260053309294,0.4437279937574436,40,cv40_lognormal
Arthrobacter,0.4,lognormal,5,0.4122613489757381,0.3664306734452938,0.4165917136195487,40,cv40_lognormal
Bacillus,0.4,lognormal,5,0.41110318407890356,0.3897910905701338,0.416654466923586,40,cv40_lognormal
Burkholderia,0.4,lognormal,5,0.39943094489793796,0.3809769739150588,0.41603293931627217,40,cv40_lognormal
Buttiauxella,0.4,lognormal,5,0.39567979289226646,0.3582169632422488,0.4101003032399632,40,cv40_lognormal
Chromobacterium,0.4,lognormal,5,0.4013127884696353,0.38933301251492874,0.41182226548246753,40,cv40_lognormal
Chryseobacterium,0.4,lognormal,5,0.4157729491011791,0.3740335117496761,0.44829247090589275,40,cv40_lognormal
Flavobacterium_A,0.4,lognormal,5,0.4066941054211163,0.38649938232403447,0.4148327154181111,40,cv40_lognormal
Flavobacterium_B,0.4,lognormal,5,0.4015609082559375,0.3886272636752055,0.42373474559458796,40,cv40_lognormal
Herbaspirillum,0.4,lognormal,5,0.3932687304116597,0.36193741812095753,0.41331398191867935,40,cv40_lognormal
Pseudomonas,0.4,lognormal,5,0.384794243998072,0.35858671169697165,0.4376143202504785,40,cv40_lognormal
Serratia,0.4,lognormal,5,0.3888566633027558,0.37443796021669246,0.40462270074814416,40,cv40_lognormal
Yersinia,0.4,lognormal,5,0.4218336735384933,0.3831870538938297,0.4295504588838295,40,cv40_lognormal
