Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok
Flavobacterium_A,R2,0.015677207281413384,0.0021383665063087706,1.0031565812147725,6.216666666666667,103.01000000000002,54.07,3.4150662647814136,0.9999061203625537,-1046.3264223768706,TRUE
Flavobacterium_A,R3,0.024161304723055277,0.0012807384283195125,1.000674350624929,6.116666666666667,107.01000000000002,61.07,3.9782975278303008,0.9999351694362094,-1096.404452585825,TRUE
Flavobacterium_A,R4,0.02351547306940147,0.0015060035088271214,1.0004356516233601,5.203333333333333,80.01000000000002,64.07,1.8538554826911469,0.9998584889037272,-850.5774018178399,TRUE
Flavobacterium_A,R5,0.021342495163713147,0.0014939552612840297,1.0004468167365372,6.166666666666667,110.03,73.07,4.086929686047195,0.9999468207714312,-1143.364218730147,TRUE
Flavobacterium_B,R1,0.01610033938702341,0.0016241963966211214,1.0028370471599843,6.1466666666666665,132.02,44.03,4.574681960016479,0.9999532878315822,-1356.634412296911,TRUE
Flavobacterium_B,R2,0.014804870052928108,0.002104374222677679,1.0018276713941832,5.776666666666666,105.00000000000001,59.05,3.0649775546649973,0.999918957144197,-1089.3194635803038,TRUE
Flavobacterium_B,R3,0.014186768027050854,0.0017838885985855051,1.0020672241942912,6.3,128,60.05,4.07707757014275,0.9999566369046653,-1358.9830709248445,TRUE
Flavobacterium_B,R4,0.014978991031775196,0.0018835508497296793,1.0023232821482913,6.526666666666666,116.00000000000001,57.05,3.8437443070622717,0.999949068200162,-1234.374560169276,TRUE
Flavobacterium_B,R5,0.0079724812945485,0.0015887479320047717,1.0021193063421296,6.26,94.00000000000001,72.05,1.391893206284354,0.9998904516564753,-1109.2511500686,TRUE
Herbaspirillum,R1,0.01838774088062516,0.0010426551597088405,1.0009903114282699,5.883333333333333,112.00000000000001,56.05,2.2823672820120864,0.9999263987252296,-1246.4768203802603,TRUE
Herbaspirillum,R2,0.022541984311275846,8.540847119233447e-4,1.000672999193886,6.976666666666667,118.00000000000001,68.05,3.514518366363437,0.9999437197347146,-1287.422409707675,TRUE
Herbaspirillum,R3,0.02231892948367655,7.838853468847181e-4,1.0010627513578219,6.423333333333333,114.00000000000001,72.05,2.6474304269370204,0.9999486607383797,-1299.6242963207158,TRUE
Herbaspirillum,R4,0.02169290408519785,8.99942686361268e-4,1.0008897917035782,5.66,122.00000000000001,57.05,3.077180190440321,0.9999327736075562,-1290.3301808556414,TRUE
Herbaspirillum,R5,0.019846172048880097,9.225470256429326e-4,1.0008987626805868,6.0633333333333335,124.00000000000001,60.05,3.020241150851111,0.9999473675867879,-1362.4293469736635,TRUE
Pseudomonas,R1,0.02476961577599536,7.058706372483028e-4,1.0018222387396714,6.373333333333333,120.01000000000002,47.07,3.367792678217576,0.9999112637786841,-1245.2096567736726,TRUE
Pseudomonas,R2,0.021253530609726342,0.0010417991335523382,1.000660928089658,5.92,118.01000000000002,53.07,3.2738445032285783,0.9999253425661316,-1230.3838917272603,TRUE
Pseudomonas,R3,0.025309359568096233,0.0010571132612618153,1.0007266278238827,6.093333333333333,111.03,69.07,3.9732080431604015,0.9999270786750627,-1125.4732442282584,TRUE
Pseudomonas,R4,0.018975035264715383,0.001611906600702889,1.0007778215279501,6.193333333333333,119.03,66.07,4.50864148008696,0.9999486220303001,-1217.862951714888,TRUE
Pseudomonas,R5,0.022722006982658822,0.001754631824065788,1.0014656262946058,5.886666666666667,99.01000000000002,75.07,3.8570728428069136,0.9999372996572463,-1014.1560287755086,TRUE
Serratia,R1,0.020828210242536515,0.0017069111065680397,1.002512716937643,5.836666666666667,112.01000000000002,48.07,4.452491306245764,0.9999528473426841,-1145.7847643148257,TRUE
Serratia,R2,0.027480352070635542,7.793635591074545e-4,1.0007605092257443,5.746666666666667,108.01000000000002,45.07,3.0079468978174178,0.9999289323624457,-1146.8616670893807,TRUE
Serratia,R3,0.02555768003607791,0.0013770802672694643,1.0032620817682496,5.78,111.01000000000002,53.07,5.00386593182255,0.9999676105518451,-1152.9955156149742,TRUE
Serratia,R4,0.02752262081406668,0.0011740583615552544,1.0011778092513277,5.85,95.01000000000002,61.07,3.160832175260951,0.9999277638091436,-998.7836975717616,TRUE
Serratia,R5,0.02845516277322296,7.613613820133461e-4,1.0014425785479704,5.633333333333333,104.01000000000002,49.07,2.756924026177404,0.9999080789098755,-1091.4031525513594,TRUE
Yersinia,R1,0.04615722602419903,3.9386950265672525e-4,1.002035507705755,6.19,99.01000000000002,53.07,5.046834318084379,0.9999609121341743,-1034.934147794357,TRUE
Yersinia,R2,0.0381862786006876,3.4727316928298985e-4,1.0007085882763294,6.13,118.01000000000002,45.07,4.99450218286066,0.9999656069229365,-1248.6512665000614,TRUE
Yersinia,R3,0.03873777039055091,4.6681106987881e-4,1.0015960130179675,6.123333333333333,110.01000000000002,56.07,5.1593059548221625,0.9999649489876546,-1152.0814392662744,TRUE
Yersinia,R4,0.03673333494154014,5.23000616042634e-4,1.000162034226965,6.28,111.01000000000002,52.07,5.187177611051983,0.9999673540618773,-1173.2912079421621,TRUE
Yersinia,R5,0.03601391928858849,6.020573164751897e-4,1.0006216242476242,5.9,110.01000000000002,57.07,5.08515257256627,0.9999606627056855,-1131.5201614640218,TRUE
