Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Burkholderia,R4,0.02072187513909146,1.2433125083454877,0.0015515701313553285,1.001824320755145,5.713333333333333,-1202.5087467397263,-0.015192392436883865,0.999963556078876,TRUE
Burkholderia,R5,0.022038389876568063,1.3223033925940837,0.0015795639094054344,1.0025769981452588,5.976666666666667,-1193.6832792808984,-0.016230441788222253,0.9999754791767654,TRUE
Buttiauxella,R1,0.021627609273942642,1.2976565564365585,0.001373902505563632,1.0012734538247092,5.84,-1231.59089476799,-0.016160257557338638,0.9999698035230306,TRUE
Buttiauxella,R2,0.024388323150236334,1.46329938901418,0.0013990805650514223,1.0007093032820586,5.76,-1122.6779556113404,-0.017666989865389608,0.9999745882006145,TRUE
Buttiauxella,R3,0.021565513626339166,1.29393081758035,0.0016932845373292572,1.002792078436337,5.81,-1177.1927230210529,-0.017056242948575995,0.9999766297068994,TRUE
Buttiauxella,R4,0.018667866317155998,1.1200719790293598,0.0019757878602033245,1.0032734893833037,5.8533333333333335,-1171.0115374344182,-0.01598634279742336,0.9999608547858819,TRUE
Buttiauxella,R5,0.021652699471529594,1.2991619682917757,0.0017655502919372084,1.0030149301598852,5.616666666666667,-1124.2963706226435,-0.01737904226258999,0.999969610325814,TRUE
Chromobacterium,R1,0.02531863706543769,1.5191182239262615,0.0017561607961056754,1.0019423539534127,5.833333333333333,-1074.5879555111278,-0.019812430899383796,0.9999818183381787,TRUE
Chromobacterium,R2,0.026321057619302403,1.579263457158144,0.00142725023653018,1.0027072865674382,6.17,-1054.1286168324089,-0.015758068596054654,0.9999779195169557,TRUE
Chromobacterium,R3,0.026346160103810006,1.5807696062286003,0.0014080362201650805,1.0010405453829683,5.6466666666666665,-1079.8816849633652,-0.01857320980335256,0.9999686342519674,TRUE
Chromobacterium,R4,0.02312280721062135,1.387368432637281,0.002035493239051158,1.0029096474412795,5.826666666666666,-1065.4448267126597,-0.01931448609414595,0.999975966447428,TRUE
Chromobacterium,R5,0.024962185180658413,1.4977311108395048,0.0014996590742989585,1.0021071957731509,5.5600000000000005,-1110.0287144269432,-0.01746376141758266,0.9999697984596163,TRUE
Chryseobacterium,R1,0.015485793009596497,0.9291475805757898,8.653547882950702e-4,1.0012236224327247,6.1,-1578.4372503143968,-0.004189354564664041,0.999959562846078,TRUE
Chryseobacterium,R2,0.01678456461747601,1.0070738770485606,8.464136024038367e-4,1.0009054203917749,5.9366666666666665,-1499.17979314499,-0.0040843035580792695,0.9999678344748375,TRUE
Chryseobacterium,R3,0.016664169335845826,0.9998501601507496,8.539515593828434e-4,1.0005455579247025,5.9,-1452.6202846616052,-0.0038766456635119517,0.9999562164140375,TRUE
Chryseobacterium,R4,0.015752444632969313,0.9451466779781588,7.75646575372899e-4,1.001029876563788,5.723333333333334,-1521.0700142597393,-0.003154617351998118,0.9999593031178865,TRUE
Chryseobacterium,R5,0.015380282605177665,0.92281695631066,0.0010988023980476231,1.0009214725905713,5.926666666666667,-1371.738304432482,-0.004112693686056269,0.9999546076891762,TRUE
Flavobacterium_A,R1,0.018018610401408564,1.0811166240845138,0.0013986547271134155,1.0012829300499162,5.996666666666667,-1389.8798555392198,-0.013989868409487523,0.9999666784151472,TRUE
Flavobacterium_A,R2,0.015682475723466083,0.940948543407965,0.0022594288302517124,1.0038860534907872,6.173333333333334,-1220.4930051080082,-0.015820343094654618,0.9999701501665692,TRUE
Flavobacterium_A,R3,0.02418523301308675,1.4511139807852051,0.0013116953660213691,1.000764725314043,6.1066666666666665,-1166.2043878256866,-0.017057646341749957,0.9999715448294936,TRUE
Flavobacterium_A,R4,0.02366330703992035,1.419798422395221,0.0016117817076673256,1.001134258335746,5.173333333333333,-1113.927867645889,-0.017327241345384953,0.9999739695863908,TRUE
Flavobacterium_A,R5,0.021340915278167727,1.2804549166900636,0.0014279401217951228,1.0006938052178511,6.183333333333334,-1239.0808228682215,-0.015673377244203292,0.9999720999631463,TRUE
Flavobacterium_B,R1,0.016091557711290838,0.9654934626774503,0.001683176429249074,1.0023375131110586,6.13,-1405.3697725052707,-0.013467259886467374,0.9999684042079747,TRUE
Flavobacterium_B,R2,0.01480920603292088,0.8885523619752528,0.0019661002310244974,1.0013964609853307,5.826666666666667,-1348.9778956600167,-0.01290180926820078,0.999973104463856,TRUE
Flavobacterium_B,R3,0.014169485634163941,0.8501691380498364,0.0017566918525052865,1.0013009613039021,6.316666666666666,-1335.4223420132328,-0.008052902095264622,0.9999661636115288,TRUE
Flavobacterium_B,R4,0.014992300859489298,0.8995380515693578,0.0019486640654915964,1.003114028894695,6.496666666666667,-1345.8218727660449,-0.011327362832508875,0.9999707371797528,TRUE
Flavobacterium_B,R5,0.007935573646218884,0.476134418773133,0.001622146569983014,1.0017359379549,6.243333333333333,-1281.775057841846,-0.0030268947029219655,0.9999449849200229,TRUE
Herbaspirillum,R1,0.01840043244342232,1.1040259466053393,0.0010422093050921686,1.001010820646452,5.883333333333333,-1442.7772811679854,-0.006876649463353207,0.9999691911814216,TRUE
Herbaspirillum,R2,0.02253149946140391,1.3518899676842346,8.549818571164994e-4,1.0007639479566028,6.976666666666667,-1330.0556462904708,-0.006811317767378072,0.9999629494577904,TRUE
Herbaspirillum,R3,0.022371766579689988,1.3423059947813993,9.406947552876734e-4,1.0008949185516374,6.38,-1238.3823173196733,-0.005564834468210733,0.999969964670191,TRUE
Herbaspirillum,R4,0.021712268661664074,1.3027361196998444,0.001029920455304096,1.0005350069594352,5.63,-1305.6404594025275,-0.009536143874762204,0.9999649270219966,TRUE
Herbaspirillum,R5,0.01977520141328876,1.1865120847973256,9.86894466255379e-4,1.0009170935811522,6.046666666666667,-1362.171045380369,-0.0065297586998781494,0.9999619237186924,TRUE
Pseudomonas,R1,0.02477374280177899,1.4864245681067394,8.445823671709391e-4,1.0027393650226355,6.333333333333333,-1329.9419302636636,-0.013008160148388338,0.9999714599262641,TRUE
Pseudomonas,R2,0.021246429409147075,1.2747857645488245,0.0012215454447617048,1.0023477970514278,5.863333333333333,-1327.960764949405,-0.014782699146883894,0.9999739547638722,TRUE
Pseudomonas,R3,0.025344569470134942,1.5206741682080964,0.0010815665945673352,1.0000654653401118,6.09,-1179.188533153276,-0.015915731164174805,0.9999677832824165,TRUE
Pseudomonas,R4,0.01897334037697142,1.1384004226182853,0.001611797766087139,1.0007805359039008,6.193333333333333,-1233.7462958143224,-0.013321031918261303,0.999969452956989,TRUE
Pseudomonas,R5,0.022639022717330287,1.3583413630398171,0.0015589641482911126,1.00038355179769,5.943333333333333,-1155.16134703243,-0.01722891557229746,0.9999676121780182,TRUE
