Taxon,log_R,mu_tax_collapsed
Aeromonas_A,1.952724093098805,1.8550024859944512
Aeromonas_A,1.9571358578046874,1.8562302758795366
Aeromonas_A,1.9615476225105697,1.8574580657646222
Aeromonas_A,1.9659593872164522,1.858685855649708
Aeromonas_A,1.9703711519223346,1.8599136455347933
Aeromonas_A,1.974782916628217,1.861141435419879
Aeromonas_A,1.9791946813340993,1.8623692253049646
Aeromonas_A,1.9836064460399816,1.86359701519005
Aeromonas_A,1.988018210745864,1.8648248050751357
Aeromonas_A,1.9924299754517463,1.8660525949602214
Aeromonas_A,1.9968417401576286,1.8672803848453068
Aeromonas_A,2.0012535048635107,1.8685081747303922
Aeromonas_A,2.005665269569393,1.8697359646154779
Aeromonas_A,2.010077034275276,1.8709637545005635
Aeromonas_A,2.014488798981158,1.8721915443856492
Aeromonas_A,2.0189005636870405,1.8734193342707348
Aeromonas_A,2.023312328392923,1.8746471241558202
Aeromonas_A,2.027724093098805,1.875874914040906
Aeromonas_A,2.0321358578046875,1.8771027039259915
Aeromonas_A,2.03654762251057,1.878330493811077
Aeromonas_A,2.040959387216452,1.8795582836961626
Aeromonas_A,2.0453711519223345,1.880786073581248
Aeromonas_A,2.049782916628217,1.8820138634663337
Aeromonas_A,2.054194681334099,1.8832416533514194
Aeromonas_A,2.0586064460399816,1.8844694432365048
Aeromonas_A,2.063018210745864,1.8856972331215904
Aeromonas_A,2.0674299754517462,1.886925023006676
Aeromonas_A,2.0718417401576286,1.8881528128917615
Aeromonas_A,2.076253504863511,1.8893806027768472
Aeromonas_A,2.0806652695693932,1.8906083926619326
Aeromonas_A,2.0850770342752756,1.8918361825470182
Aeromonas_A,2.089488798981158,1.893063972432104
Aeromonas_A,2.0939005636870403,1.8942917623171893
Aeromonas_A,2.0983123283929226,1.895519552202275
Aeromonas_A,2.102724093098805,1.8967473420873606
Aeromonas_A,2.1071358578046873,1.897975131972446
Aeromonas_A,2.1115476225105696,1.8992029218575317
Aeromonas_A,2.115959387216452,1.9004307117426171
Aeromonas_A,2.1203711519223343,1.9016585016277028
Aeromonas_A,2.1247829166282166,1.9028862915127884
Aeromonas_A,2.129194681334099,1.9041140813978739
Aeromonas_A,2.1336064460399813,1.9053418712829595
Aeromonas_A,2.1380182107458636,1.9065696611680452
Aeromonas_A,2.142429975451746,1.9077974510531306
Aeromonas_A,2.1468417401576283,1.9090252409382162
Aeromonas_A,2.1512535048635106,1.910253030823302
Aeromonas_A,2.155665269569393,1.9114808207083873
Aeromonas_A,2.1600770342752753,1.912708610593473
Aeromonas_A,2.1644887989811576,1.9139364004785584
Aeromonas_A,2.16890056368704,1.915164190363644
Aeromonas_A,2.1733123283929228,1.9163919802487297
Aeromonas_A,2.1777240930988047,1.9176197701338151
Aeromonas_A,2.1821358578046874,1.918847560018901
Aeromonas_A,2.1865476225105693,1.9200753499039864
Aeromonas_A,2.190959387216452,1.921303139789072
Aeromonas_A,2.1953711519223345,1.9225309296741575
Aeromonas_A,2.199782916628217,1.9237587195592432
Aeromonas_A,2.204194681334099,1.9249865094443288
Aeromonas_A,2.2086064460399815,1.9262142993294142
Aeromonas_A,2.213018210745864,1.9274420892144999
Aeromonas_A,2.217429975451746,1.9286698790995855
Aeromonas_A,2.2218417401576285,1.929897668984671
Aeromonas_A,2.226253504863511,1.9311254588697566
Aeromonas_A,2.230665269569393,1.932353248754842
Aeromonas_A,2.2350770342752755,1.9335810386399277
Aeromonas_A,2.239488798981158,1.9348088285250133
Aeromonas_A,2.24390056368704,1.9360366184100988
Aeromonas_A,2.2483123283929225,1.9372644082951844
Aeromonas_A,2.252724093098805,1.93849219818027
Aeromonas_A,2.257135857804687,1.9397199880653555
Aeromonas_A,2.2615476225105695,1.9409477779504412
Aeromonas_A,2.265959387216452,1.9421755678355266
Aeromonas_A,2.270371151922334,1.9434033577206122
Aeromonas_A,2.2747829166282165,1.9446311476056979
Aeromonas_A,2.279194681334099,1.9458589374907833
Aeromonas_A,2.283606446039981,1.947086727375869
Aeromonas_A,2.2880182107458635,1.9483145172609546
Aeromonas_A,2.292429975451746,1.94954230714604
Aeromonas_A,2.296841740157628,1.9507700970311257
Aeromonas_A,2.3012535048635105,1.9519978869162113
Aeromonas_A,2.305665269569393,1.9532256768012968
Aeromonas_A,2.310077034275275,1.9544534666863824
Aeromonas_A,2.3144887989811576,1.9556812565714679
Aeromonas_A,2.31890056368704,1.9569090464565535
Aeromonas_A,2.3233123283929222,1.9581368363416392
Aeromonas_A,2.3277240930988046,1.9593646262267246
Aeromonas_A,2.332135857804687,1.9605924161118102
Aeromonas_A,2.3365476225105692,1.9618202059968959
Aeromonas_A,2.3409593872164516,1.9630479958819813
Aeromonas_A,2.3453711519223344,1.964275785767067
Aeromonas_A,2.3497829166282163,1.9655035756521524
Aeromonas_A,2.354194681334099,1.9667313655372383
Aeromonas_A,2.358606446039981,1.9679591554223237
Aeromonas_A,2.3630182107458637,1.9691869453074093
Aeromonas_A,2.367429975451746,1.970414735192495
Aeromonas_A,2.3718417401576284,1.9716425250775804
Aeromonas_A,2.3762535048635107,1.972870314962666
Aeromonas_A,2.380665269569393,1.9740981048477515
Aeromonas_A,2.3850770342752754,1.9753258947328372
Aeromonas_A,2.3894887989811577,1.9765536846179228
Aeromonas_A,2.39390056368704,1.9777814745030082
Aeromonas_A,2.3983123283929224,1.9790092643880939
Aeromonas_A,2.4027240930988047,1.9802370542731795
Aeromonas_A,2.407135857804687,1.981464844158265
Aeromonas_A,2.4115476225105694,1.9826926340433506
Aeromonas_A,2.4159593872164518,1.983920423928436
Aeromonas_A,2.420371151922334,1.9851482138135217
Aeromonas_A,2.4247829166282164,1.9863760036986073
Aeromonas_A,2.4291946813340988,1.9876037935836928
Aeromonas_A,2.433606446039981,1.9888315834687784
Aeromonas_A,2.4380182107458634,1.990059373353864
Aeromonas_A,2.442429975451746,1.9912871632389495
Aeromonas_B,1.844142591957701,1.8671564465047454
Aeromonas_B,1.8485543566635834,1.867917828037076
Aeromonas_B,1.8529661213694657,1.868679209569407
Aeromonas_B,1.857377886075348,1.8694405911017378
Aeromonas_B,1.8617896507812304,1.8702019726340686
Aeromonas_B,1.8662014154871127,1.8709633541663993
Aeromonas_B,1.870613180192995,1.87172473569873
Aeromonas_B,1.8750249448988774,1.872486117231061
Aeromonas_B,1.8794367096047597,1.8732474987633918
Aeromonas_B,1.8838484743106423,1.8740088802957227
Aeromonas_B,1.8882602390165246,1.8747702618280533
Aeromonas_B,1.892672003722407,1.8755316433603841
Aeromonas_B,1.8970837684282893,1.876293024892715
Aeromonas_B,1.9014955331341716,1.8770544064250458
Aeromonas_B,1.905907297840054,1.8778157879573765
Aeromonas_B,1.9103190625459363,1.8785771694897073
Aeromonas_B,1.9147308272518186,1.8793385510220382
Aeromonas_B,1.919142591957701,1.8800999325543688
Aeromonas_B,1.9235543566635833,1.8808613140866997
Aeromonas_B,1.9279661213694657,1.8816226956190305
Aeromonas_B,1.932377886075348,1.8823840771513614
Aeromonas_B,1.9367896507812303,1.883145458683692
Aeromonas_B,1.9412014154871127,1.8839068402160228
