Time,Taxon,Replicate,Oxygen,series_id
0.03,Acinetobacter,R1,4.95,Acinetobacter | R1
33.03,Acinetobacter,R1,6.14,Acinetobacter | R1
34.03,Acinetobacter,R1,6.14,Acinetobacter | R1
35.03,Acinetobacter,R1,6.16,Acinetobacter | R1
36.03,Acinetobacter,R1,6.17,Acinetobacter | R1
37.03,Acinetobacter,R1,6.17,Acinetobacter | R1
38.03,Acinetobacter,R1,6.17,Acinetobacter | R1
39.03,Acinetobacter,R1,6.18,Acinetobacter | R1
40.03,Acinetobacter,R1,6.17,Acinetobacter | R1
41.03,Acinetobacter,R1,6.18,Acinetobacter | R1
42.03,Acinetobacter,R1,6.18,Acinetobacter | R1
43.03,Acinetobacter,R1,6.2,Acinetobacter | R1
44.03,Acinetobacter,R1,6.19,Acinetobacter | R1
45.03,Acinetobacter,R1,6.19,Acinetobacter | R1
46.03,Acinetobacter,R1,6.17,Acinetobacter | R1
47.03,Acinetobacter,R1,6.16,Acinetobacter | R1
48.03,Acinetobacter,R1,6.14,Acinetobacter | R1
49.03,Acinetobacter,R1,6.14,Acinetobacter | R1
50.05,Acinetobacter,R1,6.14,Acinetobacter | R1
51.05,Acinetobacter,R1,6.14,Acinetobacter | R1
52.05,Acinetobacter,R1,6.1,Acinetobacter | R1
53.05,Acinetobacter,R1,6.1,Acinetobacter | R1
54.05,Acinetobacter,R1,6.08,Acinetobacter | R1
55.05,Acinetobacter,R1,6.06,Acinetobacter | R1
56.05,Acinetobacter,R1,6.05,Acinetobacter | R1
57.05,Acinetobacter,R1,6.04,Acinetobacter | R1
58.05,Acinetobacter,R1,6.04,Acinetobacter | R1
59.05,Acinetobacter,R1,6,Acinetobacter | R1
60.05,Acinetobacter,R1,5.99,Acinetobacter | R1
61.05,Acinetobacter,R1,5.99,Acinetobacter | R1
62.05,Acinetobacter,R1,5.98,Acinetobacter | R1
63.05,Acinetobacter,R1,5.95,Acinetobacter | R1
64.05,Acinetobacter,R1,5.96,Acinetobacter | R1
65.05,Acinetobacter,R1,5.93,Acinetobacter | R1
66.05,Acinetobacter,R1,5.92,Acinetobacter | R1
67.05,Acinetobacter,R1,5.91,Acinetobacter | R1
68.05,Acinetobacter,R1,5.89,Acinetobacter | R1
69.05,Acinetobacter,R1,5.87,Acinetobacter | R1
70.05,Acinetobacter,R1,5.87,Acinetobacter | R1
71.05,Acinetobacter,R1,5.85,Acinetobacter | R1
72.05,Acinetobacter,R1,5.82,Acinetobacter | R1
73.05,Acinetobacter,R1,5.81,Acinetobacter | R1
74.05,Acinetobacter,R1,5.8,Acinetobacter | R1
75.05,Acinetobacter,R1,5.77,Acinetobacter | R1
76.05,Acinetobacter,R1,5.74,Acinetobacter | R1
77.05,Acinetobacter,R1,5.73,Acinetobacter | R1
78.05,Acinetobacter,R1,5.72,Acinetobacter | R1
79.05,Acinetobacter,R1,5.69,Acinetobacter | R1
80.05,Acinetobacter,R1,5.67,Acinetobacter | R1
81.05,Acinetobacter,R1,5.64,Acinetobacter | R1
82.05,Acinetobacter,R1,5.64,Acinetobacter | R1
83.05,Acinetobacter,R1,5.61,Acinetobacter | R1
84.05,Acinetobacter,R1,5.58,Acinetobacter | R1
85.05,Acinetobacter,R1,5.56,Acinetobacter | R1
86.05,Acinetobacter,R1,5.56,Acinetobacter | R1
87.05,Acinetobacter,R1,5.53,Acinetobacter | R1
88.05,Acinetobacter,R1,5.5,Acinetobacter | R1
89.05,Acinetobacter,R1,5.49,Acinetobacter | R1
90.05,Acinetobacter,R1,5.44,Acinetobacter | R1
91.05,Acinetobacter,R1,5.43,Acinetobacter | R1
92.05,Acinetobacter,R1,5.42,Acinetobacter | R1
93.05,Acinetobacter,R1,5.38,Acinetobacter | R1
94.05,Acinetobacter,R1,5.36,Acinetobacter | R1
95.05,Acinetobacter,R1,5.34,Acinetobacter | R1
96.05,Acinetobacter,R1,5.3,Acinetobacter | R1
97.05,Acinetobacter,R1,5.29,Acinetobacter | R1
98.05,Acinetobacter,R1,5.25,Acinetobacter | R1
99.05,Acinetobacter,R1,5.22,Acinetobacter | R1
100.05,Acinetobacter,R1,5.18,Acinetobacter | R1
101.05,Acinetobacter,R1,5.18,Acinetobacter | R1
102.05,Acinetobacter,R1,5.13,Acinetobacter | R1
103.05,Acinetobacter,R1,5.11,Acinetobacter | R1
104.05,Acinetobacter,R1,5.07,Acinetobacter | R1
105.05,Acinetobacter,R1,5.04,Acinetobacter | R1
106.05,Acinetobacter,R1,5.01,Acinetobacter | R1
107.05,Acinetobacter,R1,4.95,Acinetobacter | R1
108.05,Acinetobacter,R1,4.94,Acinetobacter | R1
109.05,Acinetobacter,R1,4.9,Acinetobacter | R1
110.05,Acinetobacter,R1,4.87,Acinetobacter | R1
111.05,Acinetobacter,R1,4.82,Acinetobacter | R1
112.05,Acinetobacter,R1,4.79,Acinetobacter | R1
113.05,Acinetobacter,R1,4.75,Acinetobacter | R1
114.05,Acinetobacter,R1,4.71,Acinetobacter | R1
115.05,Acinetobacter,R1,4.69,Acinetobacter | R1
116.05,Acinetobacter,R1,4.64,Acinetobacter | R1
117.05,Acinetobacter,R1,4.6,Acinetobacter | R1
118.05,Acinetobacter,R1,4.56,Acinetobacter | R1
119.05,Acinetobacter,R1,4.53,Acinetobacter | R1
120.05,Acinetobacter,R1,4.46,Acinetobacter | R1
121.05,Acinetobacter,R1,4.43,Acinetobacter | R1
122.05,Acinetobacter,R1,4.38,Acinetobacter | R1
123.05,Acinetobacter,R1,4.34,Acinetobacter | R1
124.05,Acinetobacter,R1,4.29,Acinetobacter | R1
125.05,Acinetobacter,R1,4.25,Acinetobacter | R1
126.05,Acinetobacter,R1,4.21,Acinetobacter | R1
127.05,Acinetobacter,R1,4.14,Acinetobacter | R1
128.05,Acinetobacter,R1,4.11,Acinetobacter | R1
129.05,Acinetobacter,R1,4.06,Acinetobacter | R1
130.05,Acinetobacter,R1,4,Acinetobacter | R1
131.05,Acinetobacter,R1,3.95,Acinetobacter | R1
132.05,Acinetobacter,R1,3.89,Acinetobacter | R1
133.05,Acinetobacter,R1,3.82,Acinetobacter | R1
134.05,Acinetobacter,R1,3.78,Acinetobacter | R1
135.05,Acinetobacter,R1,3.71,Acinetobacter | R1
136.05,Acinetobacter,R1,3.67,Acinetobacter | R1
137.05,Acinetobacter,R1,3.61,Acinetobacter | R1
138.05,Acinetobacter,R1,3.56,Acinetobacter | R1
139.05,Acinetobacter,R1,3.48,Acinetobacter | R1
140.05,Acinetobacter,R1,3.41,Acinetobacter | R1
141.05,Acinetobacter,R1,3.35,Acinetobacter | R1
142.05,Acinetobacter,R1,3.29,Acinetobacter | R1
143.05,Acinetobacter,R1,3.23,Acinetobacter | R1
144.05,Acinetobacter,R1,3.15,Acinetobacter | R1
145.05,Acinetobacter,R1,3.08,Acinetobacter | R1
146.05,Acinetobacter,R1,3,Acinetobacter | R1
147.05,Acinetobacter,R1,2.95,Acinetobacter | R1
148.05,Acinetobacter,R1,2.88,Acinetobacter | R1
149.05,Acinetobacter,R1,2.79,Acinetobacter | R1
150.05,Acinetobacter,R1,2.71,Acinetobacter | R1
151.05,Acinetobacter,R1,2.63,Acinetobacter | R1
152.05,Acinetobacter,R1,2.56,Acinetobacter | R1
153.05,Acinetobacter,R1,2.48,Acinetobacter | R1
154.05,Acinetobacter,R1,2.39,Acinetobacter | R1
155.05,Acinetobacter,R1,2.3,Acinetobacter | R1
156.05,Acinetobacter,R1,2.22,Acinetobacter | R1
157.05,Acinetobacter,R1,2.13,Acinetobacter | R1
158.05,Acinetobacter,R1,2.04,Acinetobacter | R1
159.05,Acinetobacter,R1,1.96,Acinetobacter | R1
160.05,Acinetobacter,R1,1.86,Acinetobacter | R1
161.05,Acinetobacter,R1,1.76,Acinetobacter | R1
162.05,Acinetobacter,R1,1.67,Acinetobacter | R1
163.05,Acinetobacter,R1,1.58,Acinetobacter | R1
164.05,Acinetobacter,R1,1.46,Acinetobacter | R1
165.05,Acinetobacter,R1,1.35,Acinetobacter | R1
166.05,Acinetobacter,R1,1.26,Acinetobacter | R1
167.05,Acinetobacter,R1,1.15,Acinetobacter | R1
168.05,Acinetobacter,R1,1.03,Acinetobacter | R1
169.05,Acinetobacter,R1,0.93,Acinetobacter | R1
170.05,Acinetobacter,R1,0.8,Acinetobacter | R1
171.05,Acinetobacter,R1,0.7,Acinetobacter | R1
172.05,Acinetobacter,R1,0.59,Acinetobacter | R1
173.05,Acinetobacter,R1,0.46,Acinetobacter | R1
174.05,Acinetobacter,R1,0.39,Acinetobacter | R1
175.05,Acinetobacter,R1,0.36,Acinetobacter | R1
176.05,Acinetobacter,R1,0.33,Acinetobacter | R1
177.05,Acinetobacter,R1,0.33,Acinetobacter | R1
178.05,Acinetobacter,R1,0.32,Acinetobacter | R1
179.05,Acinetobacter,R1,0.31,Acinetobacter | R1
180.05,Acinetobacter,R1,0.3,Acinetobacter | R1
181.05,Acinetobacter,R1,0.29,Acinetobacter | R1
182.05,Acinetobacter,R1,0.28,Acinetobacter | R1
183.05,Acinetobacter,R1,0.26,Acinetobacter | R1
184.05,Acinetobacter,R1,0.26,Acinetobacter | R1
185.05,Acinetobacter,R1,0.26,Acinetobacter | R1
186.05,Acinetobacter,R1,0.25,Acinetobacter | R1
187.05,Acinetobacter,R1,0.26,Acinetobacter | R1
188.05,Acinetobacter,R1,0.24,Acinetobacter | R1
189.05,Acinetobacter,R1,0.25,Acinetobacter | R1
190.05,Acinetobacter,R1,0.25,Acinetobacter | R1
191.05,Acinetobacter,R1,0.25,Acinetobacter | R1
192.05,Acinetobacter,R1,0.24,Acinetobacter | R1
193.05,Acinetobacter,R1,0.24,Acinetobacter | R1
194.05,Acinetobacter,R1,0.24,Acinetobacter | R1
195.05,Acinetobacter,R1,0.24,Acinetobacter | R1
196.05,Acinetobacter,R1,0.24,Acinetobacter | R1
197.05,Acinetobacter,R1,0.24,Acinetobacter | R1
0.03,Acinetobacter,R2,4.85,Acinetobacter | R2
1.03,Acinetobacter,R2,4.81,Acinetobacter | R2
2.03,Acinetobacter,R2,4.84,Acinetobacter | R2
3.03,Acinetobacter,R2,4.88,Acinetobacter | R2
4.03,Acinetobacter,R2,4.94,Acinetobacter | R2
5.03,Acinetobacter,R2,4.97,Acinetobacter | R2
6.03,Acinetobacter,R2,5.02,Acinetobacter | R2
7.03,Acinetobacter,R2,5.07,Acinetobacter | R2
8.03,Acinetobacter,R2,5.11,Acinetobacter | R2
9.03,Acinetobacter,R2,5.16,Acinetobacter | R2
10.03,Acinetobacter,R2,5.21,Acinetobacter | R2
11.03,Acinetobacter,R2,5.27,Acinetobacter | R2
12.03,Acinetobacter,R2,5.3,Acinetobacter | R2
13.03,Acinetobacter,R2,5.33,Acinetobacter | R2
14.03,Acinetobacter,R2,5.37,Acinetobacter | R2
15.03,Acinetobacter,R2,5.41,Acinetobacter | R2
16.03,Acinetobacter,R2,5.44,Acinetobacter | R2
17.03,Acinetobacter,R2,5.48,Acinetobacter | R2
18.03,Acinetobacter,R2,5.49,Acinetobacter | R2
19.03,Acinetobacter,R2,5.52,Acinetobacter | R2
20.03,Acinetobacter,R2,5.57,Acinetobacter | R2
21.03,Acinetobacter,R2,5.59,Acinetobacter | R2
22.03,Acinetobacter,R2,5.62,Acinetobacter | R2
23.03,Acinetobacter,R2,5.65,Acinetobacter | R2
24.03,Acinetobacter,R2,5.67,Acinetobacter | R2
25.03,Acinetobacter,R2,5.7,Acinetobacter | R2
26.03,Acinetobacter,R2,5.72,Acinetobacter | R2
27.03,Acinetobacter,R2,5.75,Acinetobacter | R2
28.03,Acinetobacter,R2,5.75,Acinetobacter | R2
29.03,Acinetobacter,R2,5.78,Acinetobacter | R2
30.03,Acinetobacter,R2,5.8,Acinetobacter | R2
31.03,Acinetobacter,R2,5.82,Acinetobacter | R2
32.03,Acinetobacter,R2,5.83,Acinetobacter | R2
33.03,Acinetobacter,R2,5.85,Acinetobacter | R2
34.03,Acinetobacter,R2,5.86,Acinetobacter | R2
35.03,Acinetobacter,R2,5.88,Acinetobacter | R2
36.03,Acinetobacter,R2,5.88,Acinetobacter | R2
37.03,Acinetobacter,R2,5.89,Acinetobacter | R2
38.03,Acinetobacter,R2,5.91,Acinetobacter | R2
39.03,Acinetobacter,R2,5.91,Acinetobacter | R2
40.03,Acinetobacter,R2,5.92,Acinetobacter | R2
41.03,Acinetobacter,R2,5.93,Acinetobacter | R2
42.03,Acinetobacter,R2,5.93,Acinetobacter | R2
43.03,Acinetobacter,R2,5.95,Acinetobacter | R2
44.03,Acinetobacter,R2,5.96,Acinetobacter | R2
45.03,Acinetobacter,R2,5.95,Acinetobacter | R2
46.03,Acinetobacter,R2,5.94,Acinetobacter | R2
47.03,Acinetobacter,R2,5.94,Acinetobacter | R2
48.03,Acinetobacter,R2,5.91,Acinetobacter | R2
49.03,Acinetobacter,R2,5.9,Acinetobacter | R2
50.05,Acinetobacter,R2,5.9,Acinetobacter | R2
51.05,Acinetobacter,R2,5.87,Acinetobacter | R2
52.05,Acinetobacter,R2,5.86,Acinetobacter | R2
53.05,Acinetobacter,R2,5.84,Acinetobacter | R2
54.05,Acinetobacter,R2,5.83,Acinetobacter | R2
55.05,Acinetobacter,R2,5.82,Acinetobacter | R2
56.05,Acinetobacter,R2,5.8,Acinetobacter | R2
57.05,Acinetobacter,R2,5.79,Acinetobacter | R2
58.05,Acinetobacter,R2,5.76,Acinetobacter | R2
59.05,Acinetobacter,R2,5.77,Acinetobacter | R2
60.05,Acinetobacter,R2,5.74,Acinetobacter | R2
61.05,Acinetobacter,R2,5.74,Acinetobacter | R2
62.05,Acinetobacter,R2,5.72,Acinetobacter | R2
63.05,Acinetobacter,R2,5.7,Acinetobacter | R2
64.05,Acinetobacter,R2,5.69,Acinetobacter | R2
65.05,Acinetobacter,R2,5.67,Acinetobacter | R2
66.05,Acinetobacter,R2,5.66,Acinetobacter | R2
67.05,Acinetobacter,R2,5.64,Acinetobacter | R2
68.05,Acinetobacter,R2,5.62,Acinetobacter | R2
69.05,Acinetobacter,R2,5.6,Acinetobacter | R2
70.05,Acinetobacter,R2,5.59,Acinetobacter | R2
71.05,Acinetobacter,R2,5.57,Acinetobacter | R2
72.05,Acinetobacter,R2,5.56,Acinetobacter | R2
73.05,Acinetobacter,R2,5.55,Acinetobacter | R2
74.05,Acinetobacter,R2,5.51,Acinetobacter | R2
75.05,Acinetobacter,R2,5.49,Acinetobacter | R2
76.05,Acinetobacter,R2,5.48,Acinetobacter | R2
77.05,Acinetobacter,R2,5.47,Acinetobacter | R2
78.05,Acinetobacter,R2,5.45,Acinetobacter | R2
79.05,Acinetobacter,R2,5.42,Acinetobacter | R2
80.05,Acinetobacter,R2,5.41,Acinetobacter | R2
81.05,Acinetobacter,R2,5.39,Acinetobacter | R2
82.05,Acinetobacter,R2,5.38,Acinetobacter | R2
83.05,Acinetobacter,R2,5.35,Acinetobacter | R2
84.05,Acinetobacter,R2,5.33,Acinetobacter | R2
85.05,Acinetobacter,R2,5.3,Acinetobacter | R2
86.05,Acinetobacter,R2,5.28,Acinetobacter | R2
87.05,Acinetobacter,R2,5.26,Acinetobacter | R2
88.05,Acinetobacter,R2,5.24,Acinetobacter | R2
89.05,Acinetobacter,R2,5.23,Acinetobacter | R2
90.05,Acinetobacter,R2,5.19,Acinetobacter | R2
91.05,Acinetobacter,R2,5.17,Acinetobacter | R2
92.05,Acinetobacter,R2,5.15,Acinetobacter | R2
93.05,Acinetobacter,R2,5.12,Acinetobacter | R2
94.05,Acinetobacter,R2,5.1,Acinetobacter | R2
95.05,Acinetobacter,R2,5.09,Acinetobacter | R2
96.05,Acinetobacter,R2,5.04,Acinetobacter | R2
97.05,Acinetobacter,R2,5.03,Acinetobacter | R2
98.05,Acinetobacter,R2,5,Acinetobacter | R2
99.05,Acinetobacter,R2,4.97,Acinetobacter | R2
100.05,Acinetobacter,R2,4.95,Acinetobacter | R2
101.05,Acinetobacter,R2,4.93,Acinetobacter | R2
102.05,Acinetobacter,R2,4.89,Acinetobacter | R2
103.05,Acinetobacter,R2,4.88,Acinetobacter | R2
104.05,Acinetobacter,R2,4.85,Acinetobacter | R2
105.05,Acinetobacter,R2,4.82,Acinetobacter | R2
106.05,Acinetobacter,R2,4.79,Acinetobacter | R2
107.05,Acinetobacter,R2,4.77,Acinetobacter | R2
108.05,Acinetobacter,R2,4.73,Acinetobacter | R2
109.05,Acinetobacter,R2,4.72,Acinetobacter | R2
110.05,Acinetobacter,R2,4.67,Acinetobacter | R2
111.05,Acinetobacter,R2,4.65,Acinetobacter | R2
112.05,Acinetobacter,R2,4.6,Acinetobacter | R2
113.05,Acinetobacter,R2,4.57,Acinetobacter | R2
114.05,Acinetobacter,R2,4.54,Acinetobacter | R2
115.05,Acinetobacter,R2,4.52,Acinetobacter | R2
116.05,Acinetobacter,R2,4.48,Acinetobacter | R2
117.05,Acinetobacter,R2,4.46,Acinetobacter | R2
118.05,Acinetobacter,R2,4.43,Acinetobacter | R2
119.05,Acinetobacter,R2,4.4,Acinetobacter | R2
120.05,Acinetobacter,R2,4.35,Acinetobacter | R2
121.05,Acinetobacter,R2,4.31,Acinetobacter | R2
122.05,Acinetobacter,R2,4.27,Acinetobacter | R2
123.05,Acinetobacter,R2,4.26,Acinetobacter | R2
124.05,Acinetobacter,R2,4.22,Acinetobacter | R2
125.05,Acinetobacter,R2,4.17,Acinetobacter | R2
126.05,Acinetobacter,R2,4.14,Acinetobacter | R2
127.05,Acinetobacter,R2,4.1,Acinetobacter | R2
128.05,Acinetobacter,R2,4.07,Acinetobacter | R2
129.05,Acinetobacter,R2,4.02,Acinetobacter | R2
130.05,Acinetobacter,R2,3.98,Acinetobacter | R2
131.05,Acinetobacter,R2,3.94,Acinetobacter | R2
132.05,Acinetobacter,R2,3.9,Acinetobacter | R2
133.05,Acinetobacter,R2,3.85,Acinetobacter | R2
134.05,Acinetobacter,R2,3.83,Acinetobacter | R2
135.05,Acinetobacter,R2,3.77,Acinetobacter | R2
136.05,Acinetobacter,R2,3.74,Acinetobacter | R2
137.05,Acinetobacter,R2,3.7,Acinetobacter | R2
138.05,Acinetobacter,R2,3.65,Acinetobacter | R2
139.05,Acinetobacter,R2,3.58,Acinetobacter | R2
140.05,Acinetobacter,R2,3.55,Acinetobacter | R2
141.05,Acinetobacter,R2,3.51,Acinetobacter | R2
142.05,Acinetobacter,R2,3.46,Acinetobacter | R2
143.05,Acinetobacter,R2,3.41,Acinetobacter | R2
144.05,Acinetobacter,R2,3.36,Acinetobacter | R2
145.05,Acinetobacter,R2,3.3,Acinetobacter | R2
146.05,Acinetobacter,R2,3.26,Acinetobacter | R2
147.05,Acinetobacter,R2,3.21,Acinetobacter | R2
148.05,Acinetobacter,R2,3.15,Acinetobacter | R2
149.05,Acinetobacter,R2,3.1,Acinetobacter | R2
150.05,Acinetobacter,R2,3.05,Acinetobacter | R2
151.05,Acinetobacter,R2,3.01,Acinetobacter | R2
152.05,Acinetobacter,R2,2.96,Acinetobacter | R2
153.05,Acinetobacter,R2,2.89,Acinetobacter | R2
154.05,Acinetobacter,R2,2.84,Acinetobacter | R2
155.05,Acinetobacter,R2,2.78,Acinetobacter | R2
156.05,Acinetobacter,R2,2.73,Acinetobacter | R2
157.05,Acinetobacter,R2,2.66,Acinetobacter | R2
158.05,Acinetobacter,R2,2.6,Acinetobacter | R2
159.05,Acinetobacter,R2,2.56,Acinetobacter | R2
160.05,Acinetobacter,R2,2.5,Acinetobacter | R2
161.05,Acinetobacter,R2,2.44,Acinetobacter | R2
162.05,Acinetobacter,R2,2.37,Acinetobacter | R2
163.05,Acinetobacter,R2,2.31,Acinetobacter | R2
164.05,Acinetobacter,R2,2.23,Acinetobacter | R2
165.05,Acinetobacter,R2,2.18,Acinetobacter | R2
166.05,Acinetobacter,R2,2.11,Acinetobacter | R2
167.05,Acinetobacter,R2,2.04,Acinetobacter | R2
168.05,Acinetobacter,R2,1.97,Acinetobacter | R2
169.05,Acinetobacter,R2,1.9,Acinetobacter | R2
170.05,Acinetobacter,R2,1.83,Acinetobacter | R2
171.05,Acinetobacter,R2,1.75,Acinetobacter | R2
172.05,Acinetobacter,R2,1.67,Acinetobacter | R2
173.05,Acinetobacter,R2,1.61,Acinetobacter | R2
174.05,Acinetobacter,R2,1.55,Acinetobacter | R2
175.05,Acinetobacter,R2,1.47,Acinetobacter | R2
176.05,Acinetobacter,R2,1.4,Acinetobacter | R2
177.05,Acinetobacter,R2,1.31,Acinetobacter | R2
178.05,Acinetobacter,R2,1.22,Acinetobacter | R2
179.05,Acinetobacter,R2,1.15,Acinetobacter | R2
180.05,Acinetobacter,R2,1.09,Acinetobacter | R2
181.05,Acinetobacter,R2,1.02,Acinetobacter | R2
182.05,Acinetobacter,R2,0.91,Acinetobacter | R2
183.05,Acinetobacter,R2,0.83,Acinetobacter | R2
184.05,Acinetobacter,R2,0.74,Acinetobacter | R2
185.05,Acinetobacter,R2,0.64,Acinetobacter | R2
186.05,Acinetobacter,R2,0.58,Acinetobacter | R2
187.05,Acinetobacter,R2,0.49,Acinetobacter | R2
188.05,Acinetobacter,R2,0.4,Acinetobacter | R2
189.05,Acinetobacter,R2,0.3,Acinetobacter | R2
190.05,Acinetobacter,R2,0.25,Acinetobacter | R2
191.05,Acinetobacter,R2,0.21,Acinetobacter | R2
192.05,Acinetobacter,R2,0.17,Acinetobacter | R2
193.05,Acinetobacter,R2,0.16,Acinetobacter | R2
194.05,Acinetobacter,R2,0.15,Acinetobacter | R2
195.05,Acinetobacter,R2,0.13,Acinetobacter | R2
196.05,Acinetobacter,R2,0.13,Acinetobacter | R2
197.05,Acinetobacter,R2,0.12,Acinetobacter | R2
0.03,Acinetobacter,R3,4.83,Acinetobacter | R3
1.03,Acinetobacter,R3,4.77,Acinetobacter | R3
2.03,Acinetobacter,R3,4.8,Acinetobacter | R3
3.03,Acinetobacter,R3,4.83,Acinetobacter | R3
4.03,Acinetobacter,R3,4.88,Acinetobacter | R3
5.03,Acinetobacter,R3,4.91,Acinetobacter | R3
6.03,Acinetobacter,R3,4.95,Acinetobacter | R3
7.03,Acinetobacter,R3,4.99,Acinetobacter | R3
8.03,Acinetobacter,R3,5.03,Acinetobacter | R3
9.03,Acinetobacter,R3,5.08,Acinetobacter | R3
10.03,Acinetobacter,R3,5.11,Acinetobacter | R3
11.03,Acinetobacter,R3,5.16,Acinetobacter | R3
12.03,Acinetobacter,R3,5.19,Acinetobacter | R3
13.03,Acinetobacter,R3,5.23,Acinetobacter | R3
14.03,Acinetobacter,R3,5.26,Acinetobacter | R3
15.03,Acinetobacter,R3,5.29,Acinetobacter | R3
16.03,Acinetobacter,R3,5.33,Acinetobacter | R3
17.03,Acinetobacter,R3,5.37,Acinetobacter | R3
18.03,Acinetobacter,R3,5.38,Acinetobacter | R3
19.03,Acinetobacter,R3,5.42,Acinetobacter | R3
20.03,Acinetobacter,R3,5.46,Acinetobacter | R3
21.03,Acinetobacter,R3,5.49,Acinetobacter | R3
22.03,Acinetobacter,R3,5.52,Acinetobacter | R3
23.03,Acinetobacter,R3,5.54,Acinetobacter | R3
24.03,Acinetobacter,R3,5.56,Acinetobacter | R3
25.03,Acinetobacter,R3,5.6,Acinetobacter | R3
26.03,Acinetobacter,R3,5.61,Acinetobacter | R3
27.03,Acinetobacter,R3,5.63,Acinetobacter | R3
28.03,Acinetobacter,R3,5.66,Acinetobacter | R3
29.03,Acinetobacter,R3,5.68,Acinetobacter | R3
30.03,Acinetobacter,R3,5.69,Acinetobacter | R3
31.03,Acinetobacter,R3,5.7,Acinetobacter | R3
32.03,Acinetobacter,R3,5.73,Acinetobacter | R3
33.03,Acinetobacter,R3,5.74,Acinetobacter | R3
34.03,Acinetobacter,R3,5.75,Acinetobacter | R3
35.03,Acinetobacter,R3,5.78,Acinetobacter | R3
36.03,Acinetobacter,R3,5.78,Acinetobacter | R3
37.03,Acinetobacter,R3,5.79,Acinetobacter | R3
38.03,Acinetobacter,R3,5.81,Acinetobacter | R3
39.03,Acinetobacter,R3,5.83,Acinetobacter | R3
40.03,Acinetobacter,R3,5.84,Acinetobacter | R3
41.03,Acinetobacter,R3,5.85,Acinetobacter | R3
42.03,Acinetobacter,R3,5.84,Acinetobacter | R3
43.03,Acinetobacter,R3,5.86,Acinetobacter | R3
44.03,Acinetobacter,R3,5.86,Acinetobacter | R3
45.03,Acinetobacter,R3,5.87,Acinetobacter | R3
46.03,Acinetobacter,R3,5.87,Acinetobacter | R3
47.03,Acinetobacter,R3,5.87,Acinetobacter | R3
48.03,Acinetobacter,R3,5.87,Acinetobacter | R3
49.03,Acinetobacter,R3,5.87,Acinetobacter | R3
50.05,Acinetobacter,R3,5.87,Acinetobacter | R3
51.05,Acinetobacter,R3,5.88,Acinetobacter | R3
52.05,Acinetobacter,R3,5.9,Acinetobacter | R3
53.05,Acinetobacter,R3,5.89,Acinetobacter | R3
54.05,Acinetobacter,R3,5.87,Acinetobacter | R3
55.05,Acinetobacter,R3,5.86,Acinetobacter | R3
56.05,Acinetobacter,R3,5.86,Acinetobacter | R3
57.05,Acinetobacter,R3,5.84,Acinetobacter | R3
58.05,Acinetobacter,R3,5.83,Acinetobacter | R3
59.05,Acinetobacter,R3,5.81,Acinetobacter | R3
60.05,Acinetobacter,R3,5.8,Acinetobacter | R3
61.05,Acinetobacter,R3,5.79,Acinetobacter | R3
62.05,Acinetobacter,R3,5.79,Acinetobacter | R3
63.05,Acinetobacter,R3,5.76,Acinetobacter | R3
64.05,Acinetobacter,R3,5.74,Acinetobacter | R3
65.05,Acinetobacter,R3,5.73,Acinetobacter | R3
66.05,Acinetobacter,R3,5.72,Acinetobacter | R3
67.05,Acinetobacter,R3,5.7,Acinetobacter | R3
