Taxon,Replicate,r_per_minute,Duration_recorded_min,FC_Initial,FC_Final,fold_observed,fold_predicted,growth_check_ratio,r_FC_implied,r_ratio_FC_over_O2,keep_backward,keep_backward_strict,exclusion_reason
Flavobacterium_A,R4,0.02351547306940147,106,183,1881,10.278688524590164,12.093161715369748,0.8499587425120192,0.021981817702449148,0.9347810115311723,TRUE,TRUE,NA
Flavobacterium_A,R5,0.02134249516371314,124,130,1688,12.984615384615385,14.10415451305571,0.9206234498208307,0.020675526005647742,0.9687492416913188,TRUE,TRUE,NA
Flavobacterium_B,R1,0.01610033938702341,116,96,416,4.333333333333333,6.472997989042093,0.6694476563516748,0.012640836799943336,0.7851285923905198,TRUE,TRUE,NA
Flavobacterium_B,R2,0.0148048700529281,123,91,334,3.67032967032967,6.178027319261452,0.594094114619169,0.010571394198860572,0.7140484287310422,TRUE,FALSE,NA
Flavobacterium_B,R3,0.01418676802705085,126,109,401,3.6788990825688073,5.974693332575361,0.6157469308944492,0.010338202738709727,0.7287214902645331,TRUE,FALSE,NA
Flavobacterium_B,R4,0.01497899103177519,126,117,320,2.735042735042735,6.601869523142124,0.4142830641313563,0.007985294134889017,0.5330996004971013,FALSE,FALSE,observed fold change 0.41x is <1/2.0 of the exponential prediction - growth saturated or cells died
Flavobacterium_B,R5,0.0079724812945485,126,84,160,1.9047619047619047,2.7306307954561087,0.6975538062236437,0.005113944574527883,0.6414495544849689,TRUE,TRUE,NA
Herbaspirillum,R1,0.01838774088062516,126,393,3661,9.315521628498727,10.143725641619266,0.9183530743652555,0.017711761914690278,0.9632375194797775,TRUE,TRUE,NA
Herbaspirillum,R2,0.02254198431127584,126,284,4497,15.834507042253522,17.120730226495464,0.924873345515869,0.021922155147694456,0.9725033450905501,TRUE,TRUE,NA
Herbaspirillum,R3,0.02231892948367655,126,314,3962,12.617834394904458,16.64625248210634,0.7579984989695323,0.02011993048690669,0.9014738140385206,TRUE,TRUE,NA
Herbaspirillum,R4,0.02169290408519785,126,311,5201,16.723472668810288,15.383660116557595,1.0870932237257789,0.02235566096503046,1.0305517821509589,TRUE,TRUE,NA
Herbaspirillum,R5,0.01984617204888009,126,356,4455,12.514044943820224,12.19002114559336,1.0265810694138129,0.020054377849626024,1.010490980337827,TRUE,TRUE,NA
Pseudomonas,R1,0.02476961577599536,115,129,1812,14.046511627906977,17.26196997177593,0.8137258754866121,0.022977165932532632,0.9276351373524404,TRUE,TRUE,NA
Pseudomonas,R2,0.02125353060972634,120,127,1881,14.811023622047244,12.81253095847799,1.1559795383164997,0.02246143119035366,1.0568329376802246,TRUE,TRUE,NA
Pseudomonas,R3,0.02530935956809623,119,124,2069,16.68548387096774,20.32423037124345,0.8209651025495098,0.02365158917765131,0.9344997100387074,TRUE,TRUE,NA
Pseudomonas,R4,0.01897503526471538,123,181,1705,9.41988950276243,10.31840648290846,0.9129209552236245,0.01823433624757554,0.9609645512218262,TRUE,TRUE,NA
Pseudomonas,R5,0.02272200698265882,114,145,2007,13.841379310344827,13.333888419251245,1.0380602323295938,0.023049671985752314,1.0144206012850698,TRUE,TRUE,NA
Serratia,R1,0.02082821024253651,95,239,1732,7.2468619246861925,7.233188676523095,1.0018903486103545,0.020848089865167053,1.0009544565951203,TRUE,TRUE,NA
Serratia,R2,0.02748035207063554,98,103,1471,14.281553398058252,14.777038198605984,0.9664692752439068,0.027132334003793893,0.987335749340216,TRUE,TRUE,NA
Serratia,R3,0.02555768003607791,93,128,1801,14.0703125,10.771074384638652,1.3063053877026987,0.02843082883071332,1.1124182159953326,TRUE,TRUE,NA
Serratia,R4,0.02752262081406668,100,124,1797,14.491935483870968,15.678056842889124,0.9243451295715815,0.026735923211785223,0.9714163266792027,TRUE,TRUE,NA
Serratia,R5,0.02845516277322296,100,100,1826,18.26,17.2104417364402,1.0609838073672182,0.029047128751668226,1.0208034648461868,TRUE,TRUE,NA
Yersinia,R1,0.04615722602419903,80,83,3882,46.7710843373494,40.14821904745798,1.164960375504147,0.04806581444915447,1.0413497211456082,TRUE,TRUE,NA
Yersinia,R2,0.0381862786006876,92,151,5428,35.94701986754967,33.55338093156056,1.0713382338689343,0.0389352846102156,1.0196145326796655,TRUE,TRUE,NA
Yersinia,R3,0.03873777039055091,94,109,4459,40.908256880733944,38.143311326553885,1.0724883461351509,0.03948225449359929,1.0192185584132116,TRUE,TRUE,NA
Yersinia,R4,0.03673333494154014,92,97,5032,51.876288659793815,29.355115221699354,1.7671975827043176,0.04292241108561841,1.168486639014072,TRUE,FALSE,NA
Yersinia,R5,0.03601391928858849,95,101,3833,37.95049504950495,30.609864687526382,1.2398125714345252,0.038276658405676796,1.0628295715041847,TRUE,TRUE,NA
