Taxon,Replicate,r_per_minute,delta_Ninoc_to_N0_min,t_0_min,t_last_oxygen_min,Duration_recorded_min,interval_min,interval_alt_min,N_inoc_cells_per_L,N_start_cells_per_L,N_end_cells_per_L,N0_forward,N0_backward,N0_backward_alt,N0_from_FCstart,ratio_back_over_forward,ratio_backalt_over_forward,ratio_FCstart_over_forward,check_back_over_FCstart,check_backalt_over_FCstart,forward_amplification,backward_deflation,keep_backward
Aeromonas_B,R1,0.03054020779769078,48.03,50.05,197.05,94,43.95,147,17021733,1589540816.3265305,31206275510.20408,73798405.0711952,8152927620.825784,350360962.8481119,7330051780.296671,110.47566153984558,4.747541122468836,99.32534142472569,1.1122605767589555,0.04779788374618162,4.335540045845813,0.2612592335205101,TRUE
Aeromonas_B,R2,0.02863601071145552,56.05,48.03,197.05,97,48.97,149.02,20533669,1497244897.9591837,32744540816.326527,102218668.71351211,8056110010.25676,459047283.2246239,5924014114.624875,78.81251156611705,4.49083605765982,57.954326633113254,1.3599072950161084,0.0774892284762377,4.97810053885217,0.24602910315480617,TRUE
Aeromonas_B,R3,0.03394930244807805,55.05,50.05,197.05,88,37.95,147,12142164,1302397959.1836734,32077959183.673466,78696062.56405644,8844476471.00513,218192343.54463366,7123290281.193724,112.38778895457405,2.772595431531674,90.51647628997398,1.2416279727298956,0.030630837005293135,6.481222174569249,0.2757181783405552,TRUE
Aeromonas_B,R4,0.03585987964659123,62.05,57.05,197.05,88,30.950000000000003,140,9555359,1312653061.2244897,34949387755.102036,88429681.8667168,11519458808.410955,230735741.44414935,10153885707.95957,130.26688059076523,2.609256717579505,114.82440616787171,1.134487735998537,0.02272388601570303,9.254459394640934,0.3296040230841899,TRUE
Aeromonas_B,R5,0.03578033974097163,57.05,53.05,197.05,95,41.95,144,6844556,1415204081.632653,31821581632.653057,52705613.82113123,7093362411.447184,184109572.5894909,9444388647.795952,134.5845707351054,3.493168170174615,179.19132257614308,0.7510663395986537,0.01949406991340374,7.700370019783786,0.22291042894513063,TRUE
Arthrobacter,R1,0.02511080779633006,55.05,50.05,197.05,87,36.95,147,33245104,2092040816.3265302,20356377551.02041,132456922.23104487,8049016482.564012,507684803.20781946,7351732405.580161,60.76705050208019,3.832829531719481,55.50281768405066,1.094846226510447,0.0690564856281321,3.984253507856221,0.39540514820921746,TRUE
Arthrobacter,R2,0.02587640886188693,62.05,54.05,197.05,95,40.95,143,24395408,1907448979.5918367,20797346938.775505,121513587.49307753,7207963703.135084,514015920.7945052,7724419200.365834,59.31817051772677,4.230110651813222,63.56835774275765,0.9331398926140245,0.06654428086582367,4.981002469525311,0.34658092324729334,TRUE
Arthrobacter,R3,0.02150094294318932,62.05,57.05,197.05,97,39.95,140,38843597,2071530612.2448978,18664285714.285713,147477667.78514394,7906215105.076524,919872533.4506451,7063329600.634765,53.60957508898816,6.237368323391047,47.89423176209384,1.1193326026249732,0.13023214057120855,3.796704712623394,0.4236012685460059,TRUE
Arthrobacter,R4,0.0243928703356261,65.05,57.05,197.05,97,39.95,140,37505785,2368928571.428571,29975663265.30612,183323326.08499044,11312300325.021637,985490276.467766,9526248856.959995,61.706824584762046,5.3756949402657215,51.964193866652494,1.1874873830066628,0.10344998238711292,4.887867993830564,0.37738281968607884,TRUE
Arthrobacter,R5,0.02398857970330566,69.05,68.05,197.05,100,31.950000000000003,129,21380227,2061275510.2040815,24017448979.591835,112042465.02602696,11160106338.83836,1087904996.5477498,10546012429.535738,99.60604076540012,9.70975599559537,94.12513752786451,1.0582299625954126,0.10315794750069739,5.240471255334518,0.4646665992013287,TRUE
Bacillus,R1,0.0406522694099089,53.07,54.07,212.1,73,18.93,158.03,634257,112806122.44897959,1794642857.1428568,5485536.458960852,831319215.9539387,2910378.6147984113,1016111962.7406113,151.54747802212566,0.530554966970311,185.23474783961197,0.8181374163844524,0.0028642302438293015,8.648759822849179,0.46322264769572713,TRUE
Bacillus,R2,0.02672952707892209,57.07,59.07,212.1,92,32.93,153.03,1560534,174336734.69387752,1681836734.6938775,7174134.884404372,697455312.078168,28140849.533340625,845477748.5016893,97.21803720116057,3.9225425764596564,117.85082969929196,0.8249245037071186,0.03328396233160523,4.597230745632182,0.4146985838105841,TRUE
Bacillus,R3,0.0250824325016013,65.07,58.07,212.1,102,43.93,154.03,987259,123061224.48979591,1015255102.0408162,5049509.04754945,337317266.860731,21315790.02353454,528064717.373696,66.80199276490704,4.221358912878707,104.57743760850737,0.6387801641782884,0.04036586676259602,5.114675123295356,0.33224877785166734,TRUE
Bacillus,R4,0.02733746457736678,75.07,69.07,212.1,108,38.93000000000001,143.03,703112,112806122.44897959,1384438775.5102038,5473861.9067094475,477613880.30161023,27742694.985175602,745361468.2395464,87.253549402879,5.068212435386925,136.1673861969259,0.64078155452505,0.03722045768035272,7.785191984647464,0.34498736148559284,TRUE
Bacillus,R5,0.02273270654790027,55.07,51.07,212.1,90,38.93,161.03,1902770,348673469.38775504,2676581632.653061,6653884.828301812,1104680556.7411284,68830572.4839737,1113312617.217705,166.0203903804362,10.344418976296058,167.31768672675418,0.9922465079950777,0.06182501789658069,3.4969464666259253,0.4127206670121828,TRUE
Burkholderia,R1,0.0225655256203426,58.05,53.05,197.05,101,47.95,144,31056326,3035510204.081632,22571479591.83673,115091939.83740397,7649728759.0116005,875685259.8964096,10049075611.541853,66.46624229132594,7.60857155708326,87.31346109674297,0.7612370584838186,0.08714087680767796,3.705909702178035,0.33891126755280254,TRUE
Burkholderia,R2,0.01985526299343977,60.05,66.05,197.05,114,47.95,131,46277331,2902193877.55102,20715306122.448975,152468920.1098327,7994973188.127788,1537001439.460577,10771535804.138342,52.436740434499825,10.08075244681592,70.64741979138401,0.7422315010136419,0.14269102079854507,3.294678340672514,0.38594521079578514,TRUE
Burkholderia,R3,0.02090622489729856,63.05,62.05,197.05,119,56.95,135,37750224,2799642857.142857,24202040816.326527,141052038.43814787,7358289147.682834,1439213235.0457067,10244317001.033928,52.167194669146774,10.203420319067632,72.62792593760436,0.7182801105178788,0.14048893985811364,3.7364556681345222,0.3040358953001593,TRUE
Burkholderia,R4,0.02075222150130871,65.05,60.05,197.05,118,57.95,137,36699850,2204846938.77551,21392142857.142857,141557313.364141,6426515396.834691,1246038542.31246,7666260841.339834,45.39868159480514,8.802360773174323,54.1565861851249,0.8382855123034827,0.1625353699933186,3.8571632680825942,0.30041475693908204,TRUE
Burkholderia,R5,0.02204622666471412,74.05,66.05,197.05,122,55.95,131,32954673,2420204081.6326528,26027448979.591835,168621432.24096617,7581153229.856772,1449322227.7815268,10381289912.774927,44.95960643379561,8.595124644122299,61.56566087008255,0.7302708327726803,0.1396090697744633,5.116768485032948,0.29127530845612903,TRUE
Buttiauxella,R1,0.02164977128433935,52.05,48.03,197.05,107,58.97,149.02,46533860,2297142857.142857,25576224489.795918,143602751.1702143,7134742613.186091,1015533684.9474357,6498066229.483254,49.68388526713659,7.071826108287507,45.25029065620761,1.0979793620468328,0.15628244605136843,3.0859840806289074,0.2789599620550962,TRUE
Buttiauxella,R2,0.02444709978164981,54.05,58.05,197.05,98,39.95,139,34010379,2245867346.9387755,24417397959.183674,127489178.42985466,9194764748.880539,816399908.3382491,9283567808.011782,72.12192330456938,6.403680048714389,72.81847700602808,0.9904343824521209,0.08794031833684572,3.748537422351414,0.37656611749747393,TRUE
Buttiauxella,R3,0.02162603229409613,57.05,52.05,197.05,103,50.95,145,32956112,2174081632.6530614,21340867346.938774,113175745.37010935,7090653751.577167,927603599.2720833,6700896466.524558,62.65170799970598,8.196134217968854,59.20788455698848,1.0581649465858345,0.1384297763599365,3.4341352332492785,0.3322570557374408,TRUE
Buttiauxella,R4,0.01862887955508459,63.05,67.05,197.05,113,45.95,130,59855117,2512499999.9999995,22109999999.999996,193732391.47107244,9393641078.165783,1962610849.1220531,8761303082.132078,48.48771548648546,10.130525072339823,45.223738867851075,1.0721739666013044,0.22400901221242175,3.2366888777624885,0.42485938842902693,TRUE
Buttiauxella,R5,0.02164406271296873,63.05,56.05,197.05,107,50.95,141,39601043,2420204081.6326528,21258826530.61224,155013717.08870986,7056909304.243197,1004971650.592652,8141721001.622066,45.52441833392546,6.483114329924337,52.52258415919924,0.8667589202377799,0.12343479350280274,3.9143847067035544,0.33195196800168647,TRUE
Chromobacterium,R1,0.02522617126544078,61.07,54.07,212.1,92,37.93,158.03,19676124,1415204081.632653,15033979591.836733,91832677.66980462,5774688232.226306,279101741.212456,5535892658.026628,62.882716466026274,3.0392421117894406,60.28238311782209,1.0431358750884454,0.05041675452427342,4.667213810494618,0.38410909080666117,TRUE
Chromobacterium,R2,0.02625342021813681,65.07,58.07,212.1,101,42.93,154.03,16557244,1425459183.673469,21453673469.387753,91389789.83031096,6950659575.759443,376093149.52557236,6547151751.91808,76.05509968526201,4.115264409994679,71.63986003332079,1.0616310479932207,0.05744378071203109,5.51962571973397,0.3239845887314981,TRUE
Chromobacterium,R3,0.02637388049003547,65.07,58.07,212.1,101,42.93,154.03,13585680,1179336734.6938775,15649285714.285711,75577959.54884551,5043975623.138151,269296160.3397028,5454731685.922832,66.73871130217884,3.5631573271789447,72.17357703865339,0.9246972928394023,0.049369277142390415,5.5630604834535715,0.3223134726547726,TRUE
Chromobacterium,R4,0.02319349563680926,71.07,64.07,212.1,103,38.93000000000001,148.03,21268551,1261377551.020408,14111020408.163263,110563635.01404257,5720368899.277267,455492021.7591687,5574550485.340926,51.738249186097484,4.119727265672092,50.419385041319494,1.0261578784369774,0.08170919304739455,5.19845639761931,0.40538307888549424,TRUE
Chromobacterium,R5,0.02492601488710632,63.07,55.07,212.1,101,45.93,157.03,18369665,1374183673.4693875,16397908163.265303,88480697.5756863,5218979642.016852,327267191.5957555,5422383628.463434,58.98438625613843,3.698741087747545,61.28323777991389,0.9624880863502788,0.06035485757183409,4.8166745324798415,0.31827106177533326,TRUE
Chryseobacterium,R1,0.01546010521164195,61.07,59.07,212.1,139,79.93,153.03,108384153,3414948979.591836,29873112244.897957,278614892.18402153,8681832381.334517,2804145671.836133,8511268297.99484,31.16069034673236,10.064593639826084,30.54850453712739,1.0200397963461991,0.32946272795756637,2.570623882478664,0.2906236320528435,TRUE
Chryseobacterium,R2,0.01681179114807214,71.07,67.07,212.1,139,71.93,145.03,76888091,2522755102.040816,27565714285.714283,253957009.29607233,8226006230.32907,2406945928.5020986,7790604303.018732,32.391333687265515,9.47776923020854,30.67686268874021,1.0558880813830613,0.30895497125549637,3.302943355637121,0.298414405121805,TRUE
Chryseobacterium,R3,0.01668582715915156,74.07,79.07,212.1,139,59.93000000000001,133.03,68583359,2112551020.4081628,24027704081.632652,236032413.9424081,8839460803.413538,2610369845.0144234,7903016998.43338,37.45019870690457,11.059370200108843,33.482761398871745,1.1184919386059513,0.33030042141271854,3.4415405921195563,0.3678862022514515,TRUE
Chryseobacterium,R4,0.01577081633140894,72.07,64.07,212.1,139,74.93,148.03,81365159,2676581632.653061,23740561224.48979,253547172.94124135,7282525866.006692,2299360608.1314483,7352031521.496616,28.722567802774876,9.068768471988905,28.996700835628815,0.9905460612775262,0.31275173418508123,3.116163921479479,0.30675457909960174,TRUE
Chryseobacterium,R5,0.0154155460716585,81.07,80.07,212.1,139,58.93000000000001,132.03,99511044,2727857142.8571424,26591479591.83673,347236794.8110011,10720445561.763937,3473894505.6681113,9373055580.325598,30.87358748256794,10.004396301258716,26.993267189403976,1.1437514127481077,0.37062561679031847,3.4894297241118397,0.4031534057644159,TRUE
Flavobacterium_A,R1,0.01802196080469134,48.07,40.05,212.1,117,76.95,172.05,41430308,1466479591.8367345,14234081632.65306,98526775.74079937,3556757516.975274,640799186.6254245,3018150490.2334175,36.09940029228462,6.50380753665598,30.63279466460424,1.1784559876933778,0.21231518729732607,2.378132833113366,0.24987614998750976,TRUE
Flavobacterium_A,R2,0.01567720728141338,57.07,54.07,212.1,112,57.93,158.03,53998373,3189336734.693877,15782602040.816324,132112275.89716634,6364448476.645217,1325035338.9624631,7444530284.378828,48.174542701839314,10.029615567245584,56.35002677702341,0.8549160569606397,0.177987769321436,2.446597342797094,0.40325723604927366,TRUE
Flavobacterium_A,R3,0.02416130472305527,62.07,61.07,212.1,108,46.93,151.03,17999458,1507499999.9999998,16541479591.836735,80643147.13165277,5322702219.067377,430326648.3489575,6592835499.614935,66.00315598271331,5.336183713743638,81.75320202784124,0.8073464322563877,0.06527186191345005,4.480309747752003,0.3217790881109659,TRUE
Flavobacterium_A,R4,0.02351547306940147,67.07,64.07,212.1,106,41.93000000000001,148.03,24438067,1876683673.4693875,19289846938.775505,118311954.49990462,7196358299.581916,593678954.5294055,8466714841.138483,60.82528456232812,5.017911816594021,71.5626318314715,0.8499587425120192,0.07011916258769098,4.841297574800192,0.3730645620166197,TRUE
Flavobacterium_A,R5,0.02134249516371314,71.07,73.07,212.1,124,50.93000000000001,139.03,23169346,1333163265.3061223,17310612244.897957,105598191.28858835,5837755900.088544,890539905.6575307,6341089726.993888,55.282726236613215,8.433287490917172,60.04922669238132,0.9206234498208309,0.14043956859126605,4.557668191781863,0.3372356689353454,TRUE
Flavobacterium_B,R1,0.01610033938702341,46.03,44.03,197.05,116,71.97,153.02,17420468,984489795.9183673,4266122448.9795914,36552312.68391694,1339054673.435012,363139358.7821253,2000238048.0835962,36.63392478102207,9.934784754178004,54.72261263960196,0.6694476563516748,0.1815480708058947,2.098239420658328,0.31388097492496936,TRUE
Flavobacterium_B,R2,0.0148048700529281,55.05,59.05,197.05,123,63.95,138,18141567,933214285.7142855,3425204081.6326528,40985318.65745397,1328950610.2292986,444008749.1341737,2236936164.703791,32.425040325692414,10.833360912601375,54.578962369418136,0.5940941146191691,0.19848968251312085,2.259193963644594,0.3879916578856355,TRUE
Flavobacterium_B,R3,0.01418676802705085,59.05,60.05,197.05,126,65.95,137,24605191,1117806122.4489796,4112295918.367347,56865344.10813746,1613432889.885153,588837084.9744594,2620285719.559236,28.372867784233982,10.354937514397218,46.078780681892894,0.6157469308944492,0.2247224722781411,2.311111671847516,0.3923435769003983,TRUE
Flavobacterium_B,R4,0.01497899103177519,59.05,57.05,197.05,126,68.95,140,16661901,1199846938.77551,3281632653.061224,40351725.46671588,1168288230.899928,403040717.638972,2820024114.066851,28.95262141549785,9.988190417567647,69.88608495547354,0.4142830641313561,0.14292101816737074,2.4217960163558696,0.35600822956527667,FALSE
Flavobacterium_B,R5,0.0079724812945485,74.05,72.05,197.05,126,53.95,125.00000000000001,33140469,861428571.4285713,1640816326.530612,59806682.59788742,1067242812.7117538,605702532.5890052,1529979197.5754535,17.84487562848792,10.127673134145727,25.582077639422483,0.6975538062236437,0.3958893908811685,1.8046420102831804,0.6504340525233326,TRUE
Herbaspirillum,R1,0.01838774088062516,56.05,56.05,197.05,126,69.95,141,97382398,4030255102.040816,37543928571.428566,272947195.1153431,10373860215.770897,2809032763.4413614,11296156680.197397,38.00683942323375,10.291487927744813,41.38586833773405,0.9183530743652554,0.2486715475862428,2.802839124123264,0.2763125919556949,TRUE
Herbaspirillum,R2,0.02254198431127584,68.05,68.05,197.05,126,57.95,129,52935038,2912448979.591836,46117193877.55101,245438767.36906424,12489369703.498514,2517508881.3679976,13503870301.865263,50.88588831086473,10.257177007340655,55.01930459730351,0.9248733455158691,0.18642869230018147,4.636603214851083,0.2708180757194359,TRUE
Herbaspirillum,R3,0.02231892948367655,80.05,72.05,197.05,126,53.95,125.00000000000001,48198999,3220102040.816326,40630714285.71428,287714468.16869247,12187587849.40888,2495921761.940229,16078643778.289013,42.360010349785625,8.67499565741971,55.88402933168379,0.7579984989695322,0.1552321076551538,5.9693038058465175,0.29995997027534477,TRUE
Herbaspirillum,R4,0.02169290408519785,63.05,57.05,197.05,126,68.95,140,71575803,3189336734.693877,53336785714.28571,281039343.64208955,11952022607.81128,2559008003.3059697,10994478069.551645,42.527933822078914,9.105515157212041,39.1207790591533,1.087093223725779,0.23275393221192955,3.926457432019163,0.22408591833478358,TRUE
Herbaspirillum,R5,0.01984617204888009,63.05,60.05,197.05,126,65.95,137,89872260,3650816326.530612,45686479591.83673,314093425.9327317,12341250569.896877,3012820948.4570284,12021700903.70344,39.29165512856025,9.592117184592949,38.2742837358146,1.0265810694138129,0.2506151976821258,3.494887364941437,0.27012916469278614,TRUE
Pseudomonas,R1,0.02476961577599536,54.07,47.07,212.1,115,67.93,165.03,13114113,1322908163.265306,18582244897.959183,50047977.91056885,3454254120.319544,311759524.8415092,4244984981.279947,69.01885479753007,6.229213204149724,84.81831151830642,0.813725875486612,0.07344184401507767,3.8163448729295566,0.18589003316272681,TRUE
Pseudomonas,R2,0.02125353060972634,60.07,53.07,212.1,120,66.93,159.03,28011250,1302397959.1836734,19289846938.775505,100414417.63815266,4650989945.435131,656803704.4416807,4023418919.8612986,46.31794970115903,6.540930275655224,40.06813976016719,1.155979538316499,0.16324516972354522,3.584788884400113,0.24111077502050776,TRUE
Pseudomonas,R3,0.02530935956809623,70.07,69.07,212.1,119,49.93000000000001,143.03,13949620,1271632653.0612245,21217806122.448975,82177298.72486533,5996310823.3712635,568270944.8369129,7303977726.64112,72.96797189023312,6.915181609212041,88.88072302175918,0.8209651025495099,0.07780294054897723,5.89100625858377,0.28260748490047777,TRUE
Pseudomonas,R4,0.01897503526471538,66.07,66.07,212.1,123,56.93000000000001,146.03,38081592,1856173469.387755,17484948979.591835,133407932.49734814,5936333547.706674,1094629612.7501054,6502571239.864398,44.49760547653098,8.205131376066143,48.742013448065805,0.9129209552236244,0.16833796545578983,3.503213114024964,0.3395110591764077,TRUE
Pseudomonas,R5,0.02272200698265882,70.07,75.07,212.1,114,38.93000000000001,137.03,25788818,1486989795.9183671,20581989795.918365,126731669.97101232,8498151589.6046715,914680728.5011184,8186568876.194487,67.05625824664408,7.217459761323557,64.59765643478873,1.038060232329594,0.1117294366338131,4.914210103425924,0.41289261504200864,TRUE
Serratia,R1,0.02082821024253651,55.07,48.07,212.1,95,46.93,164.03,26881474,2450969387.7551017,17761836734.693874,84643378.93073566,6683115327.866539,583098487.810019,6670505746.598096,78.9561500532178,6.888884815044696,78.80717701566029,1.0018903486103545,0.08741443452130965,3.1487625615595207,0.376262625745936,TRUE
Serratia,R2,0.02748035207063554,52.07,45.07,212.1,98,52.93,167.03,11205676,1056275510.2040814,15085255102.040815,46867401.41298675,3522541507.80812,153151841.3008984,3644752707.6524396,75.15973579947702,3.2677689968631527,77.76733076228321,0.9664692752439067,0.04201981686695624,4.182469795930808,0.2335089121119053,TRUE
Serratia,R3,0.02555768003607791,52.07,53.07,212.1,93,39.93,159.03,23315655,1312653061.2244897,18469438775.510204,88227033.89950861,6656536100.201133,317169024.1096063,5095696735.896868,75.44780557604359,3.5949188144629765,57.756636607560814,1.3063053877026984,0.06224252355429527,3.784025535611528,0.3604081413143671,TRUE
Serratia,R4,0.02752262081406668,57.07,61.07,212.1,100,38.93,151.03,8960491,1271632653.0612245,18428418367.34694,43100775.692405246,6311909977.565101,288561376.56791043,6828520836.682035,146.445391670232,6.695039055149943,158.4315067880619,0.9243451295715815,0.042258255260464554,4.810090841272565,0.3425095877326666,TRUE
Serratia,R5,0.02845516277322296,54.07,49.07,212.1,100,50.93,163.03,11686360,1025510204.0816325,18725816326.53061,54434220.03725746,4395941302.422773,181021030.6692589,4143268984.784129,80.75694479344013,3.325500586677997,76.11515296716425,1.060983807367218,0.043690388274101,4.65792770693847,0.23475298623935736,TRUE
Yersinia,R1,0.04615722602419903,54.07,53.07,212.1,80,26.93,159.03,2764643,851173469.3877549,39810306122.448975,33536443.856732864,11485802756.011309,25828988.615553904,9859393501.723804,342.48720004656633,0.7701767285134619,293.9904285571533,1.1649603755041469,0.0026197340243127526,12.13047900098959,0.28851329906088014,TRUE
Yersinia,R2,0.0381862786006876,55.07,45.07,212.1,92,46.93,167.03,7874692,1548520408.163265,55664693877.55101,64494015.424168326,9274456691.71378,94523383.47823122,8656889485.051647,143.80336889736117,1.4656147993974922,134.22779506154902,1.0713382338689343,0.010918862212743992,8.190036565768963,0.1666129110871491,TRUE
Yersinia,R3,0.03873777039055091,55.07,56.07,212.1,94,37.93,156.03,5886361,1117806122.4489796,45727499999.99999,49696126.64276868,10521031318.203972,108440412.9166616,9809926006.299143,211.70727034387286,2.1820697153354676,197.39820120823424,1.0724883461351506,0.011054151972912938,8.442589002402109,0.2300810522815368,TRUE
Yersinia,R4,0.03673333494154014,59.07,52.07,212.1,92,39.93,160.03,2739659,994744897.9591836,51603673469.38775,23990827.14736984,11903480031.712418,144446984.29046783,6735794654.88895,496.1679711413126,6.0209255563872395,280.7654197795097,1.7671975827043178,0.021444683469622375,8.756866145520242,0.23067117574049803,TRUE
Yersinia,R5,0.03601391928858849,53.07,57.07,212.1,95,37.93,155.03,7203024,1035765306.1224489,39307806122.448975,48703925.59266054,10028340850.581388,147811897.10464412,8088594261.452032,205.9041592346021,3.0349072545174614,166.0768441768264,1.2398125714345252,0.018274114429138087,6.761594240510727,0.25512339252264016,TRUE
