Taxon,Replicate,OD_Initial,OD_Final,FC_Initial_perrep,FC_Final_perrep,Duration_min,FC_Initial_taxonmean,N_inoc_cells_per_L,delta_min,cell_volume_um3,cell_carbon_fg,stated_OD_mid,stated_OD_lo,stated_OD_hi,measured_OD_mid,measured_OD_lo,measured_OD_hi,size_factor,measured_OD_sizeadj,FC_cells_per_L,FC_cells_per_L_taxonmean,FC_cells_per_L_nodil,FC_end_cells_per_L,N_inoc,ratio_FC_over_Ninoc,ratio_measuredOD_over_Ninoc,ratio_statedOD_over_Ninoc,ratio_FC_over_measuredOD,ratio_FC_over_statedOD,ratio_measuredOD_over_statedOD
Burkholderia,R2,0.00144,0.02006,283,2020,114,261,46277331,60.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1152000000,720000000,2880000000,0.49685874150977283,572381270.2192583,2902193877.55102,2676581632.653061,283000000,20715306122.448975,46277331,62.713078192668895,24.893397590280216,8.64354082995841,2.5192655187074826,7.25548469387755,2.8800000000000003
Burkholderia,R3,0.00124,0.01816,273,2360,119,261,37750224,63.05,0.7245,72.449700000000007,400000000,250000000,1000000000,992000000,620000000,2480000000,0.49685874150977283,492883871.57769465,2799642857.142857,2676581632.653061,273000000,24202040816.326527,37750224,74.16228463022782,26.277989767689856,10.595963616003974,2.8222206221198154,6.9991071428571425,2.48
Burkholderia,R4,0.00134,0.02086,215,2086,118,261,36699850,65.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1072000000,670000000,2680000000,0.49685874150977283,532632570.8984765,2204846938.77551,2676581632.653061,215000000,21392142857.142857,36699850,60.077818813306045,29.20992865093454,10.899227108557664,2.056760204081632,5.5121173469387745,2.68
Burkholderia,R5,0.00114,0.02226,236,2538,122,261,32954673,74.05,0.7245,72.449700000000007,400000000,250000000,1000000000,912000000,570000000,2280000000,0.49685874150977283,453135172.2569128,2420204081.6326528,2676581632.653061,236000000,26027448979.591835,32954673,73.44039134093829,27.674375649244038,12.137884056685982,2.6537325456498384,6.050510204081632,2.28
Buttiauxella,R1,0.00124,0.01476,224,2494,107,227,46533860,52.05,0.7245,72.449700000000007,400000000,250000000,1000000000,992000000,620000000,2480000000,0.49685874150977283,492883871.57769465,2297142857.142857,2327908163.265306,224000000,25576224489.795918,46533860,49.36497546394941,21.317810299854774,8.59589124994144,2.315668202764977,5.742857142857143,2.48
Buttiauxella,R2,0.00145,0.01926,219,2381,98,227,34010379,54.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1160000000,725000000,2900000000,0.49685874150977283,576356140.1513364,2245867346.9387755,2327908163.265306,219000000,24417397959.183674,34010379,66.03476388601185,34.10723532366399,11.761115628849652,1.9360925404644618,5.614668367346939,2.9
Buttiauxella,R3,0.00166,0.02856,212,2081,103,227,32956112,57.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1328000000,830000000,3320000000,0.49685874150977283,659828408.7249783,2174081632.6530614,2327908163.265306,212000000,21340867346.938774,32956112,65.96899636258857,40.29601550085763,12.13735406652338,1.6371096631423656,5.435204081632653,3.32
Buttiauxella,R4,0.00188,0.01816,245,2156,113,227,59855117,63.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1504000000,940000000,3760000000,0.49685874150977283,747275547.2306983,2512499999.9999995,2327908163.265306,245000000,22109999999.999996,59855117,41.97636101855752,25.127342078372347,6.682803744247964,1.670545212765957,6.281249999999999,3.76
Buttiauxella,R5,0.00245,0.01996,236,2073,107,227,39601043,63.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1960000000,1225000000,4900000000,0.49685874150977283,973843133.3591547,2420204081.6326528,2327908163.265306,236000000,21258826530.61224,39601043,61.11465502645101,49.493645912305894,10.100744063735897,1.2347980008329862,6.050510204081632,4.8999999999999995
Chromobacterium,R1,0.0024,0.01672,138,1466,92,130,19676124,61.07,0.7348,73.481,400000000,250000000,1000000000,1919999999.9999998,1200000000,4800000000,0.4898940639954143,940596602.8711953,1415204081.632653,1333163265.3061223,138000000,15033979591.836733,19676124,71.924942210806,97.58019414799377,20.32920711416537,0.7370854591836735,3.5380102040816324,4.8
Chromobacterium,R2,0.002,0.02022,139,2092,101,130,16557244,65.07,0.7348,73.481,400000000,250000000,1000000000,1600000000,1000000000,4000000000,0.4898940639954143,783830502.3926629,1425459183.673469,1333163265.3061223,139000000,21453673469.387753,16557244,86.09278112187445,96.6344398862516,24.1586099715629,0.8909119897959181,3.5636479591836725,4
Chromobacterium,R3,0.0018,0.02142,115,1526,101,130,13585680,65.07,0.7348,73.481,400000000,250000000,1000000000,1440000000,900000000,3600000000,0.4898940639954143,705447452.1533966,1179336734.6938775,1333163265.3061223,115000000,15649285714.285711,13585680,86.80733939662038,105.99395834437438,29.44276620677066,0.8189838435374149,2.9483418367346936,3.5999999999999996
Chromobacterium,R4,0.0022,0.01892,123,1376,103,130,21268551,71.07,0.7348,73.481,400000000,250000000,1000000000,1760000000,1100000000,4400000000,0.4898940639954143,862213552.6319292,1261377551.020408,1333163265.3061223,123000000,14111020408.163263,21268551,59.30716911652364,82.75128851043966,18.807111025099925,0.7166917903525045,3.1534438775510196,4.4
Chromobacterium,R5,0.002,0.01902,134,1599,101,130,18369665,63.07,0.7348,73.481,400000000,250000000,1000000000,1600000000,1000000000,4000000000,0.4898940639954143,783830502.3926629,1374183673.4693875,1333163265.3061223,134000000,16397908163.265303,18369665,74.80722557920286,87.10011859225521,21.775029648063803,0.8588647959183672,3.4354591836734687,4
Chryseobacterium,R1,7.6e-4,0.00602,333,2913,139,262,108384153,61.07,0.5038,50.3756,400000000,250000000,1000000000,608000000,380000000,1520000000,0.7145179798011719,434426931.7191125,3414948979.591836,2686836734.693877,333000000,29873112244.897957,108384153,31.50782549910074,5.6096761673267865,3.6905764258728855,5.616692400644467,8.53737244897959,1.52
Chryseobacterium,R2,8.5e-4,0.00852,246,2688,139,262,76888091,71.07,0.5038,50.3756,400000000,250000000,1000000000,680000000,425000000,1700000000,0.7145179798011719,485872226.2647969,2522755102.040816,2686836734.693877,246000000,27565714285.714283,76888091,32.8107392085052,8.844022411741241,5.202366124553671,3.709933973589435,6.306887755102039,1.7
Chryseobacterium,R3,6.9e-4,0.00692,206,2343,139,262,68583359,74.07,0.5038,50.3756,400000000,250000000,1000000000,552000000,345000000,1380000000,0.7145179798011719,394413924.8502469,2112551020.4081628,2686836734.693877,206000000,24027704081.632652,68583359,30.802676497780794,8.048599661034391,5.832318594952458,3.8270851818988456,5.281377551020407,1.38
Chryseobacterium,R4,8.6e-4,0.00802,261,2315,139,262,81365159,72.07,0.5038,50.3756,400000000,250000000,1000000000,688000000,430000000,1720000000,0.7145179798011719,491588370.1032063,2676581632.653061,2686836734.693877,261000000,23740561224.48979,81365159,32.89591841949281,8.45570768195758,4.916109117417198,3.890380280018984,6.691454081632652,1.72
Chryseobacterium,R5,8.7e-4,0.00702,266,2593,139,262,99511044,81.07,0.5038,50.3756,400000000,250000000,1000000000,696000000,435000000,1740000000,0.7145179798011719,497304513.94161564,2727857142.8571424,2686836734.693877,266000000,26591479591.83673,99511044,27.412607015329296,6.9941985534791495,4.0196543410799705,3.9193349753694577,6.819642857142856,1.74
Flavobacterium_A,R1,0.0024,0.01242,143,1388,117,183,41430308,48.07,0.5266,52.6642,400000000,250000000,1000000000,1919999999.9999998,1200000000,4800000000,0.6835817664713834,1312476991.6250558,1466479591.8367345,1876683673.4693875,143000000,14234081632.65306,41430308,35.39629953599994,46.34288502030928,9.654767712564436,0.7637914540816326,3.666198979591836,4.8
Flavobacterium_A,R2,0.0028,0.01962,311,1539,112,183,53998373,57.07,0.5266,52.6642,400000000,250000000,1000000000,2240000000,1400000000,5600000000,0.6835817664713834,1531223156.8958988,3189336734.693877,1876683673.4693875,311000000,15782602040.816324,53998373,59.06357094673718,41.482731340812805,7.407630596573715,1.4238110422740524,7.973341836734693,5.6
Flavobacterium_A,R3,0.0032,0.03322,147,1613,108,183,17999458,62.07,0.5266,52.6642,400000000,250000000,1000000000,2560000000,1600000000,6400000000,0.6835817664713834,1749969322.1667414,1507499999.9999998,1876683673.4693875,147000000,16541479591.836735,17999458,83.7525218814922,142.22650482031182,22.22289137817372,0.5888671874999999,3.7687499999999994,6.4
Flavobacterium_A,R4,0.0029,0.03272,183,1881,106,183,24438067,67.07,0.5266,52.6642,400000000,250000000,1000000000,2320000000,1450000000,5800000000,0.6835817664713834,1585909698.2136095,1876683673.4693875,1876683673.4693875,183000000,19289846938.775505,24438067,76.79345806971507,94.93385872131375,16.36790667608858,0.8089153764954257,4.691709183673469,5.8
